prNumber,Util,Network,Interpreter,i18n,Logic,Test,IO,Security,App,issueNumber,corpus
207,0,1,1,1,1,0,0,0,0,1367,197 : blocks ability to use negative value for timeout() and after() method it should  #197 if user uses mockitoafter() or mockitotimeout() with negative values then friendly reminder exception with details will be thrown first commit fixes the issue second one is a little bit of refactoring: (mostly reducing visibility and increasing encapsulation)197 : refactoring: - removed unused field from verificationovertimeimpl and also from constructors signature- improved encapsulation by removing 3 getters from verificationovertimeimpl- reduced visibility of few constructors in timeout and after classes   || nice pull request thank you !if comments are addressed ill merge right away ! || about timeouttest please look at it the whole point of this test is to pass timer object and do mocking/verifications on it if i use public constructor for this test i will not to able to pass timer objectthis is why constructor with this signature timeout(long pollingperiodmillis verificationmode delegate timer timer) was introduced by author in first place should i really touch it?btw there in so such thing like aftertest || oh yeah i see fair point just ignore what i said on thatignore the `aftertest` too i was a bit off this morning thanks for the feedback :) ||
207,1,1,0,1,1,1,0,0,0,1932.49344155314,197 : blocks ability to use negative value for timeout() and after() method it should  #197 if user uses mockitoafter() or mockitotimeout() with negative values then friendly reminder exception with details will be thrown first commit fixes the issue second one is a little bit of refactoring: (mostly reducing visibility and increasing encapsulation)197 : refactoring: - removed unused field from verificationovertimeimpl and also from constructors signature- improved encapsulation by removing 3 getters from verificationovertimeimpl- reduced visibility of few constructors in timeout and after classes   || nice pull request thank you !if comments are addressed ill merge right away ! || about timeouttest please look at it the whole point of this test is to pass timer object and do mocking/verifications on it if i use public constructor for this test i will not to able to pass timer objectthis is why constructor with this signature timeout(long pollingperiodmillis verificationmode delegate timer timer) was introduced by author in first place should i really touch it?btw there in so such thing like aftertest || oh yeah i see fair point just ignore what i said on thatignore the `aftertest` too i was a bit off this morning thanks for the feedback :) ||
211,1,0,0,1,1,1,1,0,0,188,argumentcaptor no longer working for varargs 188  these commits should  with capturing varargs hi thanks for the pri will take a look at it soon and probably merge it in the mean time git history is fine except the merge commit can you get rid of it ?otherwise ill have to cherry-pick relevant commits || i will try to do rebase and then do force push hope it will work take a lookhm i see merge conflicts probably due your activity today :) || commit looks good but indeed theres some conflict to narrow down ill take a look later thanks for the rebase ) || now it should work || thanks ) ||
211,1,1,0,1,1,1,0,1,0,1364,argumentcaptor no longer working for varargs 188  these commits should  with capturing varargs hi thanks for the pri will take a look at it soon and probably merge it in the mean time git history is fine except the merge commit can you get rid of it ?otherwise ill have to cherry-pick relevant commits || i will try to do rebase and then do force push hope it will work take a lookhm i see merge conflicts probably due your activity today :) || commit looks good but indeed theres some conflict to narrow down ill take a look later thanks for the rebase ) || now it should work || thanks ) ||
211,1,1,1,1,1,1,1,0,1,2106.31931997424,argumentcaptor no longer working for varargs 188  these commits should  with capturing varargs hi thanks for the pri will take a look at it soon and probably merge it in the mean time git history is fine except the merge commit can you get rid of it ?otherwise ill have to cherry-pick relevant commits || i will try to do rebase and then do force push hope it will work take a lookhm i see merge conflicts probably due your activity today :) || commit looks good but indeed theres some conflict to narrow down ill take a look later thanks for the rebase ) || now it should work || thanks ) ||
221,1,0,0,0,1,1,0,0,0,212,212 : add shouldhavezerointeractions as bdd version of verifyzerointeractions follow-up to #212 thanks @mkordas  ||
221,1,1,0,1,1,1,0,1,0,1240,212 : add shouldhavezerointeractions as bdd version of verifyzerointeractions follow-up to #212 thanks @mkordas  ||
221,1,1,0,1,1,1,0,0,0,1279.9376776887,212 : add shouldhavezerointeractions as bdd version of verifyzerointeractions follow-up to #212 thanks @mkordas  ||
222,1,0,0,0,1,1,0,0,0,203,203 : introduce bdd inorder verification follow-up to #203  
222,1,1,0,1,1,1,0,1,0,1419,203 : introduce bdd inorder verification follow-up to #203  
222,1,1,1,1,1,1,1,0,0,1586.41794172334,203 : introduce bdd inorder verification follow-up to #203  
223,1,1,0,1,1,0,1,0,1,206,206]  related to windows path problem was caused by file separator replacing hardcoded char / by fileseperatorchar solves issue in the same file there is second occurence of this character but it is used with getresource(path) method -  in such case / is only acceptable separator do i need to do something special in order to build with java 8? it looks like problem with default method - i create branch from master || dont worry about that error ill push the fix at some point todaythanks for fixing the windows test issue :) ||
223,1,1,1,1,1,1,1,0,0,1584,206]  related to windows path problem was caused by file separator replacing hardcoded char / by fileseperatorchar solves issue in the same file there is second occurence of this character but it is used with getresource(path) method -  in such case / is only acceptable separator do i need to do something special in order to build with java 8? it looks like problem with default method - i create branch from master || dont worry about that error ill push the fix at some point todaythanks for fixing the windows test issue :) ||
223,1,1,1,1,1,1,1,0,0,2508.11965925339,206]  related to windows path problem was caused by file separator replacing hardcoded char / by fileseperatorchar solves issue in the same file there is second occurence of this character but it is used with getresource(path) method -  in such case / is only acceptable separator do i need to do something special in order to build with java 8? it looks like problem with default method - i create branch from master || dont worry about that error ill push the fix at some point todaythanks for fixing the windows test issue :) ||
229,1,0,0,1,1,0,0,0,0,228,228:  a verify() call example in @captor javadoc   thanks for the fix :) ||
229,1,1,1,1,1,1,1,0,1,1532,228:  a verify() call example in @captor javadoc   thanks for the fix :) ||
229,1,0,0,0,1,0,0,0,0,1674.9837686714,228:  a verify() call example in @captor javadoc   thanks for the fix :) ||
234,0,0,0,0,0,1,0,0,0,233,cannot instantiate type with public method of a public parent class having a non public types in signature this should 233(awaiting delivery of bytebuddy fix  @raphw actually  in bytebuddy 0610 in commit  ||
234,1,1,1,1,1,1,1,0,1,1533,cannot instantiate type with public method of a public parent class having a non public types in signature this should 233(awaiting delivery of bytebuddy fix  @raphw actually  in bytebuddy 0610 in commit  ||
234,0,1,0,1,1,0,0,0,0,1367.24311767571,cannot instantiate type with public method of a public parent class having a non public types in signature this should 233(awaiting delivery of bytebuddy fix  @raphw actually  in bytebuddy 0610 in commit  ||
235,1,1,0,1,1,1,1,0,1,220,220 constructor invoking methods raise npe in some recent version of mockito `@spy` annotation will use the constructor rather than objenesis that mean that constructor carry actual work but since the interceptor set after instantiation this raised an npe with bytebuddy it wasnt an issue with cglib but it probably didnt event intercept such calls (unconfirmed at this point)this pr aims to fix that by calling real code if interceptor is not set which can only happen if `constructorinstanciator` is usedthanks to @raphw for his tip on this regard as well : https://githubcom/raphw/byte-buddy/issues/32#issuecomment-113269844 i just saw that you chose to invoke the real method instead of returning a default value that might cause problems when the invoked method expects some state then again if the constructor is called the constructor might always receive correct input values?i added another interceptor to make the field receival a bit more convenient and runtime efficient and if you wanted to aupress the calls from the constructor (might be unsuitable for spies) i think i also found a better alternative for thati just send you a pull request on monday || yes for constructors that made sense (when spy is instantiated with constructor) though i agree with you other than this scenario it shouldnt be authorized i didnt yet wrap entirely my head around this yetim not yet sure how to ensure a bit more safety there ||
235,1,1,1,1,1,1,1,0,1,1614,220 constructor invoking methods raise npe in some recent version of mockito `@spy` annotation will use the constructor rather than objenesis that mean that constructor carry actual work but since the interceptor set after instantiation this raised an npe with bytebuddy it wasnt an issue with cglib but it probably didnt event intercept such calls (unconfirmed at this point)this pr aims to fix that by calling real code if interceptor is not set which can only happen if `constructorinstanciator` is usedthanks to @raphw for his tip on this regard as well : https://githubcom/raphw/byte-buddy/issues/32#issuecomment-113269844 i just saw that you chose to invoke the real method instead of returning a default value that might cause problems when the invoked method expects some state then again if the constructor is called the constructor might always receive correct input values?i added another interceptor to make the field receival a bit more convenient and runtime efficient and if you wanted to aupress the calls from the constructor (might be unsuitable for spies) i think i also found a better alternative for thati just send you a pull request on monday || yes for constructors that made sense (when spy is instantiated with constructor) though i agree with you other than this scenario it shouldnt be authorized i didnt yet wrap entirely my head around this yetim not yet sure how to ensure a bit more safety there ||
235,1,1,0,1,1,1,0,0,0,1013.2691627411,220 constructor invoking methods raise npe in some recent version of mockito `@spy` annotation will use the constructor rather than objenesis that mean that constructor carry actual work but since the interceptor set after instantiation this raised an npe with bytebuddy it wasnt an issue with cglib but it probably didnt event intercept such calls (unconfirmed at this point)this pr aims to fix that by calling real code if interceptor is not set which can only happen if `constructorinstanciator` is usedthanks to @raphw for his tip on this regard as well : https://githubcom/raphw/byte-buddy/issues/32#issuecomment-113269844 i just saw that you chose to invoke the real method instead of returning a default value that might cause problems when the invoked method expects some state then again if the constructor is called the constructor might always receive correct input values?i added another interceptor to make the field receival a bit more convenient and runtime efficient and if you wanted to aupress the calls from the constructor (might be unsuitable for spies) i think i also found a better alternative for thati just send you a pull request on monday || yes for constructors that made sense (when spy is instantiated with constructor) though i agree with you other than this scenario it shouldnt be authorized i didnt yet wrap entirely my head around this yetim not yet sure how to ensure a bit more safety there ||
252,1,1,1,1,1,1,1,0,1,251,251] migrate fest assert code to assertj 251   
252,1,0,1,0,1,0,0,0,0,1692,251] migrate fest assert code to assertj 251   
252,0,1,0,1,1,0,0,0,0,1439.54996510334,251] migrate fest assert code to assertj 251   
261,1,1,0,0,1,1,0,0,1,260,260: typo in documentation very minor typo in documentation:  an extra "at" (@) in the documentationbefore it reads:"annotating the junit test class with a @runwith(@mockitojunitrunnerclass)"after it reads:"annotating the junit test class with a @runwith(mockitojunitrunnerclass)"(https://cloudentcom/assets/338917/8634099/6c7f5264-27b8-11e5-93d9-98b725c9f749png)    merging **#261**   cool thanks for the fix :) ||
261,1,1,0,1,1,1,0,1,1,1717,260: typo in documentation very minor typo in documentation:  an extra "at" (@) in the documentationbefore it reads:"annotating the junit test class with a @runwith(@mockitojunitrunnerclass)"after it reads:"annotating the junit test class with a @runwith(mockitojunitrunnerclass)"(https://cloudentcom/assets/338917/8634099/6c7f5264-27b8-11e5-93d9-98b725c9f749png)    merging **#261**   cool thanks for the fix :) ||
261,1,1,1,1,1,1,1,0,0,1482.20511053813,260: typo in documentation very minor typo in documentation:  an extra "at" (@) in the documentationbefore it reads:"annotating the junit test class with a @runwith(@mockitojunitrunnerclass)"after it reads:"annotating the junit test class with a @runwith(mockitojunitrunnerclass)"(https://cloudentcom/assets/338917/8634099/6c7f5264-27b8-11e5-93d9-98b725c9f749png)    merging **#261**   cool thanks for the fix :) ||
270,1,0,0,1,1,1,0,0,1,268,issue #268: added support for generic arrays as return types solves  by explicitly checking for return types that represent a generic array and by resolving for the arrays component type   
270,1,1,1,0,1,1,1,0,1,189,issue #268: added support for generic arrays as return types solves  by explicitly checking for return types that represent a generic array and by resolving for the arrays component type   
270,1,1,1,0,1,1,1,0,0,229.656214416507,issue #268: added support for generic arrays as return types solves  by explicitly checking for return types that represent a generic array and by resolving for the arrays component type   
280,1,0,0,0,1,1,0,0,1,243,reintroduce null check on mockutilismock() will 243 - null check on mockutilismock() was incorrectly removed after successive refactoring this pr reintroduces null check   
280,1,1,1,0,1,1,1,0,1,1898,reintroduce null check on mockutilismock() will 243 - null check on mockutilismock() was incorrectly removed after successive refactoring this pr reintroduces null check   
280,1,1,1,1,1,1,1,0,0,2306.83027112779,reintroduce null check on mockutilismock() will 243 - null check on mockutilismock() was incorrectly removed after successive refactoring this pr reintroduces null check   
287,0,0,0,0,1,1,0,0,1,124,implement verificationcollector which can collect multiple verifications it will report in the end the result of multiple statements 124   
287,1,1,0,1,1,1,0,1,0,2011,implement verificationcollector which can collect multiple verifications it will report in the end the result of multiple statements 124   
287,1,1,1,1,1,1,1,0,0,1533.5779289688,implement verificationcollector which can collect multiple verifications it will report in the end the result of multiple statements 124   
293,1,1,0,0,1,1,1,0,1,245,remove validateserializable() 245:remove serializable validation   
293,1,1,0,1,1,1,1,1,1,2040,remove validateserializable() 245:remove serializable validation   
293,1,1,1,1,1,1,1,0,1,2094.88552750769,remove validateserializable() 245:remove serializable validation   
373,1,0,0,1,1,1,1,0,1,365,365 simplify the invocationonmock-api to get a casted argument this pull request 365 by introducing `t getargument(int)` and deprecating `t getargumentat(intclass<t>)` in type `invocationonmock` this improves the readabilty of custom answers this`string text  invocationgetargumentat(1stringclass)` can be replaced  string text  invocationgetargument(1)`   
373,1,1,1,1,1,1,1,0,1,2092,365 simplify the invocationonmock-api to get a casted argument this pull request 365 by introducing `t getargument(int)` and deprecating `t getargumentat(intclass<t>)` in type `invocationonmock` this improves the readabilty of custom answers this`string text  invocationgetargumentat(1stringclass)` can be replaced  string text  invocationgetargument(1)`   
373,1,0,1,0,1,0,0,0,0,1640.30148797142,365 simplify the invocationonmock-api to get a casted argument this pull request 365 by introducing `t getargument(int)` and deprecating `t getargumentat(intclass<t>)` in type `invocationonmock` this improves the readabilty of custom answers this`string text  invocationgetargumentat(1stringclass)` can be replaced  string text  invocationgetargument(1)`   
386,1,0,0,0,1,1,0,0,1,374,remove deprecated code fixes for #374 - more left though   
386,1,1,1,1,1,1,1,0,1,2094,remove deprecated code fixes for #374 - more left though   
386,1,1,1,0,1,1,1,0,0,306.897495272366,remove deprecated code fixes for #374 - more left though   
