prNumber,APM,Network,DB,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Microservices,UI,Parser,Security,Big.Data,Event.Handling,corpus
HV49911,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,testdata for sponsorme contains invalid rules.  <datadefinition collectiontype="none" datatype="object" name="dimensions.callednumber" provider="apopprovider"/> <datadefinition collectiontype="none" datatype="string" name="dimensions.callednumber.numberlistref" provider="apopprovider"/>  needs to look like this:  <datadefinition collectiontype="none" datatype="object" name="dimensions.callednumber" provider="derefprovider"/> <datadefinition collectiontype="list" datatype="string" name="dimensions.callednumber.numberlistref" provider="derefprovider"/>
HV49911,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,testdata for sponsorme contains invalid rules.  <datadefinition collectiontype="none" datatype="object" name="dimensions.callednumber" provider="apopprovider"/> <datadefinition collectiontype="none" datatype="string" name="dimensions.callednumber.numberlistref" provider="apopprovider"/>  needs to look like this:  <datadefinition collectiontype="none" datatype="object" name="dimensions.callednumber" provider="derefprovider"/> <datadefinition collectiontype="list" datatype="string" name="dimensions.callednumber.numberlistref" provider="derefprovider"/>
HW76061,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0, 
HW76061,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0, 
HW76061,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0, 
HW89611,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,  not able to consume sd having no of occurrences    we are not able to consume "schedule definition" having no of occurrences while creating bcs.  1. login to invoicing gui. 2. create sd having no of occurrences. 3. go to "billing configuration" try to create bcs. 4. filter schedule definition which we created in step 2.   find attached screen shot.  impact : not able to schedule one time job for a bcs.   measure:     tpgs installed versions :-  [root@vma-wm-bc-0201 ~]# swrepo list  name                  version    delta  active rmca                  24.35.1           true rmca-cus-ui           1.9.1             true cpi                   1.27.2            true cpi                   1.27.2     ep02a  true cpi                   1.27.2     ep03a  true cpm                   1.32.1            true cus                   1.17.0            true edmevexpo             1.36.0            true edmevproc             1.36.0            true epsdmart              3.27.0            true epsmaster             3.27.0            true epsworker             3.27.0            true finaccess             1.1.4             true fincolhub             0.2.1             true finprocessor          1.1.4             true finui                 1.1.3             true invcontroller         0.42.0                 true invcontroller         0.42.0          ep01a  true invcontroller         0.42.0          ep02a  true invoicingui           0.42.0                 true invoicingui           0.42.0          ep01a  true invoicingui           0.42.0          ep02a  true invprocessor          0.42.0                 true invprocessor          0.42.0          ep01a  true invprocessor          0.42.0          ep02a  true
HW89611,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,  not able to consume sd having no of occurrences    we are not able to consume "schedule definition" having no of occurrences while creating bcs.  1. login to invoicing gui. 2. create sd having no of occurrences. 3. go to "billing configuration" try to create bcs. 4. filter schedule definition which we created in step 2.   find attached screen shot.  impact : not able to schedule one time job for a bcs.   measure:     tpgs installed versions :-  [root@vma-wm-bc-0201 ~]# swrepo list  name                  version    delta  active rmca                  24.35.1           true rmca-cus-ui           1.9.1             true cpi                   1.27.2            true cpi                   1.27.2     ep02a  true cpi                   1.27.2     ep03a  true cpm                   1.32.1            true cus                   1.17.0            true edmevexpo             1.36.0            true edmevproc             1.36.0            true epsdmart              3.27.0            true epsmaster             3.27.0            true epsworker             3.27.0            true finaccess             1.1.4             true fincolhub             0.2.1             true finprocessor          1.1.4             true finui                 1.1.3             true invcontroller         0.42.0                 true invcontroller         0.42.0          ep01a  true invcontroller         0.42.0          ep02a  true invoicingui           0.42.0                 true invoicingui           0.42.0          ep01a  true invoicingui           0.42.0          ep02a  true invprocessor          0.42.0                 true invprocessor          0.42.0          ep01a  true invprocessor          0.42.0          ep02a  true
HW89611,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,  not able to consume sd having no of occurrences    we are not able to consume "schedule definition" having no of occurrences while creating bcs.  1. login to invoicing gui. 2. create sd having no of occurrences. 3. go to "billing configuration" try to create bcs. 4. filter schedule definition which we created in step 2.   find attached screen shot.  impact : not able to schedule one time job for a bcs.   measure:     tpgs installed versions :-  [root@vma-wm-bc-0201 ~]# swrepo list  name                  version    delta  active rmca                  24.35.1           true rmca-cus-ui           1.9.1             true cpi                   1.27.2            true cpi                   1.27.2     ep02a  true cpi                   1.27.2     ep03a  true cpm                   1.32.1            true cus                   1.17.0            true edmevexpo             1.36.0            true edmevproc             1.36.0            true epsdmart              3.27.0            true epsmaster             3.27.0            true epsworker             3.27.0            true finaccess             1.1.4             true fincolhub             0.2.1             true finprocessor          1.1.4             true finui                 1.1.3             true invcontroller         0.42.0                 true invcontroller         0.42.0          ep01a  true invcontroller         0.42.0          ep02a  true invoicingui           0.42.0                 true invoicingui           0.42.0          ep01a  true invoicingui           0.42.0          ep02a  true invprocessor          0.42.0                 true invprocessor          0.42.0          ep01a  true invprocessor          0.42.0          ep02a  true
HW94055,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0, creating a scenario rule with more than one condition will create runtime errors in cha.     steps to reproduce: 1. create a new ps 2. create a new scenario rule (can be a general rule or a service rule) 3. add multiple conditions (see image multiple_conditions.png in the enclosures sections) 4. add an action 5. save  the resulting xml rule will be something similar to the example below:   <condition name="wrapped">   <condition name="scenario" type="comparedatacondition">   </condition>   <condition name="1st condition" type="booleancondition">   </condition>   <property name="operationtype">and</property> </condition> <condition name="2nd condtion" type="booleancondition"> </condition> <node name="action name"> ...  this is not allowed.    there must be at most one parent condition  the expected result should be similar to the example below:  ... <condition name="wrapped">   <condition name="scenario" type="comparedatacondition">   </condition>   <condition name="1st condition" type="booleancondition">   </condition>   <condition name="2nd condtion" type="booleancondition">   </condition>   <property name="operationtype">and</property> </condition> <node name="action name"> ...  this fault has been partly  with hw74874. the correction in hw74874 did  unfortunately  not handle multiple conditions. it would be great if this tr fix would be part of the same branches as hw74874.
HW94055,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1, creating a scenario rule with more than one condition will create runtime errors in cha.     steps to reproduce: 1. create a new ps 2. create a new scenario rule (can be a general rule or a service rule) 3. add multiple conditions (see image multiple_conditions.png in the enclosures sections) 4. add an action 5. save  the resulting xml rule will be something similar to the example below:   <condition name="wrapped">   <condition name="scenario" type="comparedatacondition">   </condition>   <condition name="1st condition" type="booleancondition">   </condition>   <property name="operationtype">and</property> </condition> <condition name="2nd condtion" type="booleancondition"> </condition> <node name="action name"> ...  this is not allowed.    there must be at most one parent condition  the expected result should be similar to the example below:  ... <condition name="wrapped">   <condition name="scenario" type="comparedatacondition">   </condition>   <condition name="1st condition" type="booleancondition">   </condition>   <condition name="2nd condtion" type="booleancondition">   </condition>   <property name="operationtype">and</property> </condition> <node name="action name"> ...  this fault has been partly  with hw74874. the correction in hw74874 did  unfortunately  not handle multiple conditions. it would be great if this tr fix would be part of the same branches as hw74874.
HW94055,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1, creating a scenario rule with more than one condition will create runtime errors in cha.     steps to reproduce: 1. create a new ps 2. create a new scenario rule (can be a general rule or a service rule) 3. add multiple conditions (see image multiple_conditions.png in the enclosures sections) 4. add an action 5. save  the resulting xml rule will be something similar to the example below:   <condition name="wrapped">   <condition name="scenario" type="comparedatacondition">   </condition>   <condition name="1st condition" type="booleancondition">   </condition>   <property name="operationtype">and</property> </condition> <condition name="2nd condtion" type="booleancondition"> </condition> <node name="action name"> ...  this is not allowed.    there must be at most one parent condition  the expected result should be similar to the example below:  ... <condition name="wrapped">   <condition name="scenario" type="comparedatacondition">   </condition>   <condition name="1st condition" type="booleancondition">   </condition>   <condition name="2nd condtion" type="booleancondition">   </condition>   <property name="operationtype">and</property> </condition> <node name="action name"> ...  this fault has been partly  with hw74874. the correction in hw74874 did  unfortunately  not handle multiple conditions. it would be great if this tr fix would be part of the same branches as hw74874.
HW94170,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0, can not read relations for network policy entities (networkpolicygroupspecification and networkpolicycounterspecification) on external interface.    relations for network policy entities are not available on external interface.    it should be possible to read relations for network policy entities on external interface.
HW94170,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0, can not read relations for network policy entities (networkpolicygroupspecification and networkpolicycounterspecification) on external interface.    relations for network policy entities are not available on external interface.    it should be possible to read relations for network policy entities on external interface.
HW94170,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0, can not read relations for network policy entities (networkpolicygroupspecification and networkpolicycounterspecification) on external interface.    relations for network policy entities are not available on external interface.    it should be possible to read relations for network policy entities on external interface.
HX10271,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0, issue #1. there is no validation for missing/invalid product bucket reference in ps for "scenario triggered" rules containing conditions "bucket balance" and "available units".  issue #2. it is possible to click "save" for conditions "bucket balance" and "available units" without selected product bucket. this causes an exception (schema validation) in the backend and an error notification in the frontend.    issue #1. 1. create a ps with a product bucket. 2. create a new scenario triggered rule 2.1. add condition "bucket balance" 2.2.1 select option "product bucket" 2.2.1.1. pick an existing product bucket from the dropdown 2.2.1.2. provide any limits (or select "no limit" for upper/lower limits) 2.2.1.3. save condition 2.3. add any action 2.4. save the rule 3. detach product bucket (remove it from the ps page). 4. you are able to save the ps (without any warning messages)  also youre able to activate it (successfully)  even though there is an invalid scenario triggered rule.  same steps are applicable for "available units" condition.  issue #2. 1. create a ps 2. create a new scenario triggered rule 2.1. add condition "bucket balance" 2.2.1. select option "product bucket" 2.2.2. select "no limit" for upper limit and lower limit 3. now youre able to save the condition even without selecting any product bucket from the dropdown "product bucket"  same steps are applicable for "availble units" condition. same steps are applicable for both local and global values and all rule contexts where "bucket balance" or "available units" conditions might be used.    it should be impossible to activate a ps with invalid rule configuration. new validation rule needs to be implemented (or any existing applicable rule needs to be updated) in order to check if there is a missing/invalid product bucket reference in scenario triggered rules. it should be impossible to save "bucket balance"/"available units" condition (or its global value configuration) unless a valid product bucket reference is selected from the dropdown list (when a "product bucket" option is selected).
HX10271,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0, issue #1. there is no validation for missing/invalid product bucket reference in ps for "scenario triggered" rules containing conditions "bucket balance" and "available units".  issue #2. it is possible to click "save" for conditions "bucket balance" and "available units" without selected product bucket. this causes an exception (schema validation) in the backend and an error notification in the frontend.    issue #1. 1. create a ps with a product bucket. 2. create a new scenario triggered rule 2.1. add condition "bucket balance" 2.2.1 select option "product bucket" 2.2.1.1. pick an existing product bucket from the dropdown 2.2.1.2. provide any limits (or select "no limit" for upper/lower limits) 2.2.1.3. save condition 2.3. add any action 2.4. save the rule 3. detach product bucket (remove it from the ps page). 4. you are able to save the ps (without any warning messages)  also youre able to activate it (successfully)  even though there is an invalid scenario triggered rule.  same steps are applicable for "available units" condition.  issue #2. 1. create a ps 2. create a new scenario triggered rule 2.1. add condition "bucket balance" 2.2.1. select option "product bucket" 2.2.2. select "no limit" for upper limit and lower limit 3. now youre able to save the condition even without selecting any product bucket from the dropdown "product bucket"  same steps are applicable for "availble units" condition. same steps are applicable for both local and global values and all rule contexts where "bucket balance" or "available units" conditions might be used.    it should be impossible to activate a ps with invalid rule configuration. new validation rule needs to be implemented (or any existing applicable rule needs to be updated) in order to check if there is a missing/invalid product bucket reference in scenario triggered rules. it should be impossible to save "bucket balance"/"available units" condition (or its global value configuration) unless a valid product bucket reference is selected from the dropdown list (when a "product bucket" option is selected).
HX10271,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0, issue #1. there is no validation for missing/invalid product bucket reference in ps for "scenario triggered" rules containing conditions "bucket balance" and "available units".  issue #2. it is possible to click "save" for conditions "bucket balance" and "available units" without selected product bucket. this causes an exception (schema validation) in the backend and an error notification in the frontend.    issue #1. 1. create a ps with a product bucket. 2. create a new scenario triggered rule 2.1. add condition "bucket balance" 2.2.1 select option "product bucket" 2.2.1.1. pick an existing product bucket from the dropdown 2.2.1.2. provide any limits (or select "no limit" for upper/lower limits) 2.2.1.3. save condition 2.3. add any action 2.4. save the rule 3. detach product bucket (remove it from the ps page). 4. you are able to save the ps (without any warning messages)  also youre able to activate it (successfully)  even though there is an invalid scenario triggered rule.  same steps are applicable for "available units" condition.  issue #2. 1. create a ps 2. create a new scenario triggered rule 2.1. add condition "bucket balance" 2.2.1. select option "product bucket" 2.2.2. select "no limit" for upper limit and lower limit 3. now youre able to save the condition even without selecting any product bucket from the dropdown "product bucket"  same steps are applicable for "availble units" condition. same steps are applicable for both local and global values and all rule contexts where "bucket balance" or "available units" conditions might be used.    it should be impossible to activate a ps with invalid rule configuration. new validation rule needs to be implemented (or any existing applicable rule needs to be updated) in order to check if there is a missing/invalid product bucket reference in scenario triggered rules. it should be impossible to save "bucket balance"/"available units" condition (or its global value configuration) unless a valid product bucket reference is selected from the dropdown list (when a "product bucket" option is selected).
HX11847,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, cus top menu disappears when the user access a ps using the latest modified list     after create a ps  if the user tries to access this ps using the last modified list  on home page   the cus top menu will disappear     1.create a new ps 2.back to the cus home page 3.access the ps create on step 1
HX11847,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1, cus top menu disappears when the user access a ps using the latest modified list     after create a ps  if the user tries to access this ps using the last modified list  on home page   the cus top menu will disappear     1.create a new ps 2.back to the cus home page 3.access the ps create on step 1
HX11847,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0, cus top menu disappears when the user access a ps using the latest modified list     after create a ps  if the user tries to access this ps using the last modified list  on home page   the cus top menu will disappear     1.create a new ps 2.back to the cus home page 3.access the ps create on step 1
HX12080,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,td1828/1831-rmca-rs-tracking-id characteristics should be "may be" personalized     unable to add shipment po to the cart due to incorrect value regulator in rmca rs-tracking-id characteristics    please refer tr hw88969 for the detailed decsription of the issue.  the fix was expected in 1825/1828/2823 td  where the minimum cardinality of characteristic with id trackingid is set to 0.  this rs is a part of pre-installed business configuration. we have verified td1828 and 1831 with rmca version 24.37.3 & 24.38.6  and the solution was not present.     trackingid personlization should be "may be personalized" and 0 required values.
HX12080,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,td1828/1831-rmca-rs-tracking-id characteristics should be "may be" personalized     unable to add shipment po to the cart due to incorrect value regulator in rmca rs-tracking-id characteristics    please refer tr hw88969 for the detailed decsription of the issue.  the fix was expected in 1825/1828/2823 td  where the minimum cardinality of characteristic with id trackingid is set to 0.  this rs is a part of pre-installed business configuration. we have verified td1828 and 1831 with rmca version 24.37.3 & 24.38.6  and the solution was not present.     trackingid personlization should be "may be personalized" and 0 required values.
HX12080,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,td1828/1831-rmca-rs-tracking-id characteristics should be "may be" personalized     unable to add shipment po to the cart due to incorrect value regulator in rmca rs-tracking-id characteristics    please refer tr hw88969 for the detailed decsription of the issue.  the fix was expected in 1825/1828/2823 td  where the minimum cardinality of characteristic with id trackingid is set to 0.  this rs is a part of pre-installed business configuration. we have verified td1828 and 1831 with rmca version 24.37.3 & 24.38.6  and the solution was not present.     trackingid personlization should be "may be personalized" and 0 required values.
HX13089,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0, ps page is broken for all ps that have a connection to the versioned cfss    create a cfss  connect it to a rfss (i used an rfss for offline voice) activate the cfss. create a ps and connect it to the cfss created in step 1. go to the cfss and create a new version (without setting a date for the version) <- important go back to the ps. it will now through an exception. same thing happens for all upstream entities (pos)  i got a similar error when i was playing around with pos that had promotion relationships for other pos that i had created a new version on. here i got the error when i created a new version of the po including both callstacks.   should handle the warning/validation error gracefully.
HX13089,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0, ps page is broken for all ps that have a connection to the versioned cfss    create a cfss  connect it to a rfss (i used an rfss for offline voice) activate the cfss. create a ps and connect it to the cfss created in step 1. go to the cfss and create a new version (without setting a date for the version) <- important go back to the ps. it will now through an exception. same thing happens for all upstream entities (pos)  i got a similar error when i was playing around with pos that had promotion relationships for other pos that i had created a new version on. here i got the error when i created a new version of the po including both callstacks.   should handle the warning/validation error gracefully.
HX13089,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0, ps page is broken for all ps that have a connection to the versioned cfss    create a cfss  connect it to a rfss (i used an rfss for offline voice) activate the cfss. create a ps and connect it to the cfss created in step 1. go to the cfss and create a new version (without setting a date for the version) <- important go back to the ps. it will now through an exception. same thing happens for all upstream entities (pos)  i got a similar error when i was playing around with pos that had promotion relationships for other pos that i had created a new version on. here i got the error when i created a new version of the po including both callstacks.   should handle the warning/validation error gracefully.
HX13174,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0, it is possible in a new version to edit the amount that a linear refill to ba has  when changed i get an validation error "the field may not be be modified due to realm signature."  same thing with : set relative fee linear refill to pb  set  fee works to change without getting a validation error.   create a new ps with a refill service and all different actions. create a po with values for all different actions. activate the po create a new version and change either of the 3 actions state   not clear if its the validation that is wrong or if its the possibility edit the fields that is wrong.
HX13174,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0, it is possible in a new version to edit the amount that a linear refill to ba has  when changed i get an validation error "the field may not be be modified due to realm signature."  same thing with : set relative fee linear refill to pb  set  fee works to change without getting a validation error.   create a new ps with a refill service and all different actions. create a po with values for all different actions. activate the po create a new version and change either of the 3 actions state   not clear if its the validation that is wrong or if its the possibility edit the fields that is wrong.
HX13174,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0, it is possible in a new version to edit the amount that a linear refill to ba has  when changed i get an validation error "the field may not be be modified due to realm signature."  same thing with : set relative fee linear refill to pb  set  fee works to change without getting a validation error.   create a new ps with a refill service and all different actions. create a po with values for all different actions. activate the po create a new version and change either of the 3 actions state   not clear if its the validation that is wrong or if its the possibility edit the fields that is wrong.
HX13746,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0, unable to update an existing po in rmca    unable to update an po in rmca.  drop: 1834 rmca:   steps to reproduce the issue. 1) create bronzelinevoicepo (with price 0.2) in rmca - success 2) activate bronzelinevoicepo in rmca - success 3) update bronzelinevoicepo (with price 0.3) in rmca - fail  error received while sending the update po request {   "genericinterfaceparameters": {     "passingparameterset": [       {         "timestamp": "2018-08-08t17 07+02:00"          "instanceid": "vmx-cpm-194.ete.ka.sw.ericsson.se"       }     ]   }    "error": {     " 400      " "bad request"      "errormessage": "bad request"      "errordetails": "bad request : invalid number of objects found (3) for path id and value generatedid"   } }  the test request and response messages and the investigation by fredrik from rmca is attached as the tr_details.zip.   
HX13746,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0, unable to update an existing po in rmca    unable to update an po in rmca.  drop: 1834 rmca:   steps to reproduce the issue. 1) create bronzelinevoicepo (with price 0.2) in rmca - success 2) activate bronzelinevoicepo in rmca - success 3) update bronzelinevoicepo (with price 0.3) in rmca - fail  error received while sending the update po request {   "genericinterfaceparameters": {     "passingparameterset": [       {         "timestamp": "2018-08-08t17 07+02:00"          "instanceid": "vmx-cpm-194.ete.ka.sw.ericsson.se"       }     ]   }    "error": {     " 400      " "bad request"      "errormessage": "bad request"      "errordetails": "bad request : invalid number of objects found (3) for path id and value generatedid"   } }  the test request and response messages and the investigation by fredrik from rmca is attached as the tr_details.zip.   
HX13746,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0, unable to update an existing po in rmca    unable to update an po in rmca.  drop: 1834 rmca:   steps to reproduce the issue. 1) create bronzelinevoicepo (with price 0.2) in rmca - success 2) activate bronzelinevoicepo in rmca - success 3) update bronzelinevoicepo (with price 0.3) in rmca - fail  error received while sending the update po request {   "genericinterfaceparameters": {     "passingparameterset": [       {         "timestamp": "2018-08-08t17 07+02:00"          "instanceid": "vmx-cpm-194.ete.ka.sw.ericsson.se"       }     ]   }    "error": {     " 400      " "bad request"      "errormessage": "bad request"      "errordetails": "bad request : invalid number of objects found (3) for path id and value generatedid"   } }  the test request and response messages and the investigation by fredrik from rmca is attached as the tr_details.zip.   
HX14183,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, cha will always fail a usage strategy with a set fix price without a set linear price.      in rmca it is possible to create a usage strategy that only includes a set  price.  create a ps and add a usage cfss create a rule for the cfss and only add a set fixed price save and activate.     set fixed price should only be possible to add if a linear price is added first.
HX14183,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1, cha will always fail a usage strategy with a set fix price without a set linear price.      in rmca it is possible to create a usage strategy that only includes a set  price.  create a ps and add a usage cfss create a rule for the cfss and only add a set fixed price save and activate.     set fixed price should only be possible to add if a linear price is added first.
HX14183,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0, cha will always fail a usage strategy with a set fix price without a set linear price.      in rmca it is possible to create a usage strategy that only includes a set  price.  create a ps and add a usage cfss create a rule for the cfss and only add a set fixed price save and activate.     set fixed price should only be possible to add if a linear price is added first.
HX16411,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0, the resouce gui indicates that only 20 items exists even if more items exists   msv 5.1.0 ep01a rmca 24.40.2 cus 1.21.1  in gui logical reource specification - resources: - it is not shown that more pages with items exists even if it should do - only 20 items exists even if more items exists - its not possible to select number of items per page   
HX16411,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1, the resouce gui indicates that only 20 items exists even if more items exists   msv 5.1.0 ep01a rmca 24.40.2 cus 1.21.1  in gui logical reource specification - resources: - it is not shown that more pages with items exists even if it should do - only 20 items exists even if more items exists - its not possible to select number of items per page   
