issueNumber,prNumber,Util,APM,Network,DB,Error Handling,Logging,Lang,Data Structure,i18n,Setup,Logic,IO,UI,Parser,Event Handling,App,GIS,Multimedia,CG,corpus
1501,1502,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix
1476,1502,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix
1477,1502,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix
998,1504,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,context menus
1144,1527,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,extract lib audio devices
1182,1533,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,clip names
1153,1586,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,extract lib project
1152,1587,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,extract lib screen geometry
1143,1588,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,extract lib project rate
1580,1594,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,some audio io refactoring
1590,1602,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,audacitymessagebox button presses can now be replayed in journal
1258,1614,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,wave clip rename
1444,1616,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,label track shift drag
1544,1616,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,label track shift drag
398,1623,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,ffmpeg update
1034,1623,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,ffmpeg update
1170,1623,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,ffmpeg update
1201,1623,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,ffmpeg update
1331,1623,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,ffmpeg update
1433,1623,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,ffmpeg update
1466,1623,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,ffmpeg update
1333,1630,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,not move clip on insertion by default
1581,1637,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,disentangle midi play from audio io
1582,1638,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,generalize play head position updates
1631,1639,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,fix journal of return key invoking default dialog button on mac
1658,1664,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,playback policy classes
1382,1675,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,restore missing localizations for linux appimage
1644,1677,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,the setclip command can set the clip name
1660,1678,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,clip renaming context menu item
998,1678,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,clip renaming context menu item
1400,1679,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,smart clips
1401,1679,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,smart clips
1613,1711,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,wave time shift tool hit testing fix
1427,1717,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,makes selection tool available at affordance area
1689,1736,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,fix clip frame drawing
1755,1756,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,loop play button
1751,1758,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,fix for ffmpeg loading on macos
1702,1766,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix cut preview
1703,1766,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix cut preview
1568,1766,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix cut preview
1566,1766,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix cut preview
1411,1779,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,brush tool improvements
1772,1779,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,brush tool improvements
1773,1779,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,brush tool improvements
1775,1779,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,brush tool improvements
1776,1779,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,brush tool improvements
1777,1779,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,brush tool improvements
1651,1793,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,fix auto clip naming
1459,1799,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,set the page_size for aup files using pragma
1460,1802,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,remove the requirement for the sqlite_enable_dbpage_vtab
1704,1808,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,adjusting loop playback
1157,1816,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,extract lib theme
1698,1832,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,new clip naming scheme
1825,1836,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,change default spectrogram settings
1759,1840,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,fix event handling in wavetrackaffordancecontrol
1813,1841,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,adds whats new link to the splash dialog
1803,1843,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,multi tool shortcut is again f not f
1820,1848,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,right channel delete key behavior
1847,1848,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,right channel delete key behavior
1838,1854,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,issue screen readers should read labels when tabbing
1710,1857,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,issue compromise
1863,1864,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,issue add names of clips to messages for screen readers
1833,1865,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,fix text edit shortcuts
1870,1871,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,issue feedback for screen readers when tabbing to clips
1858,1872,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,exit editing of clip a name and redraw when a trackpanel loses focus
1835,1874,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,fix clip name editing
1834,1874,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,fix clip name editing
1814,1883,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,avoid drawing text outside the clipping rectangle if possible
1890,1894,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,less laggy response of looping playback to change of region bounds
1842,1898,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,customizable ctrl f not hard coded return to edit clip names
1752,1914,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,allow the application appearance to match the theme on macos
1739,1916,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix bug with lof unicode using
1896,1930,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,click away from trackpanel still in audacity ends clip name edit
1927,1936,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,fix recording to a new track
1884,1938,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,fix tab usage in wavetrack
1903,1940,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,adds an ability to change projects user_version based on features used
1934,1947,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,issue renaming clip using the keyboard
1260,1950,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,playback looping drags
1706,1950,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,playback looping drags
1707,1950,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,playback looping drags
1946,1958,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,fixes splash screen size when whats new is shown
1822,1965,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,fix crash on looping play seen on windows
1961,1967,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,snapping when dragging whole play region leaves length unchanged
1962,1976,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,fixes alt key behavior if track is present
1780,1978,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,change shortcut for renaming label to hardcoded ctrl f
1860,1981,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,clips visibility
1931,1985,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,fix for text navigation with arrows
1924,1992,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,issue starting play with empty selection loop disabled
1971,1993,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,fix timeline hot zones
1984,2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix playback policies
1994,2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix playback policies
1995,2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix playback policies
2003,2002,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix playback policies
1999,2007,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,minor looping region ui fixes
1990,2013,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,issue fix clip rename history
1969,2014,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,issue fix recording starting position
2011,2015,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,initialize play region to be invalid region
2019,2023,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,adds a checkmark to loop on off menu
2029,2030,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,fix manual link
2036,2039,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,fix envelope drawing again
