issueNumber,prNumber,Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
426.0,501,0,0,0,1,1,1,0,0,refactored testmethodsfinder to a static utility class
426.0,502,1,0,0,1,1,1,1,0,refactored argumentscomparator to a static utility class
426.0,503,1,0,0,0,1,1,0,0,refactored nongreedynumberofinvocationsinorderchecker to a static uti…
506.0,507,1,0,0,1,1,1,0,0,improved exception message fixes issue
194.0,510,1,0,0,0,1,0,0,0,tweaks any matchers
426.0,514,1,0,0,1,1,1,1,0,refactored mockutil to a static utility class
426.0,515,1,0,0,0,1,1,0,0,refactored allinvocationsfinder and verifiableinvocationsfinder to st…
508.0,525,0,0,0,0,0,1,0,0,add regression test for
194.0,528,1,0,0,0,1,0,0,0,missing generics info on collection matchers
426.0,535,1,0,0,1,1,1,0,0,refactored supertypeslastsorter to a static utility class
426.0,540,1,0,0,0,1,0,0,0,inlined arrayutilsisempty in argumentsprocessor
426.0,547,1,0,0,1,1,1,1,0,refactored objectmethodsguru to a static utility class
538.0,550,1,0,0,1,1,1,0,0,changed error message in case initialization for mock injection fails
384.0,555,1,1,0,1,1,1,1,0,junit rules report unused stubs
527.0,555,1,1,0,1,1,1,1,0,junit rules report unused stubs
554.0,560,1,0,0,1,1,1,0,0,checkschecknotnull now throws iae instead of npe
332.0,568,1,0,0,0,1,1,0,0,ensured that mockitojunitrunner is thread safe wrt unused stubs detection
401.0,568,1,0,0,0,1,1,0,0,ensured that mockitojunitrunner is thread safe wrt unused stubs detection
541.0,569,1,0,0,0,1,1,0,0,improved the public api of mockingdetails
552.0,592,1,1,0,1,1,1,1,0,stylesheet tweaks for openjdk
497.0,615,1,1,1,1,1,1,1,0,returns_deep_stubs may try to mock final classes
338.0,617,1,0,0,0,1,1,0,0,moves arity interfaces of java helper answers to public api
548.0,619,1,0,0,0,0,1,0,0,from now on verification happens always call in other thre…
601.0,619,1,0,0,0,0,1,0,0,from now on verification happens always call in other thre…
596.0,623,0,0,0,0,0,1,0,0,updated the javadocs
439.0,635,0,0,0,1,1,1,0,0,unified logic of argument matching and capturing
583.0,635,0,0,0,1,1,1,0,0,unified logic of argument matching and capturing
520.0,639,0,0,0,0,1,1,0,0,update travis configuration to also build on oraclejdk
640.0,646,1,1,0,1,1,1,1,0,warns user to upgrade if java version is to low
653.0,654,0,0,0,0,1,1,0,0,renamed failuredetecter to failure detector
707.0,711,0,0,0,0,1,0,0,0,adds throwable to arity answers also improved javadoc
727.0,746,1,1,1,1,1,1,1,1,add missing copyright headers
731.0,771,1,0,0,0,0,1,0,0,implements retry rule for flaky tests
801.0,803,1,0,0,1,1,1,0,0,adds a warning for ibm j vms if mock generation fails
770.0,807,1,0,0,0,0,1,0,0,new opt in stubbing strictness implemented in junit rules
820.0,821,1,0,0,1,1,1,1,0,returnsargat to handle returning vararg as arrays
818.0,823,1,1,0,1,1,1,1,0,only resolve instrumented method after validating that an instance is…
820.0,826,0,0,0,1,1,1,1,0,introduce validable answers for early validation of stubbing
822.0,830,0,0,0,0,0,1,1,0,improves exception message in case a matcher is used for a primitive parameter
825.0,831,1,0,0,1,1,1,0,0,test clean up according to discussions for rememberinglisteners
838.0,839,1,0,0,0,1,1,1,0,adds a matches pattern
840.0,843,0,0,0,0,0,1,0,0,junit rule strictness can be tweaked per test method
860.0,861,0,0,0,0,1,1,0,0,backport release x changes to master fix for
384.0,865,1,0,0,0,1,1,0,0,new strict stubbing api mockitosession
857.0,865,1,0,0,0,1,1,0,0,new strict stubbing api mockitosession
898.0,865,1,0,0,0,1,1,0,0,new strict stubbing api mockitosession
866.0,867,0,0,0,0,1,1,1,0,should not throw npe when custom exception fillinstacktrace returns null
860.0,868,1,1,0,1,1,0,1,0,jacaco synthetic fields are not anymore final in
879.0,880,1,0,0,0,1,0,0,0,argumentmatchers javadoc grammar improvement
879.0,881,1,0,0,0,1,0,0,0,argumentmatchers grammar fix
878.0,885,0,0,0,1,1,0,0,0,spy annotation reports better error message if instance creation is impossible
874.0,891,1,0,0,0,0,1,0,0,update to byte buddy fixes bridge method resolution for generic types
895.0,896,1,1,0,0,1,1,0,0,clarify documentation for consecutive stubbing
814.0,905,1,1,0,0,1,1,0,0,a elements were missing the name attribute
426.0,907,1,0,0,0,1,1,0,0,unified all number of invocations checker in numberofinvocationschecker
426.0,908,1,0,0,1,1,1,0,0,simplified the creation of argumentsaredifferent exceptions
426.0,914,1,1,0,1,1,1,1,0,refactored removefirstline to a static utility class
927.0,933,1,1,0,1,1,1,1,0,support for return type void in doesnothinganswer
685.0,935,1,1,0,1,1,1,1,0,new feature enable mocking using constructor arguments
680.0,942,1,1,0,0,1,1,0,0,allow spying on interfaces so that it is convenient to work with java default methods
688.0,972,0,0,0,0,0,1,0,0,verifies acceptance test to prevent future regression
974.0,979,1,1,0,1,1,1,1,0,fix to get correct stubbing location with inline mocking
976.0,980,1,0,0,1,1,1,0,0,resolve ambiguous constructors
982.0,983,1,1,0,1,1,1,1,0,break cyclical compile time dependency on hiderecursivecall
929.0,985,1,1,0,0,1,1,0,0,update javadoc about the mockito inline artifact
981.0,985,1,1,0,0,1,1,0,0,update javadoc about the mockito inline artifact
989.0,995,1,0,0,0,1,1,0,0,verifyzerointeractions guarantees zero interactions instead of just delegating to verifynomoreinteractions
911.0,1018,1,1,0,0,1,1,0,0,enabled continuous delivery via robust mockito release tools project
1071.0,1076,0,0,0,1,1,1,1,0,validation in returnargumentat int in case of type erasure on the parameter
1065.0,1079,1,0,0,1,1,1,0,0,add information about donothing method to cannotstubvo…
1083.0,1090,1,1,0,1,1,1,0,1,interfaces only declare tostring implicitly and should t…
1088.0,1091,1,1,0,0,1,1,0,0,updating documentation of verify feature to correct a s…
1117.0,1119,1,0,0,0,1,1,1,0,made it possible to delay the return of a mock or spy
1110.0,1121,1,1,0,1,1,1,1,0,improve and develop apis required for framework integrators
1117.0,1122,1,0,0,0,1,1,1,0,made it possible to delay the return of a mock or spy
1135.0,1136,1,1,0,1,1,1,1,0,properly resolve visibility bridges
86.0,1146,1,0,0,1,0,1,0,0,enable stubonly on mock annotation
1155.0,1162,1,0,0,0,0,1,1,0,fix for thenthrow class
1179.0,1181,1,1,0,1,1,0,1,0,fix performance regression caused by use of method graph compiler
1180.0,1186,1,1,0,1,1,1,1,0,compare method of graph to defined form of method
1191.0,1192,1,0,0,0,1,1,1,0,added new public api for spring boot use case
1198.0,1202,1,0,0,0,1,1,0,0,java ci build for mockito x
1191.0,1203,1,0,0,0,1,1,0,0,documentation issue added unit tests
1211.0,1214,1,1,0,0,1,1,0,0,improve deprecated javadoc
1206.0,1216,1,1,1,1,1,1,1,0,adresses allow opting out from annotation copying within mocks
1183.0,1217,1,1,0,1,1,0,1,0,make override check more forgiving to accomondate kotlin compile patterns
117.0,1219,1,0,0,0,0,1,0,0,add regression test for issue
445.0,1221,1,0,0,1,1,1,0,0,mockitoextension for junit
1130.0,1228,0,0,0,1,0,0,0,0,add checkreturnvalue to stubbing verification methods
904.0,1247,1,0,0,1,1,1,0,0,remove several container classes and inline code
1254.0,1257,1,1,0,1,1,1,1,0,and improved check for self invocation
1256.0,1257,1,1,0,1,1,1,1,0,and improved check for self invocation
106.0,1258,1,1,0,1,1,1,0,0,prevent class loading race condition
1262.0,1268,1,1,0,0,1,1,0,0,update doc for answerscalls_real_methods
1130.0,1270,1,1,0,1,1,1,0,0,cleaner code for mockito users by better integration with static code checkers more checkreturnvalue
792.0,1272,1,1,0,0,1,1,0,0,strictness configurable per mock stubbing
108.0,1280,0,0,0,0,1,1,0,0,update strict_stubs documentation for verifynomoreinteractions
1232.0,1301,1,0,0,1,1,1,1,0,extend mockitosession builder api to enable usage by testing frameworks
1306.0,1307,1,0,0,0,1,1,0,0,update public api of invocationfactory needed for android static mocking
1279.0,1310,0,0,0,0,1,1,0,0,ensure isolation of stubbings
1296.0,1310,0,0,0,0,1,1,0,0,ensure isolation of stubbings
1314.0,1319,1,0,0,0,1,1,0,0,include all the invocation in mock verification error message
111.0,1320,1,1,0,1,1,1,1,0,avoid bytebuddy import issue to enable repackaging without bytebuddy
1326.0,1327,0,0,0,0,1,0,1,0,reduce the allocation rate for the typical use of locat…
1346.0,1349,1,0,0,1,1,1,0,0,different mocks are used for mock and injectmock in the same test class with junit extension
1348.0,1350,1,1,0,1,1,1,1,0,support local parameters in test methods with junit jupiter
1367.0,1368,0,1,1,1,1,0,0,0,resolve the correct protection domain for the codegen package when using reflection
1364.0,1369,1,1,0,1,1,1,0,1,performance improvements
1240.0,1378,1,1,0,1,1,1,0,1,avoid circularity avoid endless loop during mock creation
1386.0,1387,1,0,0,0,0,1,0,0,adding atmostonce rename threadverifiescontinuoslyinteractingmocktest and one todo
1390.0,1391,1,0,0,0,0,1,0,0,make mockitoextension constructor public
1401.0,1402,1,0,0,0,1,1,0,0,correctly handle varargsmatcher check for hamcrestmatchers
1419.0,1426,1,1,0,1,1,1,0,1,mockito on java ea
1438.0,1439,1,1,0,0,1,1,0,0,javadoc update ignorestubs to include strictness
793.0,1458,1,0,0,0,1,1,0,0,add stubbinglookupevent and notifier a part of
1460.0,1463,0,0,0,0,0,1,0,0,prevent stubonly from being verified
1466.0,1543,1,0,0,0,1,1,1,0,exposed new api stubbinglookuplistener
793.0,1543,1,0,0,0,1,1,1,0,exposed new api stubbinglookuplistener
1541.0,1544,1,0,0,0,1,1,0,0,prevent premature garbage collection of mock objects
151.0,1549,1,0,0,0,1,1,0,0,issue with leftover state when stubbing with bad throwables
155.0,1552,0,0,0,0,0,1,0,0,minimal test to repro generic issue with smart nulls
155.0,1554,0,0,0,0,0,0,0,0,verifyerror when junit is in the classpath
1551.0,1576,0,0,0,0,1,1,1,0,fix bug cce on smart not null answers
1577.0,1582,1,0,0,0,1,1,1,0,refactoring naming rule for sealed packages to better work with the java module system
1584.0,1585,1,1,1,1,1,1,1,0,where multipleparentclassloader lacks of classloaders of superclasses
1587.0,1588,1,0,0,1,1,0,0,0,remove unnecessary loop from injectingannotationengine
1578.0,1596,0,0,0,0,0,1,0,0,outer class mocks unavailable from inner class
353.0,1596,0,0,0,0,0,1,0,0,outer class mocks unavailable from inner class
357.0,1612,1,0,0,0,1,1,1,0,return null instead of causing a cce
1615.0,1617,1,0,0,0,0,1,1,0,with mocking of javautil classes
1532.0,1619,1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test
1533.0,1619,1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test
1614.0,1619,1,1,1,1,1,1,1,0,new api to clean up all inline mocks after test
1618.0,1620,1,0,0,0,1,1,1,0,fix strict stubbing profile serialization support
1621.0,1624,1,1,0,1,1,1,1,0,handle terminal type var with bounds
1642.0,1644,0,0,0,0,1,1,0,0,verificationcollector to handle non matching args and other assertions
166.0,1665,1,0,0,1,1,0,1,0,new public api invocationgetargumentsasmatchers
1663.0,1667,1,1,0,1,1,1,0,0,improved ide experience for junit visual comparison failure
1599.0,1672,0,0,0,0,1,1,0,0,report initialization failures per test method
1692.0,1693,1,0,1,0,1,0,0,0,make mockitonotextensible service loadable
1542.0,1701,1,0,0,1,1,1,0,0,show multiple invocations on argumentsaredifferent
1556.0,1701,1,0,0,1,1,1,0,0,show multiple invocations on argumentsaredifferent
1623.0,1708,1,0,0,1,1,1,0,0,rename toolittleactualinvocations
1713.0,1714,1,1,0,0,1,1,0,0,fix typo in mockitojava javadoc
298.0,1715,1,0,0,0,0,1,0,0,replaces objenesis references from stubbing classes with plugin equivalents
1717.0,1718,1,1,0,1,1,1,0,1,configure the methodvisitor for java compatibility
1716.0,1723,0,0,0,0,0,0,0,0,change implementation of exceptionfactory to explicitly test for dependent classes
977.0,1733,1,1,0,1,1,1,1,0,verifynointeractions guarantees no interactions with mock
989.0,1733,1,1,0,1,1,1,1,0,verifynointeractions guarantees no interactions with mock
1743.0,1745,1,1,0,0,1,1,0,0,clarify default answer in
1513.0,1760,1,1,0,0,1,1,0,0,minor bug fixes
1747.0,1760,1,1,0,0,1,1,0,0,minor bug fixes
1758.0,1762,1,0,0,1,1,1,1,0,method generictypeextractorfindgenericinterface always …
1769.0,1773,0,0,0,0,1,1,0,0,clarify default strict stubbing behaviour in
178.0,1781,1,0,0,0,1,1,0,0,close file handle to avoid a file handle leak
1780.0,1781,1,0,0,0,1,1,0,0,close file handle to avoid a file handle leak
1786.0,1787,1,1,0,0,1,1,0,0,clarify differences between timeout and after
1630.0,1788,0,0,0,0,0,1,0,0,upgraded junit jupiter
1630.0,1789,1,0,0,1,1,1,0,0,junit jupiter parallel issue
1791.0,1798,1,1,0,0,1,1,0,0,fix typo in the wiki link
1587.0,1810,0,0,0,0,0,1,0,0,revert remove unnecessary loop from injectingannotationengine
1771.0,1813,1,1,0,1,1,0,1,0,upgrade byte buddy to from
181.0,1818,1,1,0,0,1,1,0,0,add duration overloads
181.0,1819,0,0,0,0,1,1,0,0,deprecate mockitohamcrest
1767.0,1821,0,0,0,0,1,1,0,0,guard against multiple evaluations of before statement
1815.0,1845,1,1,0,1,1,1,0,0,revert add duration overloads
1846.0,1847,1,0,0,1,1,1,0,0,undetected unused stubbing when matching previous stubbed call
1848.0,1849,1,0,0,1,1,1,1,0,performance optimization by using methodgetparametercount where possible
522.0,1850,1,0,0,0,1,1,1,0,basic test suite for osgi framework
678.0,1850,1,0,0,0,1,1,1,0,basic test suite for osgi framework
1853.0,1854,1,0,0,1,0,1,0,0,allow mockitosettings to be inherited
1877.0,1878,1,0,0,1,1,1,1,0,revert undetected unused stubbing when matching previous stubbed call
1880.0,1881,0,0,0,0,0,0,0,0,fix unnecessarystubbingexception javadoc
1875.0,1890,1,0,0,0,1,1,1,0,fix mocks throwing same instance with throwable class
1894.0,1895,1,0,0,0,0,1,0,0,checkstyle error on windows
1910.0,1911,1,0,0,0,1,0,0,0,update description of argumentmatcher javadoc
190.0,1914,1,0,0,0,0,1,1,0,fix pattern matcher not matching to subregion
1905.0,1914,1,0,0,0,0,1,1,0,fix pattern matcher not matching to subregion
189.0,1942,1,1,1,0,1,1,1,0,return mock name from tostring method for deep stub mocks
1898.0,1942,1,1,1,0,1,1,1,0,return mock name from tostring method for deep stub mocks
1712.0,1949,1,0,0,0,1,1,0,0,prepend description to assertionerror thrown in verification
1960.0,1961,1,1,0,0,1,1,0,0,document using mock with method parameters
1967.0,1968,1,1,0,1,1,1,0,0,correctly handle mocks with limited life cycle in listeners
1855.0,1974,1,0,0,1,1,1,0,0,and improve error message when the inline mock maker cannot be used
1988.0,1989,1,0,0,1,1,1,0,0,do not pass static mocks to regular listener callback
2015.0,2017,1,1,0,1,1,1,0,0,only enable mocking of types right before instantiation to avoid circular interception of constructor creation
2015.0,2018,1,1,0,1,1,1,0,0,only enable mocking of types right before instantiation to avoid circular interception of constructor creation
2011.0,2023,1,1,0,1,1,1,0,1,initializes classes prior to instrumentation to avoid uncontrolled code execution
1802.0,2034,1,1,0,1,1,1,1,0,escape mock during method dispatch on mock to avoid premature garbage collection
198.0,2042,1,1,0,1,1,1,1,0,mock resolver plugin
2040.0,2046,1,1,0,1,1,1,1,1,do not exclude synthetic constructors from instrumentation
206.0,2071,1,0,0,1,1,1,0,0,argumentmatcher error messages use lambda class names
2061.0,2071,1,0,0,1,1,1,0,0,argumentmatcher error messages use lambda class names
2092.0,2176,1,1,1,1,1,1,1,0,bump versionserrorprone from to
2094.0,2176,1,1,1,1,1,1,1,0,bump versionserrorprone from to
2105.0,2176,1,1,1,1,1,1,1,0,bump versionserrorprone from to
2173.0,2179,0,0,0,0,1,1,0,0,fix reversed order of verify parameters
2154.0,2193,0,0,0,0,1,1,0,0,javalangobject is now instrumented again
2235.0,2236,1,0,0,0,1,1,0,0,bugfix verify on a wrapped mock fails
2238.0,2241,1,1,0,1,1,1,1,0,do not omit stack frames of causing class
218.0,2259,1,0,0,1,1,1,0,0,but invoked here lists the invocation parameters
2242.0,2263,0,0,0,0,0,1,0,0,make exceptions for inorderverify more standard spec…
2266.0,2267,1,1,0,1,1,1,1,0,include cause when fieldreader fails to access field
2273.0,2274,0,0,0,0,1,1,0,0,add missing parenthesis to javadoc example
2257.0,2298,1,0,0,1,1,1,0,0,bump versionserrorprone from to
2260.0,2298,1,0,0,1,1,1,0,0,bump versionserrorprone from to
2282.0,2298,1,0,0,1,1,1,0,0,bump versionserrorprone from to
2324.0,2298,1,0,0,1,1,1,0,0,bump versionserrorprone from to
230.0,2306,1,1,1,1,1,1,1,0,use the parent classloader if the context classloader is a child of it
2303.0,2312,0,0,0,1,0,1,1,0,undo parent for multipleparentsclassloader
2303.0,2318,1,1,1,1,1,1,1,0,check package privacy of method params
