issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
1134.0,1138,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,importformatreader test
318.0,1149,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,replace normalizenamesformatter by authorlist and so
1163.0,1168,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,by removing the strange functionality which enabled sorting…
936.0,1192,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,preview panel is now updated when an entry is cut deleted again
1080.0,1207,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,restructure importers
1153.0,1207,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,restructure importers
405.0,1215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,improved conversion maps and conversion speed
1188.0,1217,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,added integrity checker for odd number of
1212.0,1217,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,added integrity checker for odd number of
1091.0,1229,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,apply and ensure correct import sort order
1188.0,1238,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,added integrity checker to detect html encoded characters in fields
124.0,1246,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,fixed
1245.0,1246,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,fixed
1251.0,1278,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,tried to but all tests pass
625.0,1281,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,replace bibtexentryassert by overwriting bibentryequals method
1271.0,1282,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,authors with compound first names are parsed properly
871.0,1298,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,added option to copy version information in the about dialog
1290.0,1300,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,change jabref help to online help
1290.0,1301,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,change jabref help to online help
1294.0,1304,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,implemented jstyle file filter and opening in last dir
1295.0,1310,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,npe when sorting tabs
1312.0,1318,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,update localization instructions
1347.0,1349,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,open urls does not work with query strings
1294.0,1350,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,fix npe on selecting invalid jstyle
1353.0,1355,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,update preview panel on generate bibtexkey
1351.0,1368,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,removed possibility to automatically add braces via option preferen…
872.0,1383,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,implemented error console in javafx
1334.0,1384,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,display correct number of entries in static groups
135.0,1388,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fix sorting issue
1381.0,1389,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,file links containing blanks are broken if non default viewer is set
1063.0,1397,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,add fields for nbibimporter and add testfile
1399.0,1401,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,export to html html code is not well formed
1408.0,1409,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,cleanup guiglobals
1342.0,1429,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,show description of case converters as tooltip
1420.0,1440,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,auto downloader should respect file pattern and propose correct filename
651.0,1443,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,improve parsing of author names containing braces
888.0,1453,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,refactor placement of parsing and writing logic
661.0,1459,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,create update checker for the enduser
1455.0,1460,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,npe when retrieving bibtex data from doi
145.0,1463,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,fix for
1450.0,1463,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,fix for
1026.0,1471,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,preserve user comments in bib file
1434.0,1474,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,static groups are now longer displayed as dynamic ones
1063.0,1479,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,rewrite medlineimporter with jaxb and add nbib fields
1482.0,1483,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,correct number of matched entries is displayed for refining subgroups
1485.0,1486,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,export shorttitle as standard field
1444.0,1487,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,implement getextension and getdescription for importers
1507.0,1511,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,keywords are now separated by the delimiter specified in the preferences
1396.0,1526,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,journal abbreviations dialog ported to javafx
825.0,1549,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,searchbar across all bib files instead each having its own
1338.0,1563,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,added button to crossref entry editor field to select parent entry
1530.0,1567,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,fix integrity checker should ignore unescaped hashes in url field
1356.0,1572,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,implement
126.0,1581,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,fixed
1264.0,1581,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,fixed
1527.0,1583,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,fixed and some refactoring cleanups
124.0,1584,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,added layout dateformatter see
1249.0,1584,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,added layout dateformatter see
1345.0,1590,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,implemented cleanup issn
159.0,1599,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,fixed
1592.0,1599,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,fixed
1579.0,1601,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,move event
1579.0,1604,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,move preferences
1613.0,1616,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,use jabref default icon for uninstaller for now
482.0,1616,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,use jabref default icon for uninstaller for now
1321.0,1622,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,improved latex to unicode html formatters to output more sensible val…
1632.0,1638,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,keep comment text in a bib file
1665.0,1666,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,rewrite bibtexml importer with jaxb parser
898.0,1666,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,rewrite bibtexml importer with jaxb parser
1288.0,1671,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,newly opened bib file is not focused
1669.0,1678,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,fixed oo lo manual connection dialog on linux
1682.0,1683,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,do not cite entries without a key in openoffice libreoffice
1716.0,1717,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,fixes broken serialization of bibentries containing an
1726.0,1732,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,changed possibly giant undo redo texts in status field
1724.0,1733,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,fixed concurrentmodificationexception when removing a field in the so…
1519.0,1734,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,removed seiten from pagetotal and fixed a totally unrelated npe
1499.0,1755,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fixed name column rendering and
153.0,1755,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fixed name column rendering and
1531.0,1755,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fixed name column rendering and
1750.0,1765,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,export to office
1767.0,1770,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,implements add help button to access new help page
1776.0,1780,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,fix arxiv fetcher not working correctly
1795.0,1797,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,improved main table rendering when using eg title author
1803.0,1812,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,working directory is set to full path including filename
1804.0,1823,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fixed url field is not removed by integrity check
1687.0,1837,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,month field ascending descending sorting swapped
184.0,1848,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,allow setting the etal string empty implements
1841.0,1848,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,allow setting the etal string empty implements
1841.0,1857,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,fixed npe when loading a style file that has no default style
1663.0,1865,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,fixed better multi monitor support
1496.0,1869,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,download many files in one go
1881.0,1888,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,do not mark a new database as changed
1882.0,1893,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,fix invalid bibtexkey freeze
1506.0,1894,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,implemented title and camel key modifiers
1092.0,1899,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,move files to subfolders in file directory
1897.0,1906,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,check integrity year check added
1912.0,1914,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,check integrity edition check implemented
1922.0,1926,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,extract all integrity checker classes to its own file
119.0,1928,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,support citationstyles
1851.0,1931,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,export number field as number if not patent or issue in office xml
1920.0,1942,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,mods importer
1943.0,1944,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,try around with xmlunit
1877.0,1950,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,towards hierarchical keywords
628.0,1950,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,towards hierarchical keywords
705.0,1950,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,towards hierarchical keywords
1949.0,1952,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,fix wrong path in error message
1959.0,1962,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,minor improvements to the javafx about dialog
1958.0,1970,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,verbatim url field is no longer checked for html encoded chars
1979.0,1981,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,icon does not change when toggling global search
1937.0,2005,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,check avaiable help lanugages when opening specific help page
2012.0,2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,implemented integrity monthchecker
463.0,2027,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,disable context menu action on selection of multiple entries
1074.0,2028,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,fix ris import
1647.0,2028,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,fix ris import
2029.0,2031,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,fix localization task hints
1542.0,2034,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,fix bad web search error messages
549.0,2037,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,added new menu and action to copy bibtex key as url
490.0,2040,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,right click menus should allow copying doi url
1993.0,2043,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,use parallel stream while searching
2054.0,2055,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,fix ignore version
2012.0,2066,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,medline fetcher using new infrastructure
2064.0,2067,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,undo
1808.0,2069,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,fix changing the font size not working when importing preferences
2021.0,2070,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,fix execution of preference migrations
2064.0,2075,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,other fields fix and changes
1886.0,2082,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,quick fix google scholar entry fetching
2078.0,2088,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,rewrite mods exporter and add test
1993.0,2091,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,speed up search
2021.0,2094,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,make all files selectable in file chooser dialogs
1993.0,2102,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,store latex free fields in bibentry
2104.0,2106,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,crash after saving bibtex source with parsing error
2109.0,2114,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,ctrl s parsing error message
2050.0,2121,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,fix codecov issue
2142.0,2129,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,dont change the selected entry after search if you edit an entry
1670.0,2145,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,change download url to downloadsjabreforg
2098.0,2161,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,fix group drag and drop
2119.0,2161,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,fix group drag and drop
2133.0,2163,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,fix highlighting issues
2168.0,2169,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,fix failing ads test
2166.0,2175,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,fix memory leak in entry editor
2177.0,2179,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,clear bibtexkey exception
2184.0,2196,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,fix for add space after separator
1908.0,2198,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,integrity hotkey
2208.0,2211,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,prevent the search to get focus when deleting pasting an entry
2210.0,2212,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,improvements to the javafx error console
2210.0,2213,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,fix strange styling behaviour of the error console
2222.0,2223,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,urldownload now resolves redirects by default
2220.0,2225,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,fix editor freeze
2218.0,2226,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,fix for reenable ads fetcher
2228.0,2229,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,fix medline fetcher by using https
2233.0,2236,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,biblatex mode add month and year field to deprecated tab
2249.0,2262,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,change log level to debug
684.0,2266,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,when an isbn is not available on ebookde the error message is more clear
1359.0,2283,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,implement collect telemetry
2279.0,2286,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,copy file attributes
2285.0,2286,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,copy file attributes
2219.0,2300,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,fix local metadata synchronization fixes
2221.0,2301,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,readd drop down content selectors
2311.0,2314,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,rework dblpfetcher to new structure
2206.0,2328,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,add bibtex key deviation check
2261.0,2331,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve entrytype customization
2318.0,2331,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve entrytype customization
365.0,2331,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve entrytype customization
366.0,2331,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve entrytype customization
772.0,2331,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,improve entrytype customization
2335.0,2339,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,fix biblatex cleanup for date field
1323.0,2344,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,follow up for batch fulltext downloader
1446.0,2348,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,only add non empty paths
1779.0,2349,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,integrity checker improvements
2012.0,2358,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,use bibtexformat for month field in medlinefetcher
1681.0,2361,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,fix a few group related issues
1873.0,2361,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,fix a few group related issues
2334.0,2361,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,fix a few group related issues
2209.0,2364,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,be more friendly when using journal alias field
521.0,2364,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,be more friendly when using journal alias field
1721.0,2368,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,never manually set id of a bibentry
2370.0,2372,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,relevance and read status field actions were switched
2011.0,2375,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,preserve sign inside bibtex fields via cleanup
938.0,2388,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,rename xmp data to xmp metadata
2390.0,2396,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,introduce explicit list of all_biblatex_only_fields
2394.0,2400,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,groups matching with brackets in name
2403.0,2405,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,datepicker fix
240.0,2410,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
2385.0,2415,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,fix several file cleanup rename issues
2454.0,2415,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,fix several file cleanup rename issues
2526.0,2415,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,fix several file cleanup rename issues
2319.0,2416,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,fix collapse sub tree functionality for groups tree
2417.0,2424,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,by removing the url when creating an entry by doi
2417.0,2425,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,doi no longer contains url
2427.0,2428,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,arxiv fetcher works with prefix
2458.0,2459,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,fix conversion of tilde n
