Named,issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,BigData,App,GIS,corpus
11,367,370,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"add compatibility check for utf8 this pr attempts to fix #367we have a bit of a problem `utf8` came from these lines``` java        try (inputstreamreader reader  openfile(filetoopen suppliedencoding fallbackencoding)) {            bibtexparser bp  new bibtexparser(reader)            parserresult pr  bpparse()            prsetencoding(readergetencoding())```it is set in [this method call](https://docsoraclecom/javase/8/docs/api/java/io/inputstreamreaderhtml#getencoding--) thats the java api the `inputstreamreader` says that the proper name of the encoding is `utf8` my solution is an ugly compatibility hack in which we just insert the `-` manually ugly but works what do you think? what about replacing all string representation of encodings by [`charset`](https://docsoraclecom/javase/8/docs/api/java/nio/charset/charsethtml)? then on export `getencodingname()` returns the correct description ""utf-8"" || sounds like a good idea! we should give it a try || @tobiasdiez great advice! `charset` already implements the correct encoding name translation all we have to do is through it into `charset` and read it our again and we can skip the hack:``` javaprsetencoding(charsetforname(readergetencoding())name())``` || please merge master: we did a mayor overhaul of the opendatabaseaction: deleted code etc  || @lenhard glad this was helpful i think the code would even further improve if the parserresult (and maybe some other classes) doesnt hold the encoding as a string but as a `charset` ie `public charset getencoding()` and similarly for `setencoding` || @koppor done!@tobiasdiez sure but i think this should be part of a new pr since this pr just attempts to fix one particular issue || "
12,388,418,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,proxy authentication support (feature #388) this pull request enables support for proxy authentication via command line arguments (`-d`) and jabref preferences (network tab) btw: the tests in `netsfjabreflogicfetcher` and the `urldownloadtest` still fails because the authenticator is not initialized in unit tests || why is the codecov/project check marked as failed but shows passed on details? || is marked as fail as you added code which is not covered by a junit test reducing code coverage but we do not have a gui strategy yet and you added mostly gui code hence no problem there  || i forgot to create a special branch for this pr hmmm || this is not a big problem - as long as you do not start working on another issue in your master branch :wink: || hmm if i change the proxy settings a restart is required || we have other settings which upon change indicate to the user that jabref has to be restarted for the settings to be applied see the remote preferences under advancedtab maybe reuse the code from there  || hmm looking for config changes in six values looks quite ugly with `if` conditions i can create a hashmap or stringbuilder out of these values and later on just compare the hash values or do you have any other suggestion? || you just need to compute the final proxy string `username:password@hostname:port` which you can easily compare and then the two remaining boolean variables  || thats what i have implemented with a stringbuilder comparing the hashcode is much faster than comparing the string -) || okay please check my pr || thank you for the pr nice and clean implementation! we would gladly accept more prs from you ) ||
13,420,429,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,fix similar bug as #420 for the database properties dialog a similar bug as #420 happened when the encoding was changed in the database properties dialog this is now fixed in this pr sorry for introducing these bugs in the first place thanks for the fixup pr  ||
14,427,440,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,cleanup tests and latexformatter instead of #427 (easier to start all over as some files were already moved)  
15,315,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
16,384,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
17,443,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
18,445,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
19,498,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
20,490,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"revise maintable complete check and rewrite of maintable and related classesthis will fix and implement:- [x] #315 - [x] #384 - show tooltip for header columns- [x] #384 - show tooltip for contents which are too long for table columns- [x] #443 - [x] #445 - [x] add ability to drag and drop specialfield columns- ~~[ ] allow storing position of specialfield columns~~ postponed to another pr- [x] remove table column for ""pdf/ps"" which is obsolete (fixes #498)- [x] remove option ""show one letter heading for icon columns"" which is now obsolete- [x] changed default order in main table: # | all file based icons (file url/doi ) | all bibtex field based icons (bibtexkey entrytype author title ) | all special field icons- ~~[ ] #490~~ postponed- ~~[ ] think about ""must be implemented ""vernünftig (matthias)"" ""entry table -> fit table horizontally """" from the minutes~~ postponed- [x] final cleanup + changelog awesome || before i invest much time to fix it@jabref/developers **are we dropping support for the ""pdf/ps"" column in the main table?**in this column potential contents of the ""legacy fields"" `pdf` and `ps` are shown in #251 the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype (eg show a column for excel files) - so it would be possible to show specific columns for pdfs (stored in the `file` field) || yes support has been dropped for pdf/ps fields all over the place we should do this as well for the main table  || :+1: for removing these legacy columnscould someone create a faq entry (in htdocs) or send me a plain faq on how to mimic that behavior with the ""special columns""? || very nice pr with this we already have a 31 :) || @koppor: > q: the pdf/ps column in the main table is missing - how can i restore them?> a: as the bibtex fields `pdf` and `ps` are migrated to `file` the table column was obsolete however it is possible to define columns specifically for each file type in the preferences (see: preferences -> entry table columns -> show extra columns)> ![show-extra](https://cloudgithubusercontentcom/assets/676652/11607936/60b0f44e-9b5b-11e5-9f8f-06abf035115cpng)@simonharrer mhmm but this gui stuff is quite unnerving :wink: || and we already have issues with the pdf/ps columns which no longer seem to work correctly: #498this confirms the need for their removal || just rebased - from my point of view the current state is good enough to be merged into master || :+1: || "
21,458,459,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,"use default directory when adding files to an entry see #458- the current implementation is hard to understand i dont get how these three existing folder preferences are used - also the method itself should be simplified and return a list after going through the documentation i found it jabref can have a directory per database but what if you and me have different directories? do we have to agree to one? normally its simply the directory of the bib file (meaning `` is used as database directory) but what if the users somehow share a bibliography and use different directories? then this feature comes in i can set another directory then you do both settings are serialized in the `bib` file with `-<loginname>` as suffix in the `jabref-meta` field if jabref saves a file and my loginname matches the name stored in the `bib` file it chooses that directory if no match is found it uses the ""general file directory"" of the bib file if that is not found it uses the one configured at ""options -> preferences -> external programs"" (""main file directory"")here some text from the documentation and mailing lists but i think the documentation has to be improved :sunrise: when thinking of it we should offer the users a button ""use current directory"" next to ""general file directory"" and add a little help text that """" denotes that or render `` as `<directory of the bib file is used>` then hopefully the ""user-specific file directory"" can be dropped - i dont see any other use case why would i share a bib file and not share the pdfs? if i share the pdfs together with the bib file a relative directory can be put in ""general file directory""possibly the ""general file directory"" should be stored _relatively_ from the current directory of the bib file## faq http://jabrefsourceforgenet/faqphp: ""then at the field “general file directory” choose the directory specific for the database if you want to set a directory for you only and other users should use the default directory use the field “user-specific file directory”""## file helphttp://jabrefsourceforgenet/help/filelinksphp:""finally in the database properties dialog you can set a user-specific file directory which will be valid only when you are the one working on the bib file""## mail from the mailing list(by @thomasa)https://sourceforgenet/p/jabref/mailman/message/27008930/""as of revision 3449 jabref supports an option to specify a user- and host-specific file directory in the database properties this allows each user of a particular database to store her/his personal path setting in the database it furthermore allows the same user to specify different paths on different computers (must have different host names)"" || thanks @koppor for this detailed clarification! i think we might simplify this somehow :smile:  || we need a better internal datastructure || "
22,470,472,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,"show author/editor and journal/publisher in the main table by default implements #470 looks like follows:![grabbed_20151205-225839](https://cloudgithubusercontentcom/assets/1366654/11610469/bf3126ea-9ba3-11e5-8b8a-fc9b5d97a97dpng)""author/editor"" is okunsure if ""journal/publisher"" is confusing i think `booktitle/journal` would be the right correspondence we should replace the default ""journal"" column by `booktitle/journal` and maybe add the `publisher` column as default columnhow often is `inbook` used? consequently `title` should become `chapter/title` but that heading is confusing || id also vote for journal/booktitle (as that is what i use dealing primarily with journal and conference papers) on the other hand a good thing with this pr is that it indicates that these things are possible and how to do it || the journal says where an article is published similarly the publisher iswell the publisher of the book so i would advocate the proposed `journal/publisher` booktitle would probably only make sense for articles in conference proceedings i think articles and books are the most common types so we should focus on them@koppor: `inbook`s also have an author and title so there shouldnt be a problem || guess it depends on scientific area i would possibly argue that in general a publisher doesnt really add any important information even for books while in the case of conference papers the booktitle is crucial (i know that the publisher is important to create a valid reference but it doesnt really add any information when browsing a database) || in my discipline (computer science) id see the correspondence as follows (bibtex fields)| inproceedings | journal || --- | --- || title | title || author | author || booktitle | journal || publisher | publisher || year | year |for instance take an elsevier article (http://wwwsciencedirectcom/science/article/pii/s0268401215000808) the publisher is elsevier but the journal is ""international journal of information management"" elsevier publishes more than one journali read ""where something is published"" as the conference and the concrete journal the conference is stored in ""booktitle"" whereas the concrete journal is stored in ""journal"" both kinds of works are published by a publisheris it different in your discipline @tobiasdiez? || i do not think @tobiasdiez disagrees with that analysis but i got theimpression that he cites more books than conference papers in that case ican probably agree that publisher is the ""next"" field to add (mainlybecause of lack of others)journal/booktitle/publisher? (except for the very long heading) || ok apparently the majority is for booktitle hence i changed it accordingly my reasoning was indeed based on `book`s for which the publisher is the equivalent of a journal since books occur more often in my database i thought this addition was more valuable for `inproceedings` the booktitle indeed makes more sense || i suppose `journal/booktitle/publisher` is too confusing? i really agree that the column `journal/booktitle` is empty too often if many books are in the databaseill merge it and lets see what others say :sunflower:  || "
23,314,491,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,add close all/others/ in database tab menu see #314 changelog is missing otherwise :+1:  ||
24,495,500,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,database type detection please see `bibdatabasetypedetectionjava`for reviewsome refactoring and a class for auto-detection of database types### algorithm- should we introduce a hard-coded field like encodings inside the bib file?- fast-enough?- what about false detection?### refactoring- bibtexdatabase -> bibdatabase- bibtexentry -> bibentryalso see #495 #167 the refactorings are fine from my point of viewthe detection is based on in-memory operations on collections so no need to worry about speed at the momentif i understand the algorithm correctly any database that contains a non-biblatex/non-bibtex type will be categorized as bibtex so a database with one biblatex entry and a customn entry would be detected as bibtex is that really the desired result? i would rather ignore all non-bibtex / non-biblatex types for the decision (customentry unkownentry ieeetranentry ) and do the decision solely on valid types with bibtex as the default result || @lenhard no it should always detect as biblatex if it finds one exclusive entry  || the algorithm looks good to me i would move the detection class into the logic package instead of model but that is your decisionstrangely the circleci test says there are still compilation errors due to the renamings as far as i can see locally all is fine ||
25,514,515,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,bibteximporter test added tests for bibteximporter depends on pr #514 (missing gradle test encoding special char ß) i had a personal discussion with @bartsch-dev that the current bibteximporter is _not_ aware of the encoding header the reading of jabrefs encoding header is implemented in `opendatabaseaction` and not somewhere in the bibtexparsertherefore there is _no_ test of different encoding strings and it can imho only handle ascii encoded files || i would let this go through and handle the usage of the open method of `opendatabaseaction` in a separate issue || note that none of the files written at https://githubcom/jabref/jabref/wiki/bibtex are tested here || fixed all the mentioned issuesthe `git` part in the file was as already mentioned the title of the book which i took as an examplei also added some examples from https://githubcom/jabref/jabref/wiki/bibtex || i think this can be merged in || as discussed in https://githubcom/jabref/jabref/issues/558#issuecomment-195430095 it is not necessary to refactor `opendatabaseaction` because of this importer ||
