Named,issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,DataStructure,i18n,DevOps,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,BigData,App,GIS,corpus
10,228,229,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,fixes #228: fixed a verify() call example in @captor javadoc   thanks for the fix :) ||
11,233,234,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,cannot instantiate type with public method of a public parent class having a non public types in signature this should fix #233(awaiting delivery of bytebuddy fix https://githubcom/raphw/byte-buddy/commit/6f223d93ee57b199abf0e7abaf4837df6d041f41)thanks @raphw actually fixed in bytebuddy 0610 in commit https://githubcom/raphw/byte-buddy/commit/1cf6c6aa0ef0ff47238e58f27df16637cdfe96c2 ||
12,220,235,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,fixes #220 constructor invoking methods raise npe in some recent version of mockito `@spy` annotation will use the constructor rather than objenesis that mean that constructor carry actual work but since the interceptor set after instantiation this raised an npe with bytebuddy it wasnt an issue with cglib but it probably didnt event intercept such calls (unconfirmed at this point)this pr aims to fix that by calling real code if interceptor is not set which can only happen if `constructorinstanciator` is usedthanks to @raphw for his tip on this regard as well : https://githubcom/raphw/byte-buddy/issues/32#issuecomment-113269844 i just saw that you chose to invoke the real method instead of returning a default value that might cause problems when the invoked method expects some state then again if the constructor is called the constructor might always receive correct input values?i added another interceptor to make the field receival a bit more convenient and runtime efficient and if you wanted to aupress the calls from the constructor (might be unsuitable for spies) i think i also found a better alternative for thati just send you a pull request on monday || yes for constructors that made sense (when spy is instantiated with constructor) though i agree with you other than this scenario it shouldnt be authorized i didnt yet wrap entirely my head around this yetim not yet sure how to ensure a bit more safety there ||
13,251,252,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,[#251] migrate fest assert code to assertj fixes #251 ## [current coverage](https://codecovio/github/mockito/mockito?ref5f4dbe782093df70566ff0ee1bacc3baf5aa1158) is `8347%`> merging **#252** into **master** will change coverage by **-006%** by [`5f4dbe7`](https://githubcom/mockito/mockito/commit/5f4dbe782093df70566ff0ee1bacc3baf5aa1158)#### coverage diff``` diff@@            master    #252   diff @@  files          270     270         stmts         4585    4585         branches       745     745         methods          0       0       - hit           3830    3827     -3  partial        220     220       - missed         535     538     +3```---### [uncovered suggestions](https://codecovio/github/mockito/mockito/features/suggestions?ref5f4dbe782093df70566ff0ee1bacc3baf5aa1158)1 `+013%` via [ializationissuejava#2833](https://codecovio/github/mockito/mockito/src/org/mockito/exceptions/base/mockitoserializationissuejava?ref5f4dbe782093df70566ff0ee1bacc3baf5aa1158#28) 2 `+015%` via [ializablemethodjava#97103](https://codecovio/github/mockito/mockito/src/org/mockito/internal/invocation/serializablemethodjava?ref5f4dbe782093df70566ff0ee1bacc3baf5aa1158#97) 3 `+011%` via [ns/pluginloaderjava#6064](https://codecovio/github/mockito/mockito/src/org/mockito/internal/configuration/plugins/pluginloaderjava?ref5f4dbe782093df70566ff0ee1bacc3baf5aa1158#60) 4 _[see 7 more](https://codecovio/github/mockito/mockito/features/suggestions?ref5f4dbe782093df70566ff0ee1bacc3baf5aa1158)_> powered by [codecov](https://codecovio) || :+1:  ||
14,260,261,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,"fixes #260: typo in documentation very minor typo in documentation: https://githubcom/mockito/mockito/issues/260theres an extra ""at"" (@) in the documentationbefore it reads:""annotating the junit test class with a @runwith(@mockitojunitrunnerclass)""after it reads:""annotating the junit test class with a @runwith(mockitojunitrunnerclass)""![image](https://cloudgithubusercontentcom/assets/338917/8634099/6c7f5264-27b8-11e5-93d9-98b725c9f749png) ## [current coverage](https://codecovio/github/mockito/mockito?ref298330658c63b36a154470f742e829bdf713c921) is `837%`> merging **#261** into **master** will change coverage by **0%** by [`2983306`](https://githubcom/mockito/mockito/commit/298330658c63b36a154470f742e829bdf713c921)#### coverage diff``` diff@@            master   #261   diff @@  files          270    270         stmts         4583   4583         branches       745    745         methods          0      0         hit           3836   3836         partial        220    220         missed         527    527       ```---### [uncovered suggestions](https://codecovio/github/mockito/mockito/features/suggestions?ref298330658c63b36a154470f742e829bdf713c921)1 `+015%` via [ializablemethodjava#97103](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/invocation/serializablemethodjava?ref298330658c63b36a154470f742e829bdf713c921#97) 2 `+011%` via [lizationsupportjava#122126](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/bytebuddycrossclassloaderserializationsupportjava?ref298330658c63b36a154470f742e829bdf713c921#122) 3 `+011%` via [ns/pluginloaderjava#6064](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/configuration/plugins/pluginloaderjava?ref298330658c63b36a154470f742e829bdf713c921#60) 4 _[see 7 more](https://codecovio/github/mockito/mockito/features/suggestions?ref298330658c63b36a154470f742e829bdf713c921)_> powered by [codecov](https://codecovio) || cool thanks for the fix :) ||"
15,268,270,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,issue #268: added support for generic arrays as return types solves https://githubcom/mockito/mockito/issues/268 by explicitly checking for return types that represent a generic array and by resolving for the arrays component type ## [current coverage](https://codecovio/github/mockito/mockito?ref76f83f4d499890e7fd1c873966f66222d0a6b5d8) is `8373%`> merging **#270** into **master** will increase coverage by **+003%** as of [`76f83f4`](https://codecovio/github/mockito/mockito/commit/76f83f4d499890e7fd1c873966f66222d0a6b5d8)``` diff@@            master    #270   diff @@  files          270     270         stmts         4584    4603    +19  branches       745     748     +3  methods          0       0       + hit           3837    3854    +17  partial        220     220       - missed         527     529     +2```> review entire [coverage diff](https://codecovio/github/mockito/mockito/compare/fe5cbcfb2a986a58d24cc7bec3a707eab06f767376f83f4d499890e7fd1c873966f66222d0a6b5d8)---### [uncovered suggestions](https://codecovio/github/mockito/mockito/features/suggestions?ref76f83f4d499890e7fd1c873966f66222d0a6b5d8)1 `+019%` via [rningscollectorjava#2331](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/debugging/warningscollectorjava?ref76f83f4d499890e7fd1c873966f66222d0a6b5d8#23) 2 `+015%` via [ializablemethodjava#97103](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/invocation/serializablemethodjava?ref76f83f4d499890e7fd1c873966f66222d0a6b5d8#97) 3 `+011%` via [ns/pluginloaderjava#6064](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/configuration/plugins/pluginloaderjava?ref76f83f4d499890e7fd1c873966f66222d0a6b5d8#60) 4 _[see 7 more](https://codecovio/github/mockito/mockito/features/suggestions?ref76f83f4d499890e7fd1c873966f66222d0a6b5d8)_> powered by [codecov](https://codecovio) ||
16,243,280,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,reintroduce null check on mockutilismock() will fix #243 - null check on mockutilismock() was incorrectly removed after successive refactoring this pr reintroduces null check ## [current coverage](https://codecovio/github/mockito/mockito?ref27e074066ecec55ed086f7430246ef1c8818819f) is `8373%`> merging **#280** into **master** will not affect coverage as of [`27e0740`](https://codecovio/github/mockito/mockito/commit/27e074066ecec55ed086f7430246ef1c8818819f)``` diff@@            master    #280   diff @@  files          270     270         stmts         4627    4627         branches       753     753         methods          0       0         hit           3874    3874         partial        221     221         missed         532     532       ```> review entire [coverage diff](https://codecovio/github/mockito/mockito/compare/2f88f06d6b0e851ff8ed2125085d3faac3f4ee1b27e074066ecec55ed086f7430246ef1c8818819f) as of [`27e0740`](https://codecovio/github/mockito/mockito/commit/27e074066ecec55ed086f7430246ef1c8818819f)---### [uncovered suggestions](https://codecovio/github/mockito/mockito/features/suggestions?ref27e074066ecec55ed086f7430246ef1c8818819f)1 `+015%` via [ializablemethodjava#97103](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/invocation/serializablemethodjava?ref27e074066ecec55ed086f7430246ef1c8818819f#97) 2 `+010%` via [ns/pluginloaderjava#6064](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/configuration/plugins/pluginloaderjava?ref27e074066ecec55ed086f7430246ef1c8818819f#60) 3 `+010%` via [lizationsupportjava#122126](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/bytebuddycrossclassloaderserializationsupportjava?ref27e074066ecec55ed086f7430246ef1c8818819f#122) 4 _[see 7 more](https://codecovio/github/mockito/mockito/features/suggestions?ref27e074066ecec55ed086f7430246ef1c8818819f)_> powered by [codecov](https://codecovio) updated on successful ci builds ||
17,124,287,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,implement verificationcollector which can collect multiple verifications it will report in the end the result of multiple statements fixes #124 ## [current coverage](https://codecovio/github/mockito/mockito?ref08b0daeea01e17a63b0c817ff3139ab918aec710) is `8389%`> merging **#287** into **master** will increase coverage by **+009%** as of [`08b0dae`](https://codecovio/github/mockito/mockito/commit/08b0daeea01e17a63b0c817ff3139ab918aec710)``` diff@@            master    #287   diff @@  files          269     270     +1  stmts         4620    4651    +31  branches       752     753     +1  methods          0       0       + hit           3872    3902    +30  partial        220     220       - missed         528     529     +1```> review entire [coverage diff](https://codecovio/github/mockito/mockito/compare/495406554354a23980ac40fb991c1dae8f4105aa08b0daeea01e17a63b0c817ff3139ab918aec710) as of [`08b0dae`](https://codecovio/github/mockito/mockito/commit/08b0daeea01e17a63b0c817ff3139ab918aec710)---### [uncovered suggestions](https://codecovio/github/mockito/mockito/features/suggestions?ref08b0daeea01e17a63b0c817ff3139ab918aec710)1 `+015%` via [ializablemethodjava#97103](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/invocation/serializablemethodjava?ref08b0daeea01e17a63b0c817ff3139ab918aec710#97) 2 `+011%` via [lizationsupportjava#122126](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/bytebuddycrossclassloaderserializationsupportjava?ref08b0daeea01e17a63b0c817ff3139ab918aec710#122) 3 `+011%` via [ns/pluginloaderjava#6064](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/configuration/plugins/pluginloaderjava?ref08b0daeea01e17a63b0c817ff3139ab918aec710#60) 4 _[see 7 more](https://codecovio/github/mockito/mockito/features/suggestions?ref08b0daeea01e17a63b0c817ff3139ab918aec710)_> powered by [codecov](https://codecovio) updated on successful ci builds || rebased branch and changed code according to comments of @bric3 to make the inner test test working the inner test should not end with `test` || nice rework || made the impl class package-protected || looks good to me || :+1: thanks for the reviews! || hey timthanks for cool contributions!!!what are your thoughts on improving the verificationcollector idea: the rule would automatically validate all verify methods at the end of the test this way there would be no need to call collectorverify at all (we could leave it as optional for gnarly cases) || @szczepiq i am not really sure what you mean could you provide a code snippet with what you would like to achieve? || current api:``` java     @rule     public verificationcollector collector  mockitojunitcollector()     @test     public void should_fail() {         imethods methods  mock(imethodsclass)         collectorverify(methods)bytereturningmethod()         collectorverify(methods)simplemethod()     }```desired api:``` java     @rule     public mockitorule rule  mockitojunitrule()lazyverify() //just an example no strong opinion here     @test     public void should_fail() {         imethods methods  mock(imethodsclass)         //below just works (strong opinion :)         verify(methods)bytereturningmethod()         verify(methods)simplemethod()     }``` || @szczepiq pr is up at #389 :smile:  ||
18,245,293,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,remove validateserializable() fixes #245:remove serializable validation ## [current coverage](https://codecovio/github/mockito/mockito?ref0b451d2b9b7abc75d869bea7ac5fe2ee61d54b26) is `8366%`> merging **#293** into **master** will decrease coverage by **-006%** as of [`0b451d2`](https://codecovio/github/mockito/mockito/commit/0b451d2b9b7abc75d869bea7ac5fe2ee61d54b26)``` diff@@            master    #293   diff @@  files          270     270         stmts         4627    4623     -4  branches       753     752     -1  methods          0       0       - hit           3874    3868     -6+ partial        221     220     -1- missed         532     535     +3```> review entire [coverage diff](https://codecovio/github/mockito/mockito/compare/a821f7b0ec47f3214bf6f0361df5deb211fa22140b451d2b9b7abc75d869bea7ac5fe2ee61d54b26) as of [`0b451d2`](https://codecovio/github/mockito/mockito/commit/0b451d2b9b7abc75d869bea7ac5fe2ee61d54b26)---### [uncovered suggestions](https://codecovio/github/mockito/mockito/features/suggestions?ref0b451d2b9b7abc75d869bea7ac5fe2ee61d54b26)1 `+016%` via [ializablemethodjava#97103](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/invocation/serializablemethodjava?ref0b451d2b9b7abc75d869bea7ac5fe2ee61d54b26#97) 2 `+011%` via [ns/pluginloaderjava#6064](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/configuration/plugins/pluginloaderjava?ref0b451d2b9b7abc75d869bea7ac5fe2ee61d54b26#60) 3 `+011%` via [lizationsupportjava#122126](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/bytebuddycrossclassloaderserializationsupportjava?ref0b451d2b9b7abc75d869bea7ac5fe2ee61d54b26#122) 4 _[see 7 more](https://codecovio/github/mockito/mockito/features/suggestions?ref0b451d2b9b7abc75d869bea7ac5fe2ee61d54b26)_> powered by [codecov](https://codecovio) updated on successful ci builds ||
19,365,373,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,fixes #365 simplify the invocationonmock-api to get a casted argument this pull request fixes #365 by introducing `t getargument(int)` and deprecating `t getargumentat(intclass<t>)` in type `invocationonmock` this improves the readabilty of custom answers this`string text  invocationgetargumentat(1stringclass)` can be replaced by `string text  invocationgetargument(1)` ## [current coverage](https://codecovio/github/mockito/mockito?ref5eff8e1b85f4e2877da9228249be1d976782d8a6) is `8545%`> merging **#373** into **master** will decrease coverage by **-003%** as of [`5eff8e1`](https://codecovio/github/mockito/mockito/commit/5eff8e1b85f4e2877da9228249be1d976782d8a6)``` diff@@            master    #373   diff @@  files          271     271         stmts         4693    4695     +2  branches       759     759         methods          0       0         hit           4012    4012         partial        167     167       - missed         514     516     +2```> review entire [coverage diff](https://codecovio/github/mockito/mockito/compare/196ff979da156caa07e19f57e4849637d8bede1a5eff8e1b85f4e2877da9228249be1d976782d8a6) as of [`5eff8e1`](https://codecovio/github/mockito/mockito/commit/5eff8e1b85f4e2877da9228249be1d976782d8a6)---### [uncovered suggestions](https://codecovio/github/mockito/mockito/features/suggestions?ref5eff8e1b85f4e2877da9228249be1d976782d8a6)1 `+019%` via [rningscollectorjava#2331](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/debugging/warningscollectorjava?ref5eff8e1b85f4e2877da9228249be1d976782d8a6#23) 2 `+015%` via [ializablemethodjava#97103](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/invocation/serializablemethodjava?ref5eff8e1b85f4e2877da9228249be1d976782d8a6#97) 3 `+010%` via [lizationsupportjava#122126](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/bytebuddycrossclassloaderserializationsupportjava?ref5eff8e1b85f4e2877da9228249be1d976782d8a6#122) 4 _[see 7 more](https://codecovio/github/mockito/mockito/features/suggestions?ref5eff8e1b85f4e2877da9228249be1d976782d8a6)_> powered by [codecov](https://codecovio) updated on successful ci builds || looks good makes implementing custom answers easier indeed ||
20,374,386,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,remove deprecated code fixes for #374 - more left though ## [current coverage](https://codecovio/github/mockito/mockito?refa27a7f906bc285dd4d21df86389e7f8a7c6a554c) is `8561%`> merging **#386** into **master** will increase coverage by **+013%** as of [`a27a7f9`](https://codecovio/github/mockito/mockito/commit/a27a7f906bc285dd4d21df86389e7f8a7c6a554c)``` diff@@            master    #386   diff @@  files          271     266     -5  stmts         4693    4679    -14  branches       759     759         methods          0       0       - hit           4012    4006     -6  partial        167     167       + missed         514     506     -8```> review entire [coverage diff](https://codecovio/github/mockito/mockito/compare/196ff979da156caa07e19f57e4849637d8bede1aa27a7f906bc285dd4d21df86389e7f8a7c6a554c) as of [`a27a7f9`](https://codecovio/github/mockito/mockito/commit/a27a7f906bc285dd4d21df86389e7f8a7c6a554c)---### [uncovered suggestions](https://codecovio/github/mockito/mockito/features/suggestions?refa27a7f906bc285dd4d21df86389e7f8a7c6a554c)1 `+019%` via [rningscollectorjava#2331](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/debugging/warningscollectorjava?refa27a7f906bc285dd4d21df86389e7f8a7c6a554c#23) 2 `+015%` via [ializablemethodjava#97103](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/invocation/serializablemethodjava?refa27a7f906bc285dd4d21df86389e7f8a7c6a554c#97) 3 `+011%` via [lizationsupportjava#122126](https://codecovio/github/mockito/mockito/src/main/java/org/mockito/internal/creation/bytebuddy/bytebuddycrossclassloaderserializationsupportjava?refa27a7f906bc285dd4d21df86389e7f8a7c6a554c#122) 4 _[see 7 more](https://codecovio/github/mockito/mockito/features/suggestions?refa27a7f906bc285dd4d21df86389e7f8a7c6a554c)_> powered by [codecov](https://codecovio) updated on successful ci builds || @davidkarlsen - [x] the method [mockitostubvoid()](https://githubcom/mockito/mockito/blob/master/src/main/java/org/mockito/mockitojava#l1889) is deprecated but lacks the annotation `@deprecated` can you take care of it? || on it - ill be back! (the terminator) :) || @christianschwarz ok added removal of stubvoid in https://githubcom/davidkarlsen/mockito/tree/removestubvoid (which is a fork of this pr) || wdyt? || @davidkarlsen looks good! there is only one reference in the javadocs that should be removed i added a note in your commit  || @christianschwarz fixed - ping || @szczepiq intersted in this? || love it thanks! || @szczepiq what about https://githubcom/mockito/mockito/pull/394 (which is https://githubcom/davidkarlsen/mockito/tree/removestubvoid) - if you read the thread above? ||
