prNumber,APM,Network,DB,Interpreter,Error.Handling,Logging,Lang,Data.Structure,i18n,Setup,Logic,Microservices,Test,Search,IO,UI,Parser,Security,Big.Data,Event.Handling,App,corpus
powertoys-927,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,    enabled code analysis for the editor this does not fix 2 issues for  923 for          910*      (          ran application and editor worked as expected
powertoys-927,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    enabled code analysis for the editor this does not fix 2 issues for  923 for          910*      (          ran application and editor worked as expected
powertoys-927,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,    enabled code analysis for the editor this does not fix 2 issues for  923 for          910*      (          ran application and editor worked as expected
powertoys-927,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,    enabled code analysis for the editor this does not fix 2 issues for  923 for          910*      (          ran application and editor worked as expected
powertoys-927,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    enabled code analysis for the editor this does not fix 2 issues for  923 for          910*      (          ran application and editor worked as expected
powertoys-1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,             923*      (       validated with owner regarding proper math and other spots in code match pattern  example:`canvassettop(resizer _rowinfo[row]end + (spacing / 2) - 24)`
powertoys-1000,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,             923*      (       validated with owner regarding proper math and other spots in code match pattern  example:`canvassettop(resizer _rowinfo[row]end + (spacing / 2) - 24)`
powertoys-1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,             923*      (       validated with owner regarding proper math and other spots in code match pattern  example:`canvassettop(resizer _rowinfo[row]end + (spacing / 2) - 24)`
powertoys-1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    adding implementation for interfaces required by preview handler implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg)          914 and #963 *      (      current implementation is using managed code(net) for implementing the preview pane extensions which is possible for preview pane because preview handlers always run out of process more details about preview handlers:  your own preview handler:  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   *   test library locally
powertoys-1072,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,    adding implementation for interfaces required by preview handler implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg)          914 and #963 *      (      current implementation is using managed code(net) for implementing the preview pane extensions which is possible for preview pane because preview handlers always run out of process more details about preview handlers:  your own preview handler:  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   *   test library locally
powertoys-1072,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    adding implementation for interfaces required by preview handler implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg)          914 and #963 *      (      current implementation is using managed code(net) for implementing the preview pane extensions which is possible for preview pane because preview handlers always run out of process more details about preview handlers:  your own preview handler:  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   *   test library locally
powertoys-1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    adding implementation for interfaces required by preview handler implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg)          914 and #963 *      (      current implementation is using managed code(net) for implementing the preview pane extensions which is possible for preview pane because preview handlers always run out of process more details about preview handlers:  your own preview handler:  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   *   test library locally
powertoys-1072,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,    adding implementation for interfaces required by preview handler implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg)          914 and #963 *      (      current implementation is using managed code(net) for implementing the preview pane extensions which is possible for preview pane because preview handlers always run out of process more details about preview handlers:  your own preview handler:  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   *   test library locally
powertoys-1072,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    adding implementation for interfaces required by preview handler implementation designed in a way that it can be easily extended by different preview pane handler(eg: markdown and svg)          914 and #963 *      (      current implementation is using managed code(net) for implementing the preview pane extensions which is possible for preview pane because preview handlers always run out of process more details about preview handlers:  your own preview handler:  describe how you validated the behavior add automated tests wherever possible but list manual validation steps taken as well -->   *   test library locally
powertoys-1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    added a [markdig]( based preview pane handler   1  please review the items on the pr checklist before submitting-->     914 *       steps to build this project1 open the solution in vs 2019 as admin2 build `markdownpreviewhandler` project dll would be located at `<root>\src\modules\markdownpreviewhandler\common\bin\debug`3 open developer command prompt in visual studio goto `tools > command line > developer command prompt`4 change directory to `c:\windows\microsoftnet\framework64\<latestversion>`5 register dll using below command `gacutil -i <path to dll>``regasmexe <path to dll> \codebase`
powertoys-1128,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,    added a [markdig]( based preview pane handler   1  please review the items on the pr checklist before submitting-->     914 *       steps to build this project1 open the solution in vs 2019 as admin2 build `markdownpreviewhandler` project dll would be located at `<root>\src\modules\markdownpreviewhandler\common\bin\debug`3 open developer command prompt in visual studio goto `tools > command line > developer command prompt`4 change directory to `c:\windows\microsoftnet\framework64\<latestversion>`5 register dll using below command `gacutil -i <path to dll>``regasmexe <path to dll> \codebase`
powertoys-1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,    added a [markdig]( based preview pane handler   1  please review the items on the pr checklist before submitting-->     914 *       steps to build this project1 open the solution in vs 2019 as admin2 build `markdownpreviewhandler` project dll would be located at `<root>\src\modules\markdownpreviewhandler\common\bin\debug`3 open developer command prompt in visual studio goto `tools > command line > developer command prompt`4 change directory to `c:\windows\microsoftnet\framework64\<latestversion>`5 register dll using below command `gacutil -i <path to dll>``regasmexe <path to dll> \codebase`
powertoys-1129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,    extended the common library to create a preview handler for svg         963 *        added a preview pane handler for svg files implementation is [leveraging the `webbrowser control` ]( render the svg      run the `svgpreviewhandler` locallysteps to run the 1 open the solution in vs 2019 as admin2 build `svgpreviewhandler` project dll would be located at `<root>\src\modules\svgpreviewhandler\common\bin\debug`3 open developer command prompt in visual studio goto `tools > command line > developer command prompt`4 change directory to `c:\windows\microsoftnet\framework64\<latestversion>`5 register dll using below command `gacutil -i <path to dll>``regasmexe <path to dll> \codebase`  outstanding work*   add unit tests for the svg preview handler
powertoys-1129,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,    extended the common library to create a preview handler for svg         963 *        added a preview pane handler for svg files implementation is [leveraging the `webbrowser control` ]( render the svg      run the `svgpreviewhandler` locallysteps to run the 1 open the solution in vs 2019 as admin2 build `svgpreviewhandler` project dll would be located at `<root>\src\modules\svgpreviewhandler\common\bin\debug`3 open developer command prompt in visual studio goto `tools > command line > developer command prompt`4 change directory to `c:\windows\microsoftnet\framework64\<latestversion>`5 register dll using below command `gacutil -i <path to dll>``regasmexe <path to dll> \codebase`  outstanding work*   add unit tests for the svg preview handler
powertoys-1129,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    extended the common library to create a preview handler for svg         963 *        added a preview pane handler for svg files implementation is [leveraging the `webbrowser control` ]( render the svg      run the `svgpreviewhandler` locallysteps to run the 1 open the solution in vs 2019 as admin2 build `svgpreviewhandler` project dll would be located at `<root>\src\modules\svgpreviewhandler\common\bin\debug`3 open developer command prompt in visual studio goto `tools > command line > developer command prompt`4 change directory to `c:\windows\microsoftnet\framework64\<latestversion>`5 register dll using below command `gacutil -i <path to dll>``regasmexe <path to dll> \codebase`  outstanding work*   add unit tests for the svg preview handler
powertoys-1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    updated markdown preview pane project to remove script tag and block images with absolute path       914 *        this pr adds security feature similar to html preview pane renderer the following are major features : 1 script tag is removed from the markdig ast before parsing to html2 images with absolute paths are blocked from being displayed3 clicking on any link will open it in the default user browser4 added information bar at the top of previews which have atleast one image blocked
powertoys-1220,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,    updated markdown preview pane project to remove script tag and block images with absolute path       914 *        this pr adds security feature similar to html preview pane renderer the following are major features : 1 script tag is removed from the markdig ast before parsing to html2 images with absolute paths are blocked from being displayed3 clicking on any link will open it in the default user browser4 added information bar at the top of previews which have atleast one image blocked
powertoys-1220,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    updated markdown preview pane project to remove script tag and block images with absolute path       914 *        this pr adds security feature similar to html preview pane renderer the following are major features : 1 script tag is removed from the markdig ast before parsing to html2 images with absolute paths are blocked from being displayed3 clicking on any link will open it in the default user browser4 added information bar at the top of previews which have atleast one image blocked
powertoys-1231,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,    removing the [script]( and [image ]( element from the previewing svg to avoid loading images or run scripts from unknown resources in case of script or image element is found an information bar will be shown on the top of the preview ( other than the issue solved is this relevant to any other issues/existing prs? -->        963*        tests passed and validated changes locally
powertoys-1231,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,    removing the [script]( and [image ]( element from the previewing svg to avoid loading images or run scripts from unknown resources in case of script or image element is found an information bar will be shown on the top of the preview ( other than the issue solved is this relevant to any other issues/existing prs? -->        963*        tests passed and validated changes locally
powertoys-1231,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    removing the [script]( and [image ]( element from the previewing svg to avoid loading images or run scripts from unknown resources in case of script or image element is found an information bar will be shown on the top of the preview ( other than the issue solved is this relevant to any other issues/existing prs? -->        963*        tests passed and validated changes locally
powertoys-1258,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,    this pr rewrites the settings handler in imageresizer to store the settings in json instead of the default xml config files created by the applicationsettings classthe format of the file has been made to match the json format used by other powertoys so that shifting to the powertoys c++ settings in the future will not be a breaking change      1124 *      (  *        \- removed the settingsdesignercs autogen file and settingssettings- moved all the settings from settingsdesignercs as properties in settingscs- implemented save and reload functions for json file read/writing- added thread safety for json file access- added tests for reload/save methods and propertychanged behavior- added newtonsoftjsondll to the msi/msix installer- fixed dll folder locations in packaginglayoutxml (earlier set to x64/release which contained the dlls from the test project changed to x64/release/modules which has the dlls for the correct project)    - added reload_createsfile_when_filenotfound save_creates_file save_json_is_readable_by_reload and reload_raises_propertychanged tests- tried without settingsjson file and with json file in correct format tried changing each of the settings in the settings menu- installed with msix and verified functionality
powertoys-1258,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,    this pr rewrites the settings handler in imageresizer to store the settings in json instead of the default xml config files created by the applicationsettings classthe format of the file has been made to match the json format used by other powertoys so that shifting to the powertoys c++ settings in the future will not be a breaking change      1124 *      (  *        \- removed the settingsdesignercs autogen file and settingssettings- moved all the settings from settingsdesignercs as properties in settingscs- implemented save and reload functions for json file read/writing- added thread safety for json file access- added tests for reload/save methods and propertychanged behavior- added newtonsoftjsondll to the msi/msix installer- fixed dll folder locations in packaginglayoutxml (earlier set to x64/release which contained the dlls from the test project changed to x64/release/modules which has the dlls for the correct project)    - added reload_createsfile_when_filenotfound save_creates_file save_json_is_readable_by_reload and reload_raises_propertychanged tests- tried without settingsjson file and with json file in correct format tried changing each of the settings in the settings menu- installed with msix and verified functionality
powertoys-1258,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    this pr rewrites the settings handler in imageresizer to store the settings in json instead of the default xml config files created by the applicationsettings classthe format of the file has been made to match the json format used by other powertoys so that shifting to the powertoys c++ settings in the future will not be a breaking change      1124 *      (  *        \- removed the settingsdesignercs autogen file and settingssettings- moved all the settings from settingsdesignercs as properties in settingscs- implemented save and reload functions for json file read/writing- added thread safety for json file access- added tests for reload/save methods and propertychanged behavior- added newtonsoftjsondll to the msi/msix installer- fixed dll folder locations in packaginglayoutxml (earlier set to x64/release which contained the dlls from the test project changed to x64/release/modules which has the dlls for the correct project)    - added reload_createsfile_when_filenotfound save_creates_file save_json_is_readable_by_reload and reload_raises_propertychanged tests- tried without settingsjson file and with json file in correct format tried changing each of the settings in the settings menu- installed with msix and verified functionality
powertoys-1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    added telemetry base class to use in preview pane c# project and added telemetry events in preview pane       914     1 added telemetry event when markdown is previewed and if markdown preview has errors2 added error bar on top of preview window when preview fails
powertoys-1299,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,    added telemetry base class to use in preview pane c# project and added telemetry events in preview pane       914     1 added telemetry event when markdown is previewed and if markdown preview has errors2 added error bar on top of preview window when preview fails
powertoys-1299,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    added telemetry base class to use in preview pane c# project and added telemetry events in preview pane       914     1 added telemetry event when markdown is previewed and if markdown preview has errors2 added error bar on top of preview window when preview fails
powertoys-1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,    1   bug with html display going out of screen2 replaced `xdocument` with `htmlagilitypack` since xdocument wasnt able to process uncompleted html tags       914
powertoys-1303,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,    1   bug with html display going out of screen2 replaced `xdocument` with `htmlagilitypack` since xdocument wasnt able to process uncompleted html tags       914
powertoys-1303,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    1   bug with html display going out of screen2 replaced `xdocument` with `htmlagilitypack` since xdocument wasnt able to process uncompleted html tags       914
powertoys-1308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,    this pull request fixes the bug described in #1307          1307 *      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  :         tested manually in several tricky scenarios
powertoys-1308,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,    this pull request fixes the bug described in #1307          1307 *      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  :         tested manually in several tricky scenarios
powertoys-1308,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    this pull request fixes the bug described in #1307          1307 *      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan  :         tested manually in several tricky scenarios
powertoys-1309,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,      issue #857 its just one line of code         857 *      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan      nothing too smart going on here    tested on scenarios where the previous version did not work now it works as one might expect
powertoys-1309,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,      issue #857 its just one line of code         857 *      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan      nothing too smart going on here    tested on scenarios where the previous version did not work now it works as one might expect
powertoys-1309,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,      issue #857 its just one line of code         857 *      (  *    *    *     if not checked im ready to accept this work might be rejected in favor of a different grand plan      nothing too smart going on here    tested on scenarios where the previous version did not work now it works as one might expect
powertoys-1368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,    customize the web browser control to handle `dispid_ambient_dlcontrol` to block images scripts and other external componentmore details:  pr is build on top of an existing [pr]( changes:1 added an implementation of `webbrowserext` to set flags for securing the preview with web browser control2 removed the implementation of removing `<image>` and `<script>` tags as it will be handle by the control itself      963 *        successfully run and validate the svg preview handlers to block images and scripts
powertoys-1368,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,    customize the web browser control to handle `dispid_ambient_dlcontrol` to block images scripts and other external componentmore details:  pr is build on top of an existing [pr]( changes:1 added an implementation of `webbrowserext` to set flags for securing the preview with web browser control2 removed the implementation of removing `<image>` and `<script>` tags as it will be handle by the control itself      963 *        successfully run and validate the svg preview handlers to block images and scripts
powertoys-1368,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,    customize the web browser control to handle `dispid_ambient_dlcontrol` to block images scripts and other external componentmore details:  pr is build on top of an existing [pr]( changes:1 added an implementation of `webbrowserext` to set flags for securing the preview with web browser control2 removed the implementation of removing `<image>` and `<script>` tags as it will be handle by the control itself      963 *        successfully run and validate the svg preview handlers to block images and scripts
powertoys-1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,    updated logic to call garbage collection on unloading of the preview to mitigate the issue with web browser control not disposing properly and the `prevhostexe` is not exiting on closing the file explorer      963 *   applies to #1468      validated the previewhandlers with msi installation there are no significant effect on performance of loading a new preview
powertoys-1456,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,    updated logic to call garbage collection on unloading of the preview to mitigate the issue with web browser control not disposing properly and the `prevhostexe` is not exiting on closing the file explorer      963 *   applies to #1468      validated the previewhandlers with msi installation there are no significant effect on performance of loading a new preview
powertoys-1456,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    updated logic to call garbage collection on unloading of the preview to mitigate the issue with web browser control not disposing properly and the `prevhostexe` is not exiting on closing the file explorer      963 *   applies to #1468      validated the previewhandlers with msi installation there are no significant effect on performance of loading a new preview
powertoys-1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,    updated logic to call garbage collection on unloading of the preview to mitigate the issue with web browser control not disposing properly and the `prevhostexe` is not exiting on closing the file explorer      963 *   applies to #1468      validated the previewhandlers with msi installation there are no significant effect on performance of loading a new preview
powertoys-1456,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,    updated logic to call garbage collection on unloading of the preview to mitigate the issue with web browser control not disposing properly and the `prevhostexe` is not exiting on closing the file explorer      963 *   applies to #1468      validated the previewhandlers with msi installation there are no significant effect on performance of loading a new preview
powertoys-1456,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    updated logic to call garbage collection on unloading of the preview to mitigate the issue with web browser control not disposing properly and the `prevhostexe` is not exiting on closing the file explorer      963 *   applies to #1468      validated the previewhandlers with msi installation there are no significant effect on performance of loading a new preview
powertoys-1458,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,    this  1453 and also #286         1453*    *        the code no longer assumes even divisibility and also no longer assumes that all zones must have equal width/height    tested manually in scenarios where effective screen width/height is not evenly divisible by the number of columns/rows
powertoys-1458,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,    this  1453 and also #286         1453*    *        the code no longer assumes even divisibility and also no longer assumes that all zones must have equal width/height    tested manually in scenarios where effective screen width/height is not evenly divisible by the number of columns/rows
powertoys-1458,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    this  1453 and also #286         1453*    *        the code no longer assumes even divisibility and also no longer assumes that all zones must have equal width/height    tested manually in scenarios where effective screen width/height is not evenly divisible by the number of columns/rows
powertoys-1458,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,    this  1453 and also #286         1453*    *        the code no longer assumes even divisibility and also no longer assumes that all zones must have equal width/height    tested manually in scenarios where effective screen width/height is not evenly divisible by the number of columns/rows
powertoys-1458,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,    this  1453 and also #286         1453*    *        the code no longer assumes even divisibility and also no longer assumes that all zones must have equal width/height    tested manually in scenarios where effective screen width/height is not evenly divisible by the number of columns/rows
powertoys-1458,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    this  1453 and also #286         1453*    *        the code no longer assumes even divisibility and also no longer assumes that all zones must have equal width/height    tested manually in scenarios where effective screen width/height is not evenly divisible by the number of columns/rows
powertoys-1464,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,    update the markdown previewer to use `webbrowserext` which is implementing in this [pr]( to block external content to load and run on the `webbrowser` control itself additional changes:1 disabled allownavigation option to prevent user to navigate to other pages within the preview pane for markdown and svg previewer2 removed the logic to launch default browser on clicking on the link its failing with `access denied` for the `prevhostexe` to launch browser application which is causing the web browser control to open the web page inside the preview pane itself      914     validated unit tests and test the preview handlers on dev machine to block external content and not opening the urls
powertoys-1464,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,    update the markdown previewer to use `webbrowserext` which is implementing in this [pr]( to block external content to load and run on the `webbrowser` control itself additional changes:1 disabled allownavigation option to prevent user to navigate to other pages within the preview pane for markdown and svg previewer2 removed the logic to launch default browser on clicking on the link its failing with `access denied` for the `prevhostexe` to launch browser application which is causing the web browser control to open the web page inside the preview pane itself      914     validated unit tests and test the preview handlers on dev machine to block external content and not opening the urls
powertoys-1464,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,    update the markdown previewer to use `webbrowserext` which is implementing in this [pr]( to block external content to load and run on the `webbrowser` control itself additional changes:1 disabled allownavigation option to prevent user to navigate to other pages within the preview pane for markdown and svg previewer2 removed the logic to launch default browser on clicking on the link its failing with `access denied` for the `prevhostexe` to launch browser application which is causing the web browser control to open the web page inside the preview pane itself      914     validated unit tests and test the preview handlers on dev machine to block external content and not opening the urls
powertoys-1503,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,implemented a solution to issue #585: fancyzones: alignment/snapping/ruler    this pr implements one aspect of issue #585 now windows in the canvas zone editor will snap to each other when being moved and resized         585 *      (      closed #1277 in favor of this pr because i messed up the history on the other branch    manually tested the canvas zone editor in various scenarios
powertoys-1503,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,implemented a solution to issue #585: fancyzones: alignment/snapping/ruler    this pr implements one aspect of issue #585 now windows in the canvas zone editor will snap to each other when being moved and resized         585 *      (      closed #1277 in favor of this pr because i messed up the history on the other branch    manually tested the canvas zone editor in various scenarios
powertoys-1503,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,implemented a solution to issue #585: fancyzones: alignment/snapping/ruler    this pr implements one aspect of issue #585 now windows in the canvas zone editor will snap to each other when being moved and resized         585 *      (      closed #1277 in favor of this pr because i messed up the history on the other branch    manually tested the canvas zone editor in various scenarios
powertoys-1503,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,implemented a solution to issue #585: fancyzones: alignment/snapping/ruler    this pr implements one aspect of issue #585 now windows in the canvas zone editor will snap to each other when being moved and resized         585 *      (      closed #1277 in favor of this pr because i messed up the history on the other branch    manually tested the canvas zone editor in various scenarios
powertoys-1503,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,implemented a solution to issue #585: fancyzones: alignment/snapping/ruler    this pr implements one aspect of issue #585 now windows in the canvas zone editor will snap to each other when being moved and resized         585 *      (      closed #1277 in favor of this pr because i messed up the history on the other branch    manually tested the canvas zone editor in various scenarios
