Util,NLP,APM,Network,DB,Interpreter,Error.Handling,Logging,Lang,Data.Structure,DevOps,i18n,Setup,Logic,Microservices,Test,Search,IO,UI,Parser,Security,Big.Data,Event.Handling,App,Multimedia,corpus
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,add button in preference dialog to reset preferences implements #455 and/or   change in changelogmd described?-  ? ( )-  ? - only ui change-  ? || nice looks good but i would add a note that resetting the perferences requires a restart (see change the language or the remote settings)  || good point an info message is now shown || looks good to me
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,add button in preference dialog to reset preferences implements #455 and/or   change in changelogmd described?-  ? ( )-  ? - only ui change-  ? || nice looks good but i would add a note that resetting the perferences requires a restart (see change the language or the remote settings)  || good point an info message is now shown || looks good to me
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,add tests for metadata parsing this solves #707 and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata() in fact can be replaced by these new methods i think this is something for a new prone question: to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters? || :+1:  || when is the equals required (except for simplifying this test)? seems like one can add them later if requiredthe pr looks good! || no as far as i can see equals is never used for the formatters (and also no getkey()equals which could be replaced with an internal equals)
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,add tests for metadata parsing this solves #707 and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata() in fact can be replaced by these new methods i think this is something for a new prone question: to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters? || :+1:  || when is the equals required (except for simplifying this test)? seems like one can add them later if requiredthe pr looks good! || no as far as i can see equals is never used for the formatters (and also no getkey()equals which could be replaced with an internal equals)
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,add tests for metadata parsing this solves #707 and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata() in fact can be replaced by these new methods i think this is something for a new prone question: to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters? || :+1:  || when is the equals required (except for simplifying this test)? seems like one can add them later if requiredthe pr looks good! || no as far as i can see equals is never used for the formatters (and also no getkey()equals which could be replaced with an internal equals)
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,preview panel is now updated when an entry is cut/deleted 936when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore-  change in changelogmd described?-  ? ( )-  ?-  ? || looks good :+1: || :+1:  || :+1:  || does the panel show up again when selecting another entry after deleting one? if so :+1:  || yes it does || we really should consider to implement an event system || :+1: for the event system (maybe use the stuff that comes with google guava
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,preview panel is now updated when an entry is cut/deleted 936when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore-  change in changelogmd described?-  ? ( )-  ?-  ? || looks good :+1: || :+1:  || :+1:  || does the panel show up again when selecting another entry after deleting one? if so :+1:  || yes it does || we really should consider to implement an event system || :+1: for the event system (maybe use the stuff that comes with google guava
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,preview panel is now updated when an entry is cut/deleted 936when an entry is cut/deleted the preview panel will be hidden due to the fact that no entry is selected anymore-  change in changelogmd described?-  ? ( )-  ?-  ? || looks good :+1: || :+1:  || :+1:  || does the panel show up again when selecting another entry after deleting one? if so :+1:  || yes it does || we really should consider to implement an event system || :+1: for the event system (maybe use the stuff that comes with google guava
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,improved exception handling in tests cases never catch an exceptionremoved unnecessary exceptionsthrow specific exceptions never only exceptionref #1012 -  ? ( )-  ?-  ? || good work! :+1: || @siedlerchr btw you should assign your commit email with your github account see  || @oscargus fixed@stefan-kolb i just added my git mail address to my github account as secondary mail address || was done by eclipse will change this back
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,improved exception handling in tests cases never catch an exceptionremoved unnecessary exceptionsthrow specific exceptions never only exceptionref #1012 -  ? ( )-  ?-  ? || good work! :+1: || @siedlerchr btw you should assign your commit email with your github account see  || @oscargus fixed@stefan-kolb i just added my git mail address to my github account as secondary mail address || was done by eclipse will change this back
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,improved exception handling in tests cases never catch an exceptionremoved unnecessary exceptionsthrow specific exceptions never only exceptionref #1012 -  ? ( )-  ?-  ? || good work! :+1: || @siedlerchr btw you should assign your commit email with your github account see  || @oscargus fixed@stefan-kolb i just added my git mail address to my github account as secondary mail address || was done by eclipse will change this back
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,write database type in lower case into the bib file this finally 963 a quick fix has been introduced in 661eea007e555 but that does not cover the lower case writing of the type```@comment{jabref-meta: database_type:bibtex}```finally gets```@comment{jabref-meta: databasetype:bibtex}```-  change in changelogmd described -> this has been introduced in the development versions after the last release thus no entry required-   -> tests have been adapted to match this new implementation || is the parsing case insensitive? is that tested? || @oscargus the value is parsed case-insensitive
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,write database type in lower case into the bib file this finally 963 a quick fix has been introduced in 661eea007e555 but that does not cover the lower case writing of the type```@comment{jabref-meta: database_type:bibtex}```finally gets```@comment{jabref-meta: databasetype:bibtex}```-  change in changelogmd described -> this has been introduced in the development versions after the last release thus no entry required-   -> tests have been adapted to match this new implementation || is the parsing case insensitive? is that tested? || @oscargus the value is parsed case-insensitive
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,write database type in lower case into the bib file this finally 963 a quick fix has been introduced in 661eea007e555 but that does not cover the lower case writing of the type```@comment{jabref-meta: database_type:bibtex}```finally gets```@comment{jabref-meta: databasetype:bibtex}```-  change in changelogmd described -> this has been introduced in the development versions after the last release thus no entry required-   -> tests have been adapted to match this new implementation || is the parsing case insensitive? is that tested? || @oscargus the value is parsed case-insensitive
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,fixes npe in export to external db fixes npe in export to external dbadd db type to export succesful messagereformatting#1055no changelog because i think it was new introduced by the redesign of the entry sorting (passing null) || export now all entries by default
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fixes npe in export to external db fixes npe in export to external dbadd db type to export succesful messagereformatting#1055no changelog because i think it was new introduced by the redesign of the entry sorting (passing null) || export now all entries by default
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,fixes npe in export to external db fixes npe in export to external dbadd db type to export succesful messagereformatting#1055no changelog because i think it was new introduced by the redesign of the entry sorting (passing null) || export now all entries by default
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1163 by removing the strange functionality which enabled sorting… we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that 68 means 1968 this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs #1163 || lgtm :+1: || lgtm :+1:  || should we readd yearutil as a cleanup to convert two digit years to four digit years? || if we add it we should make use of the java 8 functionality instead of the own ugly parsing: this one:http://stackoverflowcom/questions/29490893/parsing-string-to-local-date-doesnt-use-desired-century
1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1163 by removing the strange functionality which enabled sorting… we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that 68 means 1968 this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs #1163 || lgtm :+1: || lgtm :+1:  || should we readd yearutil as a cleanup to convert two digit years to four digit years? || if we add it we should make use of the java 8 functionality instead of the own ugly parsing: this one:http://stackoverflowcom/questions/29490893/parsing-string-to-local-date-doesnt-use-desired-century
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1163 by removing the strange functionality which enabled sorting… we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that 68 means 1968 this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs #1163 || lgtm :+1: || lgtm :+1:  || should we readd yearutil as a cleanup to convert two digit years to four digit years? || if we add it we should make use of the java 8 functionality instead of the own ugly parsing: this one:http://stackoverflowcom/questions/29490893/parsing-string-to-local-date-doesnt-use-desired-century
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,preview panel is now updated when an entry is cut/deleted (again) when i fixed #936 some time ago (pr: #937) i made a tiny errorthe issue was to hide the preview panel when deleting/cutting an entry but it also hid it when aborting the delete-confirmation-dialogi too refactored both actions a little to make it easier for future changesi also removed in `undoableremoveentry` and `undoableinsertentry` the id generation  
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,preview panel is now updated when an entry is cut/deleted (again) when i fixed #936 some time ago (pr: #937) i made a tiny errorthe issue was to hide the preview panel when deleting/cutting an entry but it also hid it when aborting the delete-confirmation-dialogi too refactored both actions a little to make it easier for future changesi also removed in `undoableremoveentry` and `undoableinsertentry` the id generation  
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,preview panel is now updated when an entry is cut/deleted (again) when i fixed #936 some time ago (pr: #937) i made a tiny errorthe issue was to hide the preview panel when deleting/cutting an entry but it also hid it when aborting the delete-confirmation-dialogi too refactored both actions a little to make it easier for future changesi also removed in `undoableremoveentry` and `undoableinsertentry` the id generation  
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1091 apply and ensure correct import sort order see #1091 || :+1: || lgtm :+1:
1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1091 apply and ensure correct import sort order see #1091 || :+1: || lgtm :+1:
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1091 apply and ensure correct import sort order see #1091 || :+1: || lgtm :+1:
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,added option to copy version information in the about dialog added option to copy version information of jabref in the about dialog as described in #871 this will help with filing issues and bug reports as the version of jabref os and java will be copied -  change in changelogmd described-  -   ()![screen shot 2016-04-25 at 22 38 58](https://cloudentcom/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cdpng) || just one minor comment otherwise this looks good please rebase || ## [current coverage]( is **2749%**> merging 1298]( into [master]( will decrease coverage by **-<01%**``` diff@@             master      #1298   diff @@  files           694        696     +2     lines         46259      46419   +160     methods           0          0            messages          0          0            branches       7650       7677    +27   + hits          12755      12760     +5   - misses        32404      32555   +151   - partials       1100       1104     +4   ```1 3 files (not in diff) in `/net/sf/jabref/logic` were deleted [more]( 1 files (not in diff) in `n/java/net/sf/jabref` were deleted [more]( 2 files (not in diff) in `bref/logic/formatter` were created [more]( 2 files (not in diff) in `jabref/logic/cleanup` were created [more]( 1 files (not in diff) in `n/java/net/sf/jabref` were created [more]( 4 files (not in diff) in `f/jabref/model/entry` were modified [more](    - misses `+8`    - hits `-12`7 5 files (not in diff) in `/jabref/logic/groups` were modified [more](    - misses `+22`    - partials `+3`    - hits `-1`8 3 files (not in diff) in `jabref/logic/cleanup` were modified [more](    - misses `+6`    - hits `+8`9 3 files (not in diff) in `/net/sf/jabref/logic` were modified [more](    - misses `-2`    - partials `-2`    - hits `-2`10 3 files (not in diff) in `t/sf/jabref/importer` were modified [more](     - misses `-5`     - partials `+1`     - hits `-1`> powered by [codecov]( last updated by [7230a80941240f](https://codecovio/gh/jabref/jabref/compare/7230a809da3e138e362b56366043c4a18b267ca1941240f674c02e07a8aae88010b1c0f9dd4a3a6f)
1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,added option to copy version information in the about dialog added option to copy version information of jabref in the about dialog as described in #871 this will help with filing issues and bug reports as the version of jabref os and java will be copied -  change in changelogmd described-  -   ()![screen shot 2016-04-25 at 22 38 58](https://cloudentcom/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cdpng) || just one minor comment otherwise this looks good please rebase || ## [current coverage]( is **2749%**> merging 1298]( into [master]( will decrease coverage by **-<01%**``` diff@@             master      #1298   diff @@  files           694        696     +2     lines         46259      46419   +160     methods           0          0            messages          0          0            branches       7650       7677    +27   + hits          12755      12760     +5   - misses        32404      32555   +151   - partials       1100       1104     +4   ```1 3 files (not in diff) in `/net/sf/jabref/logic` were deleted [more]( 1 files (not in diff) in `n/java/net/sf/jabref` were deleted [more]( 2 files (not in diff) in `bref/logic/formatter` were created [more]( 2 files (not in diff) in `jabref/logic/cleanup` were created [more]( 1 files (not in diff) in `n/java/net/sf/jabref` were created [more]( 4 files (not in diff) in `f/jabref/model/entry` were modified [more](    - misses `+8`    - hits `-12`7 5 files (not in diff) in `/jabref/logic/groups` were modified [more](    - misses `+22`    - partials `+3`    - hits `-1`8 3 files (not in diff) in `jabref/logic/cleanup` were modified [more](    - misses `+6`    - hits `+8`9 3 files (not in diff) in `/net/sf/jabref/logic` were modified [more](    - misses `-2`    - partials `-2`    - hits `-2`10 3 files (not in diff) in `t/sf/jabref/importer` were modified [more](     - misses `-5`     - partials `+1`     - hits `-1`> powered by [codecov]( last updated by [7230a80941240f](https://codecovio/gh/jabref/jabref/compare/7230a809da3e138e362b56366043c4a18b267ca1941240f674c02e07a8aae88010b1c0f9dd4a3a6f)
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,added option to copy version information in the about dialog added option to copy version information of jabref in the about dialog as described in #871 this will help with filing issues and bug reports as the version of jabref os and java will be copied -  change in changelogmd described-  -   ()![screen shot 2016-04-25 at 22 38 58](https://cloudentcom/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cdpng) || just one minor comment otherwise this looks good please rebase || ## [current coverage]( is **2749%**> merging 1298]( into [master]( will decrease coverage by **-<01%**``` diff@@             master      #1298   diff @@  files           694        696     +2     lines         46259      46419   +160     methods           0          0            messages          0          0            branches       7650       7677    +27   + hits          12755      12760     +5   - misses        32404      32555   +151   - partials       1100       1104     +4   ```1 3 files (not in diff) in `/net/sf/jabref/logic` were deleted [more]( 1 files (not in diff) in `n/java/net/sf/jabref` were deleted [more]( 2 files (not in diff) in `bref/logic/formatter` were created [more]( 2 files (not in diff) in `jabref/logic/cleanup` were created [more]( 1 files (not in diff) in `n/java/net/sf/jabref` were created [more]( 4 files (not in diff) in `f/jabref/model/entry` were modified [more](    - misses `+8`    - hits `-12`7 5 files (not in diff) in `/jabref/logic/groups` were modified [more](    - misses `+22`    - partials `+3`    - hits `-1`8 3 files (not in diff) in `jabref/logic/cleanup` were modified [more](    - misses `+6`    - hits `+8`9 3 files (not in diff) in `/net/sf/jabref/logic` were modified [more](    - misses `-2`    - partials `-2`    - hits `-2`10 3 files (not in diff) in `t/sf/jabref/importer` were modified [more](     - misses `-5`     - partials `+1`     - hits `-1`> powered by [codecov]( last updated by [7230a80941240f](https://codecovio/gh/jabref/jabref/compare/7230a809da3e138e362b56366043c4a18b267ca1941240f674c02e07a8aae88010b1c0f9dd4a3a6f)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,update localization instructions corrected gradlew task name#1312@koppor  @stefan-kolb || please check the order of the imports:  || hm will check my eclipse settings again || `gradlew eclipse` should be enough --> we are generating the correct settings no need for manual intervention || @koppor  fixed the import order the setting was not activated in my eclipse saving options  || ## [current coverage]( is **2751%**> merging 1318]( into [master]( will not change coverage``` diff@@             master      #1318   diff @@  files           695        695            lines         46382      46382            methods           0          0            messages          0          0            branches       7677       7677            hits          12760      12760            misses        32518      32518            partials       1104       1104          ```> powered by [codecov]( last updated by [1aa2145522607b]( || lgtm :+1:
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,update localization instructions corrected gradlew task name#1312@koppor  @stefan-kolb || please check the order of the imports:  || hm will check my eclipse settings again || `gradlew eclipse` should be enough --> we are generating the correct settings no need for manual intervention || @koppor  fixed the import order the setting was not activated in my eclipse saving options  || ## [current coverage]( is **2751%**> merging 1318]( into [master]( will not change coverage``` diff@@             master      #1318   diff @@  files           695        695            lines         46382      46382            methods           0          0            messages          0          0            branches       7677       7677            hits          12760      12760            misses        32518      32518            partials       1104       1104          ```> powered by [codecov]( last updated by [1aa2145522607b]( || lgtm :+1:
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,update localization instructions corrected gradlew task name#1312@koppor  @stefan-kolb || please check the order of the imports:  || hm will check my eclipse settings again || `gradlew eclipse` should be enough --> we are generating the correct settings no need for manual intervention || @koppor  fixed the import order the setting was not activated in my eclipse saving options  || ## [current coverage]( is **2751%**> merging 1318]( into [master]( will not change coverage``` diff@@             master      #1318   diff @@  files           695        695            lines         46382      46382            methods           0          0            messages          0          0            branches       7677       7677            hits          12760      12760            misses        32518      32518            partials       1104       1104          ```> powered by [codecov]( last updated by [1aa2145522607b]( || lgtm :+1:
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,fix sorting issue #1357 the logic is fucked but this should fix the issueproblem was that when sort in original order was selected the corresponding variable newsortorder would still read the disabled sort order inside the jdialog  
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fix sorting issue #1357 the logic is fucked but this should fix the issueproblem was that when sort in original order was selected the corresponding variable newsortorder would still read the disabled sort order inside the jdialog  
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,fix sorting issue #1357 the logic is fucked but this should fix the issueproblem was that when sort in original order was selected the corresponding variable newsortorder would still read the disabled sort order inside the jdialog  
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,add fields for nbibimporter and add testfile regarding: 1063]( medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test+ testfile for the nbib formata list of the elements that should be imported now can be found [here](   || you should also record your changes in the readme || lgtm || for somehow the travis-ci is failing because an integration test scrollingthroughentrylist fails || lgtm too just some minor remarks for readability
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,add fields for nbibimporter and add testfile regarding: 1063]( medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test+ testfile for the nbib formata list of the elements that should be imported now can be found [here](   || you should also record your changes in the readme || lgtm || for somehow the travis-ci is failing because an integration test scrollingthroughentrylist fails || lgtm too just some minor remarks for readability
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,add fields for nbibimporter and add testfile regarding: 1063]( medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test+ testfile for the nbib formata list of the elements that should be imported now can be found [here](   || you should also record your changes in the readme || lgtm || for somehow the travis-ci is failing because an integration test scrollingthroughentrylist fails || lgtm too just some minor remarks for readability
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1342: show description of case converters as tooltip <describe the changes you have made here:  >-  change in changelogmd described-  -   () || lgtm :+1:
1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1342: show description of case converters as tooltip <describe the changes you have made here:  >-  change in changelogmd described-  -   () || lgtm :+1:
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1342: show description of case converters as tooltip <describe the changes you have made here:  >-  change in changelogmd described-  -   () || lgtm :+1:
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1420 auto downloader should respect file pattern and propose correct filename (https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png) || lgtm || lgtm :+1:
1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1420 auto downloader should respect file pattern and propose correct filename (https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png) || lgtm || lgtm :+1:
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1420 auto downloader should respect file pattern and propose correct filename (https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png) || lgtm || lgtm :+1:
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,651: improve parsing of author names containing braces 651-  change in changelogmd described-  -   () || lgtm
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,651: improve parsing of author names containing braces 651-  change in changelogmd described-  -   () || lgtm
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,651: improve parsing of author names containing braces 651-  change in changelogmd described-  -   () || lgtm
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,refactor placement of parsing and writing logic according to the following conventions:- all objects which can be read from a string have `public static type parse(stringy input)` method- all objects which can be written to a string have a `public stringy getasstring()` methodshould 888## -  change in changelogmd described-  -   () || i am still an advocate of separate read/write classes which handle the serialization in both ways because:- using an interface with fromstring/tostring methods would allow to make this more explicit in the code and ensure that these methods are not renamed by accident- using separate classes for reading/writing would make the classes themselfs smaller and allow a better separation of concern - easier to test as one only needs to look at a single cread/write class with its own test || yes you are right that separate read/write classes are probably even better nonetheless i find the changes made in this pr are still an improvement and im quite satisfied with the result (satisfied enough to have no motivation for introducing new read/write classes) || i changed the names thanks for the feedback!
1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,refactor placement of parsing and writing logic according to the following conventions:- all objects which can be read from a string have `public static type parse(stringy input)` method- all objects which can be written to a string have a `public stringy getasstring()` methodshould 888## -  change in changelogmd described-  -   () || i am still an advocate of separate read/write classes which handle the serialization in both ways because:- using an interface with fromstring/tostring methods would allow to make this more explicit in the code and ensure that these methods are not renamed by accident- using separate classes for reading/writing would make the classes themselfs smaller and allow a better separation of concern - easier to test as one only needs to look at a single cread/write class with its own test || yes you are right that separate read/write classes are probably even better nonetheless i find the changes made in this pr are still an improvement and im quite satisfied with the result (satisfied enough to have no motivation for introducing new read/write classes) || i changed the names thanks for the feedback!
