pr;Util;NLP;APM;Network;DB;Interpreter;Error Handling;Logging;Lang;Data Structure;DevOps;i18n;Setup;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;Event Handling;App;GIS;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
129;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;code cleanup;cleaned up some warnings highlighted by intellij idea;;0;code cleanup;cleaned up some warnings highlighted by intellij idea;thank you ||;;;;1;1;code cleanup;
137;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;implemented range operator. fixes issue #68;;;0;implemented range operator fixes issue #68;;looks good mergingthis takes care of the first of 2 signatures in  you @mairbek ||;;;;1;1;implemented range operator;
"138;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;implemented sequenceequal operator;fixes issue #76  since there is no direct analogue of  iequalitycomparer  in java   func2<t  t  boolean>  has been used.;;76.0;implemented sequenceequal operator;fixes issue #76since there is no direct analogue of `iequalitycomparer` in java `func2<t t boolean>` has been used;nice and great use of the zip operator! || thank you again @mairbek  ||;operator: sequenceequal;http://msdnmicrosoftcom/en-us/library/hh229024(vvs103)aspxhttp://msdnmicrosoftcom/en-us/library/hh212108(vvs103)aspx;""looking at these implementations it seems that by using zip it will emit a sequence of true/false values rather than a single boolean specifying if the entire sequence is true/falsei think it is supposed to emit only a single value based on reading the msdn docs@mairbek if you re-read the docs is it supposed to be a single value or sequence of values emitted? if single can you submit a fix? probably a reduce type function that keeps going until it finds a false otherwise if it hits oncomplete/onerror the same on both sides it returns true  || @benjchristensen okay ill submit the patch || reduce doesnt seems to be a good choice in this case since it would wait for all pairs of events even if first two were differenti will start by implementing all operation #21 and applying it to a `zip` of two observables || okay  this happens to be more complicated that ive expectedive come up with a test case that fails on `all` + `zip` implementation looks like `zip` operation completes the observation as fast as first observable completes which leads to wrong behaviour of `sequenceequal` operation``` java        @test        public void testsequenceequal3() {            observable<integer> first  observabletoobservable(1 2)            observable<integer> second  observabletoobservable(1 2 3)            @suppresswarnings(""""unchecked"""")            observer<boolean> result  mock(observerclass)            sequenceequal(first second)subscribe(result)            verify(result times(1))onnext(false)            verify(result times(1))oncompleted()            verifynomoreinteractions(result)        }``` || done || "";1;0;implemented sequenceequal method;"
142;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;rxjava errorhandler plugin; error handler plugin  plugin system;;0;rxjava errorhandler plugin; error handler plugin plugin system;;;;;1;1;rxjavaerrorhandler plugin error handler plugin plugin system;
"146;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;merge of pull #125 for issue #87 operator takewhile;manually merging  from @mairbek;;125.0;merge of pull #125 for issue #87 operator takewhile;manually merging  from @mairbek;implementation of  done by @mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch ||;implemented: takewhile;;""hi @mairbek thank you for contributing im going to checkout your branch to review this and will comment more (or merge if nothing needs to change) once ive done sotalk to you soon  || @mairbek i have reviewed the code and it looks goodthe missing part is the addition of methods to rxobservablethe 2 methods youd need to model after are:  that there is both a static and instance methodsince takewhile includes a func it will also need to support an overload with object such as this:-> typed:  non-typed:  you would end up with:static observabletakewhile(final observable<t> items final func1<t boolean> predicate)static observabletakewhile(final observable<t> items final func2<t integer boolean> predicate)static observabletakewhile(final observable<t> items final object predicate)instance observabletakewhile(final func2<t integer boolean> predicate)instance observabletakewhile(final func1<t boolean> predicate)instance observabletakewhile(final object predicate)one challenge with supporting dynamic languages is that overloading can get tricky and the implementation of takewhile as it currently stands has overloads with func1 and func2 this means that the overload with object will convert to funcn but we wont know which of the func1 or func2 methods to send tothus you may want to look at changing the operationtake to use only func2 for the takewhile methodswhen adding methods involving func\* overloads i then add unit tests for at least one of the dynamic languages to make sure its all working when going via the """"object"""" overloadsfor example:  you want to update this pull request to include the rxobservable methods? || > thus you may want to look at changing the operationtake to use only `func2` for the takewhile methodsi suppose people would mostly look for the `func1` method and use cases when you need `func2` function are pretty rareim going to name `takewhile` with `func2` as `takewhilewithindex` (not sure if this is a good name for this) to avoid overloading what do you think? || i need to spend some time playing with this as id like to try and find a way that doesnt require a different namei havent forgotten this but need to finish some other things then will come back to this || this is for issue  || this can no longer be automatically merged so im manually merging it into my local branch to play with and will either respond back with comments or submit with your commits in another pull request based off of yours || to allow us to avoid having takewhilewithindex (and just have takewhile) is it bad to require all closures to pass in both arguments and just ignore the index if they dont want it?``` groovyobservabletakewhile(observabletoobservable(1 2 3) { x i -> i < 2})subscribe({ result -> areceived(result)})`````` clojure(-> (rxobservable/toobservable [1 2 3]) (takewhile (fn [x i] (< x 2))) (subscribe (fn [arg] (println arg))))```versus``` groovyobservabletakewhile(observabletoobservable(1 2 3) { x -> x < 2})subscribe({ result -> areceived(result)})`````` clojure(-> (rxobservable/toobservable [1 2 3]) (takewhile (fn  (< x 2))) (subscribe (fn [arg] (println arg))))```asking around for opinions  || i have completed the merge in pull request  close this one out nowi stuck with the proposed design by @mairbek for the pull request and it has takewhile and takewhilewithindex since it seems the common use case would be takewhile so it keeps the closure implementations simple with a single argof course since were version 05 we can change this decision prior to 10 if there are strong opinions otherwise || thank you @mairbek great implementation i appreciate how clean and well tested your code is and that you strive to comply with the style of the project || i prefer `takewhile` and `takewhileindexed` two separate names is more explicit || thanks dave i also discussed with jafar who agreed so were good with the takewhilte/takewhileindexed naming convention and ill leave the code as committed || "";1;0;merge operator takewhile pull requestthis is a manual merge of  contributed by @mairbek;"
146;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;merge of pull #125 for issue #87 operator takewhile;manually merging  from @mairbek;;87.0;merge of pull #125 for issue #87 operator takewhile;manually merging  from @mairbek;implementation of  done by @mairbek ive run the unit tests locally and reviewed the code while doing the manual merge looks good so merging into master branch ||;operator: takewhile;http://msdnmicrosoftcom/en-us/library/hh244231(vvs103)aspxhttp://msdnmicrosoftcom/en-us/library/hh229131(vvs103)aspx;;1;0;merge operator takewhile pull requestthis is a manual merge of  contributed by @mairbek;
"147;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;operator: foreach;issue   related to pull https://github.com/netflix/rxjava/pull/131;;0;operator: foreach;issue  to pull https://githubcom/netflix/rxjava/pull/131;""updated in another commit to bring inline with the msdn docs unit tests that show the behavior:``` groovy    @test    public void testforeach() {        observablecreate(new asyncobservable())foreach({ result -> areceived(result)})        verify(a times(1))received(1)        verify(a times(1))received(2)        verify(a times(1))received(3)    }    @test    public void testforeachwitherror() {        try {            observablecreate(new asyncobservable())foreach({ result -> throw new runtimeexception(err)})            fail(""""we expect an exception to be thrown"""")        }catch(exception e) {            // do nothing as we expect this        }        verify(a times(0))received(1)        verify(a times(0))received(2)        verify(a times(0))received(3)    }``` || thanks @mairbek for the review@dcapwell @jhusain or anyone else have comments on this before i merge? ill wait a few hours for feedback before merging and doing a release with this last batch of changes || looks good to me  only comment i would make is in the interruptedexception catch  since not throwing a interruptedexception but runtime it might be good to also add threadgetcurrentthread()interrupt() to set the interrupt flag again```    try {        latchawait()      } catch (interruptedexception e) {          threadgetcurrentthread()interrupt()        throw new runtimeexception(""""interrupted while waiting for subscription to complete"""" e) }``` || interesting point didnt even think of that as i figured the runtimeexception would be sufficient to cause the caller to behave appropriately but they could theoretically swallow runtimeexceptions and continue in a while loop check for isinterrupted() which could be lost in this scenario making that change now || "";;;;1;1;mark the thread as interrupted again;"
156;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;implemented toiterable operation;for issue #18.  this would allow to implement other blocking methods like  single    lastordefault  next.;;18.0;implemented toiterable operation;for issue #18this would allow to implement other blocking methods like `single` `lastordefault` next;this looks good merging ||;operator: toiterable;we already from toobservable(iterable)/from(iterable)  add the reverse blocking toiterable() similar to the non-blocking tolist() which already existstoenumerable from c#: http://msdnmicrosoftcom/en-us/library/hh212132(vvs103)aspx;`toenumerable` dont seems to be different from `tolist`first one returns `iobservable<ilist<tsource>>` second one `ienumerable<tsource>` || the tolist operator is non-blocking as it returns observable<list<t>> whereas to iterable is blocking and returns iterable<t>the key difference is non-blocking versus blocking otherwise yes they behave similarlythe other difference though is that tolist will wait until the observable sequence is oncompleted() and then emit the list whereas toiterable will buffer but start allowing take() to be called immediately as each onnext() value is emitted ||  by the way  a key difference in java is that iterable is not an equal dual with observable whereas ienumerable is a dual to iobservable in net where both have extension methods with all the functional operatorssince java doesnt have extension methods we cant do that here at best we could have another parallel framework for wrapping an iterable ||;1;0;static method plus javadoc;
157;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;implemented single and singleordefault;for issue #77.;;0;implemented single and singleordefault;for issue #77;i completed this merge in  since it had conflicts ||;;;;1;1;updated single/singleordefault according to review request;
159;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;implemented lastordefault operator;for issue #58;;0;implemented lastordefault operator;for issue #58;looks good of note while reviewing this i realized the last() operator ( is wrong and needs to be   ||;;;;1;1;implemented lastordefault;
160;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;manual merge of mairbek/single pull #157;merging  which had conflicts and needed a manual merge.;;0;manual merge of mairbek/single pull #157;merging  which had conflicts and needed a manual merge;;;;;1;1;merge remote-tracking branch mairbek/singleadded @throws javadocssuppressed rawtypes warningsconflicts:	language-adaptors/rxjava-groovy/src/test/groovy/rx/lang/groovy/observabletestsgroovy	rxjava-core/src/main/java/rx/observablejava;
165;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;fixed bug in ranges;fixed issue #164.;;164.0; bug in ranges; issue #164;#3 ;rxutilrangecreatewithcount(int start int count) yields invalid sequence when start ! 1;createwithcount(1 4) correctly yields (1 2 3 4)createwithcount(2 4) yields (2 3 4 5 6 7 8 9) where it should be (2 3 4 5)createwithcount(0 4) yields () where it should be (0 1 2 3)createwithcount(-1 4) yields () where it should be (-1 0 1 2);thanks @mairbek for the quick fix@christianbourgeois i have merged the fix ( and will include in the next release i just want to review one more pull request to try and get it into that releaseit is okay if i wait until end of day today to release the new code or do you need the fix sooner? || thanks @mairbek for the quick fix and @benjchristensen for the mergeyou are all very fast i was in the process of sending a pull request when i saw the fix by @mairbekthis issue is not critical in any way for me no worries for the release || then ill finish up the other work before doing this release (hoping either end-of-day or over weekend)thanks for reporting the bug and being willing to submit a pull request (until @mairbek beat you to it!) || thank you @christianbourgeois for reporting the issuei had shortly realized what a dumb mistake i made in that code :) ||;1;0; bug in ranges;
167;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;reimplemented last operation;for issue #57.;;0;reimplemented last operation;for issue #57;#6 this looks good  holding off on merging until im ready to release 060 with breaking changesi will bundle this with the subscription ( changes as well since they will likely be breaking because theyll change the package of the subscription object || manually merged in  ||;;;;1;1;reimplemented last operation;
"168;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;implemented most recent;for issue #64.;;0;implemented most recent;for issue #64;""#6  man it is hard to understand the difference between latest next mostrecent etc using msdn docs  || trying to figure out the difference between observablelatest ( and observablemostrecent ( other than the latter having an initialvalueboth return `ienumerable<tsource>` and both say """"samples the most recent value in an observable sequence""""the observablenext operator says """"samples the next value (blocking without buffering) from in an observable sequence"""" and also returns `ienumerable<tsource>` || my understanding of these operators are:- latest  - will cache the latest value and return immediately when iteratornext() is called   - or block if no value is cached until next value  - when the value is emitted it is removed from the cache so only emitted once- next  - will not cache the latest value so will block until next value- mostrecent  - will cache the latest value and return immediately when iteratornext() is called   - or block if no value is cached until next value  - the last value is always retained so if you subscribe to it multiple times it will keep returning the """"most recent"""" value  - the initialvalue guarantees it will never wait and immediately return || this pull request looks good  merging || "";;;;1;1;updated observable api;"
171;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;implemented defer operation;for issue #35.;;0;implemented defer operation;for issue #35;looks good  merging ||;;;;1;1;implemented defer operation;
176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;implemented groupby;for issue #51.;;0;implemented groupby;for issue #51;#14  this is a difficult one with java as maintaining `groupedobservable` will require manual effort every time a new static is added and it will be very easy for it to drift away from observable in short im not a fan of relying on static method overridesim going to sit on this a bit while i think about and talk to others on this i want to better understand the groupby operator too so need to play with it || i used ide to delegate methods to underlying observable looks like it has generated statics methods as well let me remove them || ah so that wasnt intended   || in c# version `observable` is an interface and `groupedobservable` can simply extend it since in java version `observable` is a class i decided to make `groupedobservable` to be a proxy for `observable` || #17 yes your approach makes sensethe reason for the class rather than interface is because java doesnt have extension methods like c# does - otherwise wed also have observable be an interface (originally inside netflix we had observable as an interface and all implementations in abstractobservable  but everything has to work with abstractobservable  it was very awkward so we did away with it)i need to spend a few more minutes to understand this operator :-) || take a look at a different approach i took for `groupedobservable` in pull request  and let me know if you think that works okay || completed in  ||;;;;1;1;removed static methods delegations;
177;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;operator: dematerialize - review and manual merge;manual merge of pull request  for issue https://github.com/netflix/rxjava/issues/37;;0;operator: dematerialize - review and manual merge;manual merge of pull request  for issue https://githubcom/netflix/rxjava/issues/37;#15 ;;;;1;1;merge branch dematerialize of git://githubcom/prabirshrestha/rxjava into dematerialize-merge- added javadoc for @throws exception- suppressed unchecked warningsconflicts:	rxjava-core/src/main/java/rx/observablejava;
178;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;review and refactor of getiterator;review of pull request  for issue  along with a simple refactoring to reduce code in observable.java.;;0;review and refactor of getiterator;review of pull request  for issue  along with a simple refactoring to reduce code in observablejava;#16 ;;;;1;1;refactored iterator implementation out of observable into operatortoiterator- trying to keep the massively large observablejava class focused on the api and implementation details off in small classes;
179;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;operator groupby pull request - review and refactor;refactored version of pull request  for issue   i would like to avoid delegation if possible since it will mean it needs to be kept in sync with observable.  this refactored approach allows inheritance without delegation by composing the observable  inside another operator function.;;0;operator groupby pull request - review and refactor;refactored version of pull request  for issue  would like to avoid delegation if possible since it will mean it needs to be kept in sync with observablethis refactored approach allows inheritance without delegation by composing the observable  inside another operator function;#18  the only thing i dont like right now about this is having groupedobservable in the rx\* package it feels like an implementation detail that should live in a sub-package rather than the top-most packagefor example in rxnet `iobservable` is in system\* and `igroupedobservable` in systemreactivelinqim wondering if we should have rxobservables similar to rxsubscriptions ( belongs at rxobservable (and maybe the rxsubscription interface as well) but all other impls should be in a sub-package i think || #19;;;;1;1;move groupedobservable to rxobservables;
180;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;formatting and cleanup;;;0;formatting and cleanup;;#20;;;;1;1;cleanup various compiler warnings;
182;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;subscriptions utility class and rx.subscriptions package;https://github.com/netflix/rxjava/issues/173;;0;subscriptions utility class and rxsubscriptions package;https://githubcom/netflix/rxjava/issues/173;merging to become part of version 060 - this has breaking changes || #22;;;;1;1;subscriptions utility class and rxsubscriptions packagehttps://githubcom/netflix/rxjava/issues/173;
184;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;convert  last  from non-blocking to blocking to match rx.net;merging pull request  which needed manual merging.  did some other cleanup while in there and added a missing generic  object  override.  thank you @mairbek for doing this work.;;0;convert last from non-blocking to blocking to match rxnet;merging pull request  which needed manual mergingdid some other cleanup while in there and added a missing generic object overridethank you @mairbek for doing this work;#24 ;;;;1;1;convert last from non-blocking to blocking to match rxnetsee  for backgroundnote: this is a breaking change thus we are bumping the version from 05x to 06xmanual merge of branch last of git://githubcom/mairbek/rxjava into issue-57-lastconflicts:	rxjava-core/src/main/java/rx/observablejava;
187;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;confusing javadoc for  toobservable(future)  methods;https://github.com/netflix/rxjava/issues/148;;0;confusing javadoc for `toobservable(future)` methods;https://githubcom/netflix/rxjava/issues/148;#27 ;;;;1;1;confusing javadoc for `toobservable(future)` methodshttps://githubcom/netflix/rxjava/issues/148;
189;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;handful of improvements;some improvements made while reviewing code. - add error handling to videoexample.groovy so it s a better representation of how onerror is used - handle errors from func1 failures when subscribe happens - handle null subscriptions on  trusted  functions  not just untrusted;;0;handful of improvements;some improvements made while reviewing code- add error handling to videoexamplegroovy so its a better representation of how onerror is used- handle errors from func1 failures when subscribe happens- handle null subscriptions on trusted functions not just untrusted;#28 ;;;;1;1;more thorough error handling in case func1 implementation itself fails- func1call may fail (null impl bad impl etc)- func1call may success but the implementation itself may throw an exception instead of properly catching and sending to onerror;
190;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;update dematerialize so can chain correctly;just noticed this when i actually had to chain it.      java observable<file> saveresult = .       current:      java observable<notification<file>> a = saveresult.materialize().dematerialize()       expected:      java observable<file> a = saveresult.materialize().dematerialize()       here is what is happening      java observable<file> x = saveresult  observable<notification<file>> y = x.materialize()  observable<notification<file>> currentresult = y.dematerialize()  observable<file> expectedresult = observable.dematerialize(y)       workaround is to use static method to get the expected result.  with this change you can chain correctly. added unit test.      java observable<integer> obs = observable.just(1)  observable<integer> chained = obs.materialize().dematerialize()       this will be a breaking change. but i think this is the expected way.;;0;update dematerialize so can chain correctly;just noticed this when i actually had to chain it``` javaobservable<file> saveresult  ```current:``` javaobservable<notification<file>> a  saveresultmaterialize()dematerialize()```expected:``` javaobservable<file> a  saveresultmaterialize()dematerialize()```here is what is happening``` javaobservable<file> x  saveresultobservable<notification<file>> y  xmaterialize()observable<notification<file>> currentresult  ydematerialize()observable<file> expectedresult  observabledematerialize(y)```workaround is to use static method to get the expected resultwith this change you can chain correctly added unit test``` javaobservable<integer> obs  observablejust(1)observable<integer> chained  obsmaterialize()dematerialize()```this will be a breaking change but i think this is the expected way;#29  so its just the generics that are wrong? || yeah  this works without this fix:``` javaobservable chained  obsmaterialize()dematerialize()```but the compiler doesnt like this because the generics are wrong:``` javaobservable<integer> chained  obsmaterialize()dematerialize()``` || released in 061  || awesome thanks now need to wait for the maven repo update :(i did notice the `gradle release plugin - pre tag commit: rxjava-061`  the jar in maven and ci the same? || the jar is built by internal netflix build servers and then uploaded to maven centralthe public ci (cloudbees) also builds the jar but that one never goes anywhere ||;;;;1;1;updates dematerialize so can chain correctly;
191;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;where alias to filter;pr for #101;;0;where alias to filter;pr for #101;#30  ;;;;1;1;added where operation to observable;
