issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Logging,i18n,DevOps,Logic,Test,IO,UI,Security,App,corpus
367.0,370,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,add compatibility check for utf this pr attempts to we have a bit of a problem utf came from these lines java try inputstreamreader reader openfile filetoopen suppliedencoding fallbackencoding { bibtexparser bp new bibtexparser reader parserresult pr bpparse prsetencoding readergetencoding it is set in this method call thats the java api the inputstreamreader says that the proper name of the encoding is utf my solution is an ugly compatibility hack in which we just insert the manually ugly but works what do you think what about replacing all string representation of encodings by charset then on export getencodingname returns the correct description utf sounds like a good idea we should give it a try tobiasdiez great advice charset already implements the correct encoding name translation all we have to do is through it into charset and read it our again and we can skip the hack javaprsetencoding charsetforname readergetencoding name please merge master we did a mayor overhaul of the opendatabaseaction deleted code etc lenhard glad this was helpful i think the code would even further improve if the parserresult and maybe some other classes doesnt hold the encoding as a string but as a charset ie public charset getencoding and similarly for setencoding koppor done tobiasdiez sure but i think this should be part of a new pr since this pr just attempts to fix one particular issue
388.0,418,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,proxy authentication support feature this pull request enables support for proxy authentication via command line arguments d and jabref preferences network tab btw the tests in netsfjabreflogicfetcher and the urldownloadtest still fails because the authenticator is not initialized in unit tests why is the codecov project check marked as failed but shows passed on details is marked as fail as you added code which is not covered by a junit test reducing code coverage but we do not have a gui strategy yet and you added mostly gui code hence no problem there i forgot to create a special branch for this pr hmmm this is not a big problem as long as you do not start working on another issue in your master branch wink hmm if i change the proxy settings a restart is required we have other settings which upon change indicate to the user that jabref has to be restarted for the settings to be applied see the remote preferences under advancedtab maybe reuse the code from there hmm looking for config changes in six values looks quite ugly with if conditions i can create a hashmap or stringbuilder out of these values and later on just compare the hash values or do you have any other suggestion you just need to compute the final proxy string username password hostname port which you can easily compare and then the two remaining boolean variables thats what i have implemented with a stringbuilder comparing the hashcode is much faster than comparing the string okay please check my pr thank you for the pr nice and clean implementation we would gladly accept more prs from you
167.0,422,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,move edit mode switch to file tab to make it more prominent and a file based thing in the future can you please rebase on master mhmm that was a quick merge two things see comments is currently not released so each merge to master will a be automatically part of not or b requires effort to be excluded from the release v milestone means needs to be done by release but may be earlier i know but we should discuss the strategy for those bugfix releases probably not here wink
315.0,452,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable complete check and rewrite of maintable and related classesthis will fix and implement show tooltip for header columns show tooltip for contents which are too long for table columns add ability to drag and drop specialfield columns ~~ allow storing position of specialfield columns~~ postponed to another pr remove table column for pdf ps which is obsolete remove option show one letter heading for icon columns which is now obsolete changed default order in main table all file based icons file url doi all bibtex field based icons bibtexkey entrytype author title all special field icons ~~ ~~ postponed ~~ think about must be implemented vernünftig matthias entry table fit table horizontally from the minutes~~ postponed final cleanup changelog awesome before i invest much time to fix it jabref developers are we dropping support for the pdf ps column in the main table in this column potential contents of the legacy fields pdf and ps are shown in the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype eg show a column for excel files so it would be possible to show specific columns for pdfs stored in the file field yes support has been dropped for pdf ps fields all over the place we should do this as well for the main table for removing these legacy columnscould someone create a faq entry in htdocs or send me a plain faq on how to mimic that behavior with the special columns very nice pr with this we already have a koppor q the pdf ps column in the main table is missing how can i restore them a as the bibtex fields pdf and ps are migrated to file the table column was obsolete however it is possible to define columns specifically for each file type in the preferences see preferences entry table columns show extra columns show extra mhmm but this gui stuff is quite unnerving wink and we already have issues with the pdf ps columns which no longer seem to work correctly this confirms the need for their removal just rebased from my point of view the current state is good enough to be merged into master
384.0,452,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable complete check and rewrite of maintable and related classesthis will fix and implement show tooltip for header columns show tooltip for contents which are too long for table columns add ability to drag and drop specialfield columns ~~ allow storing position of specialfield columns~~ postponed to another pr remove table column for pdf ps which is obsolete remove option show one letter heading for icon columns which is now obsolete changed default order in main table all file based icons file url doi all bibtex field based icons bibtexkey entrytype author title all special field icons ~~ ~~ postponed ~~ think about must be implemented vernünftig matthias entry table fit table horizontally from the minutes~~ postponed final cleanup changelog awesome before i invest much time to fix it jabref developers are we dropping support for the pdf ps column in the main table in this column potential contents of the legacy fields pdf and ps are shown in the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype eg show a column for excel files so it would be possible to show specific columns for pdfs stored in the file field yes support has been dropped for pdf ps fields all over the place we should do this as well for the main table for removing these legacy columnscould someone create a faq entry in htdocs or send me a plain faq on how to mimic that behavior with the special columns very nice pr with this we already have a koppor q the pdf ps column in the main table is missing how can i restore them a as the bibtex fields pdf and ps are migrated to file the table column was obsolete however it is possible to define columns specifically for each file type in the preferences see preferences entry table columns show extra columns show extra mhmm but this gui stuff is quite unnerving wink and we already have issues with the pdf ps columns which no longer seem to work correctly this confirms the need for their removal just rebased from my point of view the current state is good enough to be merged into master
443.0,452,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable complete check and rewrite of maintable and related classesthis will fix and implement show tooltip for header columns show tooltip for contents which are too long for table columns add ability to drag and drop specialfield columns ~~ allow storing position of specialfield columns~~ postponed to another pr remove table column for pdf ps which is obsolete remove option show one letter heading for icon columns which is now obsolete changed default order in main table all file based icons file url doi all bibtex field based icons bibtexkey entrytype author title all special field icons ~~ ~~ postponed ~~ think about must be implemented vernünftig matthias entry table fit table horizontally from the minutes~~ postponed final cleanup changelog awesome before i invest much time to fix it jabref developers are we dropping support for the pdf ps column in the main table in this column potential contents of the legacy fields pdf and ps are shown in the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype eg show a column for excel files so it would be possible to show specific columns for pdfs stored in the file field yes support has been dropped for pdf ps fields all over the place we should do this as well for the main table for removing these legacy columnscould someone create a faq entry in htdocs or send me a plain faq on how to mimic that behavior with the special columns very nice pr with this we already have a koppor q the pdf ps column in the main table is missing how can i restore them a as the bibtex fields pdf and ps are migrated to file the table column was obsolete however it is possible to define columns specifically for each file type in the preferences see preferences entry table columns show extra columns show extra mhmm but this gui stuff is quite unnerving wink and we already have issues with the pdf ps columns which no longer seem to work correctly this confirms the need for their removal just rebased from my point of view the current state is good enough to be merged into master
445.0,452,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable complete check and rewrite of maintable and related classesthis will fix and implement show tooltip for header columns show tooltip for contents which are too long for table columns add ability to drag and drop specialfield columns ~~ allow storing position of specialfield columns~~ postponed to another pr remove table column for pdf ps which is obsolete remove option show one letter heading for icon columns which is now obsolete changed default order in main table all file based icons file url doi all bibtex field based icons bibtexkey entrytype author title all special field icons ~~ ~~ postponed ~~ think about must be implemented vernünftig matthias entry table fit table horizontally from the minutes~~ postponed final cleanup changelog awesome before i invest much time to fix it jabref developers are we dropping support for the pdf ps column in the main table in this column potential contents of the legacy fields pdf and ps are shown in the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype eg show a column for excel files so it would be possible to show specific columns for pdfs stored in the file field yes support has been dropped for pdf ps fields all over the place we should do this as well for the main table for removing these legacy columnscould someone create a faq entry in htdocs or send me a plain faq on how to mimic that behavior with the special columns very nice pr with this we already have a koppor q the pdf ps column in the main table is missing how can i restore them a as the bibtex fields pdf and ps are migrated to file the table column was obsolete however it is possible to define columns specifically for each file type in the preferences see preferences entry table columns show extra columns show extra mhmm but this gui stuff is quite unnerving wink and we already have issues with the pdf ps columns which no longer seem to work correctly this confirms the need for their removal just rebased from my point of view the current state is good enough to be merged into master
490.0,452,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable complete check and rewrite of maintable and related classesthis will fix and implement show tooltip for header columns show tooltip for contents which are too long for table columns add ability to drag and drop specialfield columns ~~ allow storing position of specialfield columns~~ postponed to another pr remove table column for pdf ps which is obsolete remove option show one letter heading for icon columns which is now obsolete changed default order in main table all file based icons file url doi all bibtex field based icons bibtexkey entrytype author title all special field icons ~~ ~~ postponed ~~ think about must be implemented vernünftig matthias entry table fit table horizontally from the minutes~~ postponed final cleanup changelog awesome before i invest much time to fix it jabref developers are we dropping support for the pdf ps column in the main table in this column potential contents of the legacy fields pdf and ps are shown in the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype eg show a column for excel files so it would be possible to show specific columns for pdfs stored in the file field yes support has been dropped for pdf ps fields all over the place we should do this as well for the main table for removing these legacy columnscould someone create a faq entry in htdocs or send me a plain faq on how to mimic that behavior with the special columns very nice pr with this we already have a koppor q the pdf ps column in the main table is missing how can i restore them a as the bibtex fields pdf and ps are migrated to file the table column was obsolete however it is possible to define columns specifically for each file type in the preferences see preferences entry table columns show extra columns show extra mhmm but this gui stuff is quite unnerving wink and we already have issues with the pdf ps columns which no longer seem to work correctly this confirms the need for their removal just rebased from my point of view the current state is good enough to be merged into master
498.0,452,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,revise maintable complete check and rewrite of maintable and related classesthis will fix and implement show tooltip for header columns show tooltip for contents which are too long for table columns add ability to drag and drop specialfield columns ~~ allow storing position of specialfield columns~~ postponed to another pr remove table column for pdf ps which is obsolete remove option show one letter heading for icon columns which is now obsolete changed default order in main table all file based icons file url doi all bibtex field based icons bibtexkey entrytype author title all special field icons ~~ ~~ postponed ~~ think about must be implemented vernünftig matthias entry table fit table horizontally from the minutes~~ postponed final cleanup changelog awesome before i invest much time to fix it jabref developers are we dropping support for the pdf ps column in the main table in this column potential contents of the legacy fields pdf and ps are shown in the legacy tools are already droppedand we already have the abilility to define special columns based on a filetype eg show a column for excel files so it would be possible to show specific columns for pdfs stored in the file field yes support has been dropped for pdf ps fields all over the place we should do this as well for the main table for removing these legacy columnscould someone create a faq entry in htdocs or send me a plain faq on how to mimic that behavior with the special columns very nice pr with this we already have a koppor q the pdf ps column in the main table is missing how can i restore them a as the bibtex fields pdf and ps are migrated to file the table column was obsolete however it is possible to define columns specifically for each file type in the preferences see preferences entry table columns show extra columns show extra mhmm but this gui stuff is quite unnerving wink and we already have issues with the pdf ps columns which no longer seem to work correctly this confirms the need for their removal just rebased from my point of view the current state is good enough to be merged into master
458.0,459,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,use default directory when adding files to an entry see the current implementation is hard to understand i dont get how these three existing folder preferences are used also the method itself should be simplified and return a list after going through the documentation i found it jabref can have a directory per database but what if you and me have different directories do we have to agree to one normally its simply the directory of the bib file meaning is used as database directory but what if the users somehow share a bibliography and use different directories then this feature comes in i can set another directory then you do both settings are serialized in the bib file with as suffix in the jabref meta field if jabref saves a file and my loginname matches the name stored in the bib file it chooses that directory if no match is found it uses the general file directory of the bib file if that is not found it uses the one configured at options preferences external programs main file directory here some text from the documentation and mailing lists but i think the documentation has to be improved sunrise when thinking of it we should offer the users a button use current directory next to general file directory and add a little help text that denotes that or render as then hopefully the user specific file directory can be dropped i dont see any other use case why would i share a bib file and not share the pdfs if i share the pdfs together with the bib file a relative directory can be put in general file directorypossibly the general file directory should be stored _relatively_ from the current directory of the bib file faq then at the field “general file directory” choose the directory specific for the database if you want to set a directory for you only and other users should use the default directory use the field “user specific file directory” file help in the database properties dialog you can set a user specific file directory which will be valid only when you are the one working on the bib file mail from the mailing list by thomasa of revision jabref supports an option to specify a user and host specific file directory in the database properties this allows each user of a particular database to store her his personal path setting in the database it furthermore allows the same user to specify different paths on different computers must have different host names thanks koppor for this detailed clarification i think we might simplify this somehow smile we need a better internal datastructure
470.0,472,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,show author editor and journal publisher in the main table by default implements looks like follows grabbed_ is okunsure if journal publisher is confusing i think booktitle journal would be the right correspondence we should replace the default journal column by booktitle journal and maybe add the publisher column as default columnhow often is inbook used consequently title should become chapter title but that heading is confusing id also vote for journal booktitle as that is what i use dealing primarily with journal and conference papers on the other hand a good thing with this pr is that it indicates that these things are possible and how to do it the journal says where an article is published similarly the publisher iswell the publisher of the book so i would advocate the proposed journal publisher booktitle would probably only make sense for articles in conference proceedings i think articles and books are the most common types so we should focus on them koppor inbook s also have an author and title so there shouldnt be a problem guess it depends on scientific area i would possibly argue that in general a publisher doesnt really add any important information even for books while in the case of conference papers the booktitle is crucial i know that the publisher is important to create a valid reference but it doesnt really add any information when browsing a database in my discipline computer science id see the correspondence as follows bibtex fields inproceedings journal title title author author booktitle journal publisher publisher year year for instance take an elsevier article the publisher is elsevier but the journal is international journal of information management elsevier publishes more than one journali read where something is published as the conference and the concrete journal the conference is stored in booktitle whereas the concrete journal is stored in journal both kinds of works are published by a publisheris it different in your discipline tobiasdiez i do not think tobiasdiez disagrees with that analysis but i got theimpression that he cites more books than conference papers in that case ican probably agree that publisher is the next field to add mainlybecause of lack of others journal booktitle publisher except for the very long heading ok apparently the majority is for booktitle hence i changed it accordingly my reasoning was indeed based on book s for which the publisher is the equivalent of a journal since books occur more often in my database i thought this addition was more valuable for inproceedings the booktitle indeed makes more sense i suppose journal booktitle publisher is too confusing i really agree that the column journal booktitle is empty too often if many books are in the databaseill merge it and lets see what others say sunflower
314.0,491,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,add close all others in database tab menu see changelog is missing otherwise
167.0,500,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,database type detection please see bibdatabasetypedetectionjava for reviewsome refactoring and a class for auto detection of database types algorithm should we introduce a hard coded field like encodings inside the bib file fast enough what about false detection refactoring bibtexdatabase bibdatabase bibtexentry bibentryalso see the refactorings are fine from my point of viewthe detection is based on in memory operations on collections so no need to worry about speed at the momentif i understand the algorithm correctly any database that contains a non biblatex non bibtex type will be categorized as bibtex so a database with one biblatex entry and a customn entry would be detected as bibtex is that really the desired result i would rather ignore all non bibtex non biblatex types for the decision customentry unkownentry ieeetranentry and do the decision solely on valid types with bibtex as the default result lenhard no it should always detect as biblatex if it finds one exclusive entry the algorithm looks good to me i would move the detection class into the logic package instead of model but that is your decisionstrangely the circleci test says there are still compilation errors due to the renamings as far as i can see locally all is fine
495.0,500,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,database type detection please see bibdatabasetypedetectionjava for reviewsome refactoring and a class for auto detection of database types algorithm should we introduce a hard coded field like encodings inside the bib file fast enough what about false detection refactoring bibtexdatabase bibdatabase bibtexentry bibentryalso see the refactorings are fine from my point of viewthe detection is based on in memory operations on collections so no need to worry about speed at the momentif i understand the algorithm correctly any database that contains a non biblatex non bibtex type will be categorized as bibtex so a database with one biblatex entry and a customn entry would be detected as bibtex is that really the desired result i would rather ignore all non bibtex non biblatex types for the decision customentry unkownentry ieeetranentry and do the decision solely on valid types with bibtex as the default result lenhard no it should always detect as biblatex if it finds one exclusive entry the algorithm looks good to me i would move the detection class into the logic package instead of model but that is your decisionstrangely the circleci test says there are still compilation errors due to the renamings as far as i can see locally all is fine
495.0,501,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,prototype for new entrytype interface this is a prototype for an idea to resolve the issues discussed in and right now the entry type is converted from a string representation in the bibtex file to an entrytype by the parser the problem with this approach is that the parser has to know about the bibtex vs biblatex mode the idea was to add an intermediate step string in bibtex file entryclass by parser entrytype by some factory using information from the preferences there is an enum standardentryclass holding all the standard types regardless of bibtex or biblatex so article mvbook etc all are there to support also unknown entry types we have the class nonstandardentryclass so for example parsing article{} results in class standardentryclassarticle while gibberish{} yields class nonstandardentryclass with name gibberish in this way the type information is stored in a relative convenient form better then a string the idea of an enum implementing an interface was taken from the way java handles standard file locations see the oracle blog or another blog the entryclass does not know about required and optional fields these information are provided by the entrytypefactory for example entrytypefactory prefs gettypefor standardentryclassarticle getrequiredfields gives the required fields please ignore all the my prefixes in the class names so what are your opinions on this idea should i start implementing it properly or is there a better way to solve this issue new and simpler solution can be found in pr
116.0,560,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,write all field keys in lower case write all field keys in lower case no more camel casing of field names eg title is written instead of title howpublished instead of howpublished and doi instead of doi the configuration option use camel case for field names eg howpublished instead of howpublished is gonerefs maybe the ui also has to display lower case values or should it use the currently removed camelcase functionality i dont like the current entryutilcapitalizefirst solution found in maintablecolumnjava in my opinion it should use lower case since we are standardizing on that id say you are free to implement what you find more beautiful on lower case
565.0,567,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,implements highlighting matches works now also for regular expr… …essions in preview panel and entry editor
564.0,568,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,fixed cite command changes are immediately reflected in the pus… …h to application actions and not only after restart
116.0,569,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,remove field saving options as decided in all field saving options should be removedthis pr purges the options from the gui and cleans up related reader and formatter classes this simplification greatly reduces the complexity of bibentrywriter
593.0,594,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,solved and cleaned up the oo code a bit hopefully solved try it out at cleaned up the code a bit based on pmd the actual fix is on lines in ooutiljava looks good is it possible that the dependency on unoiljar can be removed unoiljar was in a separate directory before changing the default paths to be the same for unoil and the other jars where jurtjar is the one searched for was the biggest change to get it to work with the most recent versions of oo and lo
545.0,595,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,fixed acm fetcher works again fixed and some pmd cleanup i just tried to check if this is fixed but i am still getting the error javaioioexception cannot parse number of hits at netsfjabrefimporterfetcheracmportalfetchergetnumberofhits acmportalfetcherjava at netsfjabrefimporterfetcheracmportalfetcherprocessquerygetpreview acmportalfetcherjava at netsfjabrefimporterfetchergeneralfetcher$ run generalfetcherjava at javautilconcurrentthreadpoolexecutorrunworker threadpoolexecutorjava at javautilconcurrentthreadpoolexecutor$workerrun threadpoolexecutorjava at javalangthreadrun threadjava the exception is thrown since the matcher seems to find no match maybe getnumberofhits should return zero in this case instead of throwing the exception ahh thats right final fix lets remove all the checking as i have much better regexps now not sure it ill start up eclipse again today but ill take care of it sounds good smile and no need to hurry there are enough other pull requests to review should be good to go now confirmed works for me as well thanks a lot
495.0,605,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,change entrytype to string in bibentry this pr tries to resolve the issues discussed in and right now the entry type is converted from a string representation in the bibtex file to an entrytype by the parser the problem with this approach is that the parser has to know about the bibtex vs biblatex mode the idea was to just store the string in the bibentry and only get the corresponding entrytype whenever it is really necessary oh that change surely was much effort unfortunately i find the old way more fitting even though the bibtex biblatex mode switching was difficult why not using entrytype but only as proxy to the real type dependent on the bibtex biblatex mode i currently dont know the gof pattern name for that see_no_evil all entries should have a non abstract entrytype and there should be abstract bibtexentrytype and biblatexentrytype all of them should implement ientrytype offering hasallrequiredfields etc entrytype and entrytype should not be in a inheritance relation entrytype should proxy to the appropriate bib la textype depending on the mode thanks olly for your feedback let me elaborate a little about why ive chosen to store the entry type as a string the type of the entry is per se a state less information article{} signifies an article in the bib file independent on any preferences in jabref i think it it thus a good idea to also have a state independent representation of the same information in jabref in other words i prefer a system where the type is stored in the bibentry class independent on anything else much like the author field is also stored as a string and not as a authorlist object then in a latter step this data can be enriched by the preference dependent information about optional and required fields this reflects more or less the impression i got from that we came to the conclusion to see the bibentry class only as a data object without any logic now you can think about implementing such a system in java the easiest way and the one i have chosen in this pr is to store the type as a string variable one can also store the type information as an enum as i have suggested in but this feels over engineered especially since there is no code checking whether a entry is an article or a book the second step is to augment this information by optional required fields i have chosen a constructor based approach but maybe your idea about using the proxy pattern is better i have to think about it more regarding string vs authorlist i would have preferred that bibentry uses authorlist possibly calculated on demand and not during creation of the object similar for the files fieldunsure whether im wrong i would pack as much interpreted data in bibentry and get rid of strings as much as possible maybe we then reimplement an in memory relational database system for instance if we store the crossref as reference and not as string what if the referenced entry is deleted and then recreated etc ok as requested here a short summary in bullet list form_status quo_ parser converts the string article to a bibtype class instance and saves this in the entry makes changing from bibtex to biblatex mode hard as the type stored in every entry has to be changed adds additional dependency in the parser bibtypes class the parser has to know whether we are in biblatexmode or in bibtexmode however a priori this information is not necessary to parse a bib file does not store the type information as a string_pr_ parser stores the type information as a plain string in the entry this string will be converted to bibtype class when needed changing from bibtex to biblatex mode is easier since the required optional fields are used only in a few places makes dependencies clearer which class needs to know the bibtype or bibtex biblatex mode parser does not depend on bibtype class and on biblatexmode stores the type information as a string however this is in my opinion no real caveat the previous code also contains something like if entrygettype getname article which is now replaced by if entrygettype article so often the name of the bibtype is used which somehow destroys the advantage _alternative solution_ store type information as an enum in the entry and convert this enum to a bibtype when neededthis approach keeps all the advantages but does not have the stringy problem it feels however a little bit overengineered mainly because there are unknown types which are not covered by a simple enum refs typedbibentry as a wrapper around bibentry typedbibentry has high level api bibentry has low level api typedbibentry bibentry bibentry rawbibentry rebased not sure why there is a merge commit and introduced typedbibentry aka goodeasygodbibentry is this the correct way to implement it todo other pr bibdatabasegetresolvedfield should accept optional database
647.0,648,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,partly implemented added the possibility to copy the preview panel text not exactly what is requested in but probably quite usefulnote that the key binding is not working nor is the print preview key working so ill open an issue for that i would change the changelog entry to just describe the added functionality without refering to the other issue as it suggest another approach in my opinion lgtm please rebase then this can be merged in fixed and rebased
650.0,660,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,add test for parsing accents i tried to replicate the problems of but in the progress realized that the problem lied in the bib file provided there and not in the parser so the added test is rather useless but i figured it does not hurt to have more tests
621.0,677,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,make bibtex parser more robust against missing newlines as described in and the parser has some problems when an entry or preamble follows directly the file encoding header on the same line ie encoding myencoding article{} actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for and since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content except my minor comment corrected for some reason the code style was not imported correctly in intellij hm i just use the default intellij code style tobiasdiez what do you think should be done to fix the above issues completely lenhard in my opinion jabref should add new lines after the encoding and preamble im working on a solution right now including a bit of refactoring to make testing easier tobiasdiez ok good to hear ill concentrate on other issues then
