issueNumber,prNumber,Util,Network,i18n,Test,IO,corpus
1206.0,1272,1.0,0.0,1.0,1.0,1.0,executorscheduler to wrap an executor for issue and this implementation should conform with the scheduler contract except it is not possible to avoid thread hopping dont worry the tasks execute serially but maybe not on the same physical thread few open improvement possibilities usage of mpsclinkedqueue once available a better performing subscription container for this kind of queue drain task tracking instead of compositesubscription ability to remove a subscription from a compositesubscription without it calling unsubscribe on the removed subscription ã¡ la multipleassignmentsubscriptionset thanks akarnokd for this looks good for a first cut the trade offs thread hopping are expected and why we wont use this as a default for anything and agreed on possible improvements but those can come later
1514.0,1559,1.0,0.0,1.0,0.0,1.0,more consistent hooks for scheduler plugins this is a rework of deprecated rxjavadefaultschedulers and rxjavadefaultschedulersdefault i think these names are confusing added rxjavaschedulershook ability to override entire schedulers from scratch ability to decorate action before submission to schedulerthe main change from is the decoration of action instead of runnable action is an improvement as all schedulers must handle these whereas not all schedulers handle runnables reviewed with benjchristensen and merging
158.0,1602,1.0,0.0,0.0,0.0,1.0,make retrywhen the same with the scheduler as the retrywhen without the scheduler came up in
1741.0,1742,1.0,0.0,0.0,1.0,1.0,emptyobserver and testobserver remove emptyobserver as it was confusing compared to observersempty make testobserver not throw onerrornotimplemented if a delegate is not provided fixes
1502.0,1777,1.0,0.0,1.0,1.0,1.0,excluding things from the javadoc for one of the sub issues in exclude rxinternalexclude rxjavaerrorhandlerdefault by deleting it
1772.0,1802,1.0,0.0,1.0,1.0,1.0,add hasobservers method to subjects as per now keeps track of the actual subjectbufferuntilsubscriber synchronizes on the state guard looks good thanks simonbasle
1972.0,1973,1.0,0.0,0.0,1.0,1.0,test issuing non serialized messages to the subject should resolve the test failure of when the main part of the test succeded an oncompleted was sent out from the main thread which was not serialized in respect to the onnext issued from the worker thread therefore two replay was attempted sometimes at first the caughtup was seen false the replay was entered but the next instruction cleared the index causing the illegalstateexception failed in testreplaysubjectemissionsubscriptionrace failed javalangnullpointerexception at rxsubjectsreplaysubject$boundedstatereplayobserverfromindex replaysubjectjava at rxsubjectsreplaysubject$boundedstatereplayobserver replaysubjectjava at rxsubjectsreplaysubjectcaughtup replaysubjectjava at rxsubjectsreplaysubjectoncompleted replaysubjectjava at rxsubjectsreplaysubjectboundedconcurrencytesttestreplaysubjectemissionsubscriptionrace replaysubjectboundedconcurrencytestjava thanks forgot about the other test class
1897.0,2470,1.0,0.0,1.0,0.0,1.0,subject state information methods & bounded replaysubject termination fixthis pr aims to support the requests in and by adding methods to the final subject classes that let developers access in flight state in a snapshot fashion this may be considered safe api change because all subject classes were final already so adding extra methods wont break anyones code and we will be careful with our observable in the future notificationlite is now extended with two missing value checks isnull and isnext each subject has hascompleted hasthrowable and getthrowable methods however i cant add them to subject because that would be an incompatible api change where applicable getvalue and getthrowable return null instead of throwing exceptions so users are encouraged to call hasxxx methods beforehand there was a chaining bug in the bounded replaysubject because the terminal value was added after a potential pruning the node links could get broken and concurrent replays might not have seen the terminal value since replaysubject can have multiple values ive added size hasanyvalue isempty is taken and getvalues methods to make a snapshot of the current buffer contents whether or not the replaysubject has terminated the usual tolist would wait until the subject has terminated the unrelated operatormergetesttestconcurrency hangs for me for some reason without activity either a buffer bug or a merge bug is in play there ive added a timeout so it doesnt stop the other tests im merging this changes are either internal or annotated with experimental on final classes
2331.0,2470,1.0,0.0,1.0,0.0,1.0,subject state information methods & bounded replaysubject termination fixthis pr aims to support the requests in and by adding methods to the final subject classes that let developers access in flight state in a snapshot fashion this may be considered safe api change because all subject classes were final already so adding extra methods wont break anyones code and we will be careful with our observable in the future notificationlite is now extended with two missing value checks isnull and isnext each subject has hascompleted hasthrowable and getthrowable methods however i cant add them to subject because that would be an incompatible api change where applicable getvalue and getthrowable return null instead of throwing exceptions so users are encouraged to call hasxxx methods beforehand there was a chaining bug in the bounded replaysubject because the terminal value was added after a potential pruning the node links could get broken and concurrent replays might not have seen the terminal value since replaysubject can have multiple values ive added size hasanyvalue isempty is taken and getvalues methods to make a snapshot of the current buffer contents whether or not the replaysubject has terminated the usual tolist would wait until the subject has terminated the unrelated operatormergetesttestconcurrency hangs for me for some reason without activity either a buffer bug or a merge bug is in play there ive added a timeout so it doesnt stop the other tests im merging this changes are either internal or annotated with experimental on final classes
1702.0,2471,1.0,0.0,0.0,0.0,1.0,fixes npes reported in reactivex by synchronizing queue also adds a unit test for regressionit appears there is a potential race condition if something adds to removes from the pq while its _inside_ the poll operation which is where the exceptions in seem to have actually come from therefore the initial null check didnt really address the original problem the test here seems to reliably recreate those conditionsi considered using a priorityblockingqueue instead of synchronized but since the isempty and poll calls should not allow something to interleave between them and access the queue a synchronized block seemed wiser here almost good two things since we only use offer poll you can use the unbounded priorityblockingqueue now could you move counter and counter_updater into the innercurrentthreadscheduler class both non static fields we are using atomicfieldupdaters to save on the instance cost of atomicinteger s could you change the counter to use atomiclongfieldupdater done on a related but side note do you know if these field updaters are proguard safe for obfuscation they reflect on field name for sure it might be worth looking into the fix would probably be implementing the abstract setters and getters which would obviously be a bit more boilerplate and kinda less fun but might be worth it if it reduces custom proguard rules required to use rx thanks for the changes looks good to me i dont know about proguard looks like per the proguard manual it does indeed recognize fieldupdater declarations so this should be fine wow i did not expect that how uncharacteristically useful of them good to know for the future the reflection section no anchor link that lists the basic reflection methods it automatically detects
1956.0,2548,1.0,0.0,0.0,1.0,1.0,subscriberrequest should throw exception if negative request made as per discussion in and making a call to subscriberrequest n with negative n should throw an illegalargumentexception includes unit test i think the iae should be mentioned in requests javadoc javadoc added great
2545.0,2548,1.0,0.0,0.0,1.0,1.0,subscriberrequest should throw exception if negative request made as per discussion in and making a call to subscriberrequest n with negative n should throw an illegalargumentexception includes unit test i think the iae should be mentioned in requests javadoc javadoc added great
2544.0,2550,1.0,0.0,0.0,1.0,1.0,subscriberonstart requests should be additive and check for overflow as per discussion in looks good that looks helpful thanks davidmoten
2600.0,2630,1.0,0.0,0.0,0.0,1.0,cast back observer to subscriber if passed to subscribe observer rebased
2604.0,2759,1.0,0.0,0.0,0.0,1.0,observableusing should use unsafesubscribe and enable eager disposal see where it was discovered that observableusing used subscribe instead of unsafesubscribe which provoked a race condition leading to an illegalargumentexception from the merge operatorthis pr uses unsafesubscribe and adds an overload for using to optionally dispose of resources eagerly just before completion or error the use case for this is a _synchronous_ observable where a downstream operation wants to reuse a resource but because the observable is synchronous the resource cannot get disposed till the downstream completes unit tests included thanks akarnokd ive made the change and squashed commits replaced tabs with spaces added experimental annotation to new overload and typo in javadoc squashed commits this seems reasonable to me i dont use using so trust the conversation youve had to address the necessary functionality reading through the other pr this does seem necessary and i agree that unsafesubscribe is appropriate for this
2772.0,2804,1.0,0.0,0.0,0.0,1.0,observeon throughput enhancements squashed commits of further optimizations to observeon using spscarrayqueue directly in observeon instead of ringbuffer to avoid the synchronization block split tracking structure to serial subscriptionlist and timed compositesubscription in eventloopsscheduler which improves the sequential scheduling performance because a completing tasks subscription will be most likely the first item in the underlying linkedlistbenchmark i window x java u x s warmup x s iteration benchmark size x x error this pr this errorobserveon observeon observeon observeon observeon observeon observeon observeon observeon observeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon notes at size the throughput varies in a range on each run and since the changes dont touch the scalar optimization there is no real improvement there at size my system reached either the cache capacity or the os schedulers time resolution so there no improvement there on at size and size the throughput doubles if i introduce some extra delay ie via sleep or some extra work the benchmark generates a lot of garbage due to boxing switching to a constant emitter increases the throughput subscribeon from to since it conflicts with anyway this is pr is to let others verify the optimizations actually work on other oses because on my windows i sometimes get significant variance in the throughput during iterations increased iteration time may be required as well
2773.0,2804,1.0,0.0,0.0,0.0,1.0,observeon throughput enhancements squashed commits of further optimizations to observeon using spscarrayqueue directly in observeon instead of ringbuffer to avoid the synchronization block split tracking structure to serial subscriptionlist and timed compositesubscription in eventloopsscheduler which improves the sequential scheduling performance because a completing tasks subscription will be most likely the first item in the underlying linkedlistbenchmark i window x java u x s warmup x s iteration benchmark size x x error this pr this errorobserveon observeon observeon observeon observeon observeon observeon observeon observeon observeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon subscribeon notes at size the throughput varies in a range on each run and since the changes dont touch the scalar optimization there is no real improvement there at size my system reached either the cache capacity or the os schedulers time resolution so there no improvement there on at size and size the throughput doubles if i introduce some extra delay ie via sleep or some extra work the benchmark generates a lot of garbage due to boxing switching to a constant emitter increases the throughput subscribeon from to since it conflicts with anyway this is pr is to let others verify the optimizations actually work on other oses because on my windows i sometimes get significant variance in the throughput during iterations increased iteration time may be required as well
2458.0,2883,1.0,0.0,1.0,1.0,1.0,proposal standardized subject state peeking methods this pr modifies the subject class to host the union of the state peeking methods of the various subject implementations and fixes the inconsistent behavior of replaysubjectgetvalues t the changes enable the serializedsubject to relay such state peeking method calls into the wrapped subject and allows future subject wrappers to do the same seems to make sense the additions to subject all should be non breaking due to the experimental marking of these im being a little less stringent in discussing the addition to public apis but it seems to me that the precedent set on the behaviorsubject shows the value of these methods additionally subjects are the stateful side effecting types and these methods seem to make sense for them
1483.0,2969,1.0,0.0,0.0,0.0,1.0,operator cache now supports backpressure ive removed the controversial features and made the backing cachedobservable internalrelated issue does it really need to be returning a new type of observable it seems the methods isconnected hasobservers and cachedeventcount are only used by the unit tests yes otherwise one would need ugly reflection magic to get inside the state of this observable i checked out the branch and took a shot at making it an onsubscribe function again cache had originally more functionality ie the ability to terminate it manually like a disconnect but was downwoted i forgot about the tocached methods which are just relics and ill update this protherwise i dont really see why i shouldnt extend observable especially if one day there will be a real need to support disconnection of cache ive rebased it and im going to merge this if there has concern about it being implemented as a observable a pr can always be submitted with the suggested changes
2979.0,2983,1.0,0.0,0.0,0.0,1.0,multiple calls to onstart started investigating multiple calls to onstart based on and found a bunch but since onstart can be overridden i might have missed cases in addition ive found a single place where a producer is set twice on a subscriber but again many other places may exist i know that is easy to complain this decorator strategy is not very memory friendly you have this annoying gwt compatibility perspective atomicxxxfieldupdater in a lot of places to reduce memory usage and you end up adding this decorators to only disable one method callwhat do you think thanks to solve the problem anyway yikes theres a lot of stuffed up backpressure here im hoping we can release soon
3046.0,3048,1.0,0.0,0.0,1.0,1.0,compositeexception extra npe protection compositeexception wont crash if it received null by some means a null collection or null collection item is replaced by a nullpointerexception instancesee also
3128.0,3129,1.0,0.0,0.0,0.0,1.0,fix retry with predicate ignoring backpressure apparently we forgot about this operator the backpressure handling is a trivial case with producerarbiter ive also some apparent code indentation errororiginally reported in with a test case which i didnt include due to its lengthy nature however i did run the test manually and both passed after the fix
3022.0,3149,1.0,0.0,0.0,1.0,1.0,scheduler shutdown capability repost of we still need to decide on the reset vs shutdown distinction is your perspective do you have a strong opinion one way or another with start shutdown there is a clear intention to stop everybody with reset any running code could respawn the threads and the new threads will resume leaking i prefer start shutdown agree it will be great to have ability to stop schedulers and prevent new workers from scheduling for apps that run in servlets and other similar containers which can be stopped externally im happy with the start shutdown pair which seems to support my primary use cases resource release on webapp shutdown in container resource release on completion of programs run by a framework that looked for unreleased threads maven on ad hoc basis ensuring schedulers are not running in the background on entry into a unit test when running a suite thanks akarnokd the start shutdown semantic looks good to me more explicit best enforcement of shutdown and good compatibility with items mentioned by davidmoten which are pretty much our use cases as well ill following this thread to be notified when its merged thanks akarnokd benjchristensen do you consider we have consensus on naming after that itd be showtime because so many customers from us run into this daschl i would like a bit more context on what the goal is for the scheduler shutdown capability davidmoten and any others please respond thanks resource release on webapp shutdown in containerwhat resources exactly need to be freed shutting down the schedulers would prevent new workers from being scheduled and would free up threads from the executor is this the desired behavior or is there some side effect that you are looking for resource release on completion of programs run by a framework that looked for unreleased threads maven could anyone name a framework thats impacted is the concern that open threads keep the framework from properly terminating on ad hoc basis ensuring schedulers are not running in the background on entry into a unit test when running a suite would the testscheduler solve this problem for you this doesnt rely on singleton values and can be used to precisely test scheduling behavior stealthcode i can answer the question i hope it help you could anyone name a framework thats impacted is the concern that open threads keep the framework from properly terminating couchbase java sdkcb sdk are not able to finish some of they own threads because it is referring rxcomputationthreadpool threads who cant be finishedyou can see more details about how this issue are affecting this framework here stealthcode i can give you the answer to your questions tooid like to use rxjava in the container eg id like to use jersey rx client on tomcat unfortunately it is impossible to shutdown _rxcomputationthreadpool _ threads and container has memory leaks that causes that rxjava is inapplicable for my purposes and in my case regarding question yes shutting down all schedulers permanently is a desired behaviour and testscheduler is not a solution so im really looking forward to seeing this pr accepted and released mjakubowski similar case here mjakubowski understood regarding the testscheduler this is meant for use in tests and highly recommended when it comes to a container you would definitely want to use a real scheduler so what i hear is that there is no desire to resume the scheduler once it is shut down my concern is that by offering a schedulerlifecyclestart method we are inviting non deterministic behavior in the case that someone wants to use this to teardown and then resume in integration tests for example would it be acceptable to remove the start method from the public interface and rename shutdown to teardown to more accurately describe the intent i dont have strong opinion between shutdown teardown teardown makes the intent clearer but shutdown is more idiomatic in the context of java executor otherwise the code lgtm another thing if we want to be more java idiomatic maybe hiding the start is the right thing to doit will also have the benefit of avoiding bug by misusage of the library calling start after a shutdown i can make schedulersstart package private so the tests can use it but i the scheduler implementations have to keep their start public please do i believe that would be better done akarnokd stevegury folks do you think its possible to get this into akarnokd thanks i think this is fine do you guys have a plan date to merge it akarnokd i think its appropriate that you merge this pr since you are most familiar with this code if you think you are happy with it then feel free oh sorry didnt recount the number of likes merging where can i get the latest build with this fix maven central is still at chiangh you can clone the project and build it from master good luck rxjava uses bintray for binaries and also publishes snapshots in jfrogs oss artifactory so you can add the following repository to your pomxml xml snapshots libs snapshot that you should be able to depend on rxjava snapshot
3252.0,3286,1.0,0.0,0.0,1.0,1.0,implements blockingsingle adds blockingsingle issue the blocking version of rxsingleblockingsingle has the following methods from single factory method for creating a blockingsingle from a single value returns the value emitted from the single tofuture returns a javautilconcurrentfuture couldnt actually think of any other useful operations to perform on blockingsingle in comparison to blockingobservable theres not much to this class at the moment hmmmgot a test failure that i cant reproduce locally by rxobservablessynconsubscribetest testsubscribeon failed javalangassertionerror expected but was at orgjunitassertfail assertjava at orgjunitassertfailnotequals assertjava at orgjunitassertassertequals assertjava at orgjunitassertassertequals assertjava at orgjunitassertassertequals assertjava at rxobservablessynconsubscribetesttestsubscribeon synconsubscribetestjava this test failure should be resolved now hyleung is this ready to be reviewed merged abersnaze not quite yet there are a couple of things from artem zinnatullins pr that i want to pull in splitting out a separate blockingutils class to hold awaitcomplete for example also im going to rebase it against head of x since its been about a month abersnaze the pr is ready for review btw ill keep the commits separate as i incorporate the feedback and squash it down at the end maybe move blockingsingle from rxobservables to rxsingles artem zinnatullin re rxsingles that would be a new package then dont have a particular option either way tbh anybody else ah i see what youre getting atmoved to rxsingles which other operators are you thinking of adding to single btw lgtm just a few nits left im ready to merge this as long as we can add the necessary experimental annotations and rebase onto x stealthcode done thanks for contributing
