pr;Util;NLP;APM;Network;DB;Interpreter;Error Handling;Logging;Lang;Data Structure;DevOps;i18n;Setup;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;Big Data;Event Handling;App;GIS;Title;Body;prIssue;issue;issueTitle;issueBody;issueComments;issueTitleLink;issueBodyLink;issueCommentsLink;isPR;isTrain;commitMessage;Comments
46;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;add lineitem table for testing;;;0;add lineitem table for testing;;;;;;1;1;add lineitem table for testing;
50;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;additions to testqueries and other minor fixes;;;0;additions to testqueries and other minor fixes;;;;;;1;1;update average aggregation to operate on and produce doubles;
53;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;binary and comparison operators  tests and bug fixes;initial take on binary and comparison operators. for now  they can only operate on specific types. we need to figure out how to generalize them later.;;0;binary and comparison operators tests and bug fixes;initial take on binary and comparison operators for now they can only operate on specific types we need to figure out how to generalize them later;;;;;1;1;rename datascan2 and 3;
55;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;update cursor api comments;;;0;update cursor api comments;;;;;;1;1;update cursor comments;
56;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;add isvalid method cursor;;;0;add isvalid method cursor;;;;;;1;1;add isvalid method cursor;
57;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;implement and operator;;;0;implement and operator;; applied comments from 2bf86a85dc67004e2b35c77602c40b2705105cde and rebased ||;;;;1;1;and operator;
60;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;implement or operator + other minor fixes;;;0;implement or operator + other minor fixes;;;;;;1;1;implement or operator;
61;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;cleanup and consolidate cursor test code;;;0;cleanup and consolidate cursor test code;;;;;;1;1;cleanup and consolidate cursor test code;
65;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;early benchmark framework;- benchmarks will need to extend abstractbenchmark class - this version hardcodes dropping data as csv and jmeter output files - jmeter *.jtl files can be picked up by jenkins performance plugin for build perf history - csv files will be used to submit data with post processing command to ods  all of the benchmarks can be run with: mvn clean install exec:java;;0;early benchmark framework;- benchmarks will need to extend abstractbenchmark class- this version hardcodes dropping data as csv and jmeter output files- jmeter *jtl files can be picked up by jenkins performance plugin for build perf history- csv files will be used to submit data with post processing command to odsall of the benchmarks can be run with:mvn clean install exec:java;open to suggestions on this i still need to convert the existing benchmarks into this format and we need to define a dataset that will be used (will need to be uploaded to build server) || this should be good to go now i added a workaround for getting in the benchmark tpch jar file via system property until intellij can fix their stuff || ;;;;1;1;address review comments in pull #65;
66;1;0;0;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1;1;0;1;1;add sql parser;;;0;add sql parser;;;;;;1;1;add sql parser;
67;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;add joins to ast;;;0;add joins to ast;;;;;;1;1;add joins to ast;
68;1;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;add basic support for distributed tuple streams;;;0;add basic support for distributed tuple streams;;;;;;1;1;address feedback from review #68;
69;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;ast visitor framework and basic semantic analysis;;;0;ast visitor framework and basic semantic analysis;;;;;;1;1;make visitor methods in ast printer protected;
70;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;add all columns to test data set;;;0;add all columns to test data set;;;;;;1;1;add all columns to test data set;
71;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;yield support;;;0;yield support;;;;;;1;1;remove unused aggregationfunctionaddcurrentposition() method;
72;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0; where aggregations advance past end position and add tests;;;0; where aggregations advance past end position and add tests;;looks good except that this will conflict with my pull request || stop whining :p ||;;;;1;1; where aggregations advance past end position and add tests;
75;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;setup multi-module project structure;;;0;setup multi-module project structure;;;;;;1;1;setup multi-module project structure;
76;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;create dedicated ods output file generator to improve ods export speed & add benchmark warmups;- also adjust the iterations for the benchmarks to run a little faster;;0;create dedicated ods output file generator to improve ods export speed & add benchmark warmups;- also adjust the iterations for the benchmarks to run a little faster;;;;;1;1;create dedicated ods output file generator to improve ods export speed & add benchmark warmups- also adjust the iterations for the benchmarks to run a little faster;
77;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;add basic presto tuplestream operators that will be needed for imports or just generally useful;- add delimitedtuplestream - add materializingtuplestream - migrate all cursors to calling: cursors.checkreadableposition(this) to validate read access availability;;0;add basic presto tuplestream operators that will be needed for imports or just generally useful;- add delimitedtuplestream- add materializingtuplestream- migrate all cursors to calling: cursorscheckreadableposition(this) to validate read access availability; ship it ||;;;;1;1;fix bug in blockbuilder;
81;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;0;1;0;refactor metadata interfaces;;;0;refactor metadata interfaces;;;;;;1;1;refactor metadata interfaces;
82;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;hive importer + bug fixes + performance optimizations;still a little rough around the edges  but does what we need for the demo.;;0;hive importer + bug fixes + performance optimizations;still a little rough around the edges but does what we need for the demo;other than the comments above ;;;;1;1;fix review comments in #82;
86;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;0;integrate metadata with hiveimportmanager;;;0;integrate metadata with hiveimportmanager;;;;;;1;1;integrate metadata with hiveimportmanager;
89;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;add basic interactive console;;;0;add basic interactive console;;;;;;1;1;add basic interactive console;
90;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;add table and column handles;;;0;add table and column handles;;;;;;1;1;add handles for native tables;
93;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;limit and topn operator;;;0;limit and topn operator;;;;;;1;1;fix review comments for pull #93;
94;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;actually use a filter in query benchmark;;;0;actually use a filter in query benchmark;;;;;;1;1;actually use a filter in query benchmark;
"95;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;add support for selecting with qualified wildcard from anonymous columns;queries of this form are now resolved correctly:      sql select t.* from (     select a + b     from u ) t      note that the expression  a + b  doesn t have an alias;;0;add support for selecting with qualified wildcard from anonymous columns;""queries of this form are now resolved correctly:``` sqlselect t*from (    select a + b    from u) t```note that the expression """"a + b"""" doesnt have an alias"";;;;;1;1;""add support for selecting with qualified wildcard from anonymous columnsqueries of this form are now supported:select t*from (    select a + b    from u) tnote that the expression """"a + b"""" doesnt have an alias"";"
97;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;add support for limit;;;0;add support for limit;;;;;;1;1;add support for limit;
98;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;topn benchmark;;;0;topn benchmark;;;;;;1;1;topn benchmark;
99;1;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;speed improvements;;;0;speed improvements;;;;;;1;1;minor performance improvement for aggregationoperator;
100;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;add in memory order by operator;this is a very ghetto in memory implementation of order by that materializes all tuples and sorts them. this should be good for what we need at this point in time.;;0;add in memory order by operator;this is a very ghetto in memory implementation of order by that materializes all tuples and sorts them this should be good for what we need at this point in time;;;;;1;1;in memory orderby operator;
103;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;fix perf regression;;;0;fix perf regression;;;;;;1;1;dont insert final projection if final output matches underlying operators outputfix perf regression from 7cf6562f81b887c708add96711137ee3c1ee0395;
106;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;null support;add isnull(field) to tuplereadable null is stored in a bit vector at the head of the tuple aggregates (except) count skip null values;;0;null support;add isnull(field) to tuplereadablenull is stored in a bit vector at the head of the tupleaggregates (except) count skip null values;;;;;1;1;changes for review #106;
107;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;merge columnscan and align plan nodes into a single logical tablescan node;;;0;merge columnscan and align plan nodes into a single logical tablescan node;;otherwise ;;;;1;1;merge columnscan and align into a single logical tablescan node;
108;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;add sum(double) benchmark;;;0;add sum(double) benchmark;;;;;;1;1;add sum(double) benchmark;
109;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;1;0;1;1;tuple info in operator;;;0;tuple info in operator;;;;;;1;1;add tuple info to operator blockiterable blockencoding and so on;
110;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;add distributed data imports;;;0;add distributed data imports;;good enough for me ||;;;;1;1;changes for review #110;
112;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;intermediate aggregates;;;0;intermediate aggregates;;;;;;1;1;add partial aggregation support;
113;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;update to spi package and fix imports;;;0;update to spi package and fix imports;;;;;;1;1;fix imports to use correct classes;
114;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;1;0;add handles + jackson serialization formats;;;0;add handles + jackson serialization formats;;;;;;1;1;split handles;
115;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;add vectorized aggregationoperator;;;0;add vectorized aggregationoperator;;;;;;1;1;add vectorized aggregationoperator;
117;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;add managers for metastore and datastreamproviders;- also make some needed  augmentations to metastore interface;;0;add managers for metastore and datastreamproviders;- also make some needed  augmentations to metastore interface;i will fix the remaining comments that touch a lot of files in another pull request || ;;;;1;1;more review comments for pull #117;
"118;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;aggregation function improvements;- add intermediate types to aggregation functioninfo (in preparation for distributed plan creation) - rename fullaggregationfunction to aggregationfunction -- the  public  aggregation class  - rename aggregationfunction to aggregationfunctionstep -- an aggregation function specialized on one of the execution steps (single-node  combine  intermediate  final) - mechanism for instantiating aggregation functions bound to inputs in physical plan. this is so that we can get rid of the hard-coded if-then-else checks in executionplanner  also  fix source of potential bugs in page.;;0;aggregation function improvements;""- add intermediate types to aggregation functioninfo (in preparation for distributed plan creation)- rename fullaggregationfunction to aggregationfunction -- the """"public"""" aggregation class - rename aggregationfunction to aggregationfunctionstep -- an aggregation function specialized on one of the execution steps (single-node combine intermediate final)- mechanism for instantiating aggregation functions bound to inputs in physical plan this is so that we can get rid of the hard-coded if-then-else checks in executionplanneralso fix source of potential bugs in page"";;;;;1;1;rename fullaggregationfunction and aggregationfunction;"
119;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;add splitmanager;;;0;add splitmanager;;;;;;1;1;add splitmanager;
123;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;0;1;0;don t contact metastore when reading data;;;0;dont contact metastore when reading data;;;;;;1;1;dont contact metastore when reading data;
124;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;1;0;use discovery instead of hard coded hiveclient;;;0;use discovery instead of hard coded hiveclient;;other than those extra copies generated this looks good enough for now ||;;;;1;1;inject importclientfactory instead of importclient;
126;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;migrate tpch test data system to be compliant with metadata and datastreamprovider;- this affects the benchmark code as well as the testqueries. - there is currently a temporary hack with the legacystoragemanager to allow it to interface with the executionplanner  but all those hacks should be removed once executionplanner switches to using datastreamproviders.;;0;migrate tpch test data system to be compliant with metadata and datastreamprovider;- this affects the benchmark code as well as the testqueries- there is currently a temporary hack with the legacystoragemanager to allow it to interface with the executionplanner but all those hacks should be removed once executionplanner switches to using datastreamproviders;did you run the benchmarks and verify that this doesnt effect the performance? || yup i did run the benchmarks and all the values seem to be in the appropriate ballparks this was on my local machinebtw updated revision based on comments || i was hoping that you could unify the tpchdataprovider and friends with the storagemanager and metadata interfaces but this is good enough for now merge it ||;;;;1;1;migrate tpch test data system to metadata and datastreamprovider paradigms;
127;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;replace slot/slotreference with sql-parseable symbol;also  other minor changes in preparation for distributed planning and execution;;0;replace slot/slotreference with sql-parseable symbol;also other minor changes in preparation for distributed planning and execution;;;;;1;1;replace slot with symbol and remove slotreferencesymbols are parseable sql identifiers so they can be used to serialize and deserialize rewritten expressions;
128;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;schedule improvements;;;0;schedule improvements;;;;;;1;1;wait for a query phase to start before starting the next phase;
131;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;distributed sql execution and other fixes;;;0;distributed sql execution and other fixes;;;;;;1;1;address review feedback #131;
132;1;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;initial feedback implementation;;;0;initial feedback implementation;;;;;;1;1;initial feedback implementation;
133;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;fix npe when printing null columns;;;0;fix npe when printing null columns;;;;;;1;1;fix npe when printing null columns;
134;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;minor feedback fixes;;;0;minor feedback fixes;;;;;;1;1;fix feedback state bug and remove sleep statement;
136;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;add more feedback data;;;0;add more feedback data;;looks good those minor issue can be  later ||;;;;1;1;add more feedback data;
137;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;fix  timeout and reliability issues;;;0;fix  timeout and reliability issues;;;;;;1;1;fix  timeout and reliability issues;
138;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;fix bug in reporting of running tasks;;;0;fix bug in reporting of running tasks;;;;;;1;1;fix bug in reporting of running tasks;
142;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;join logical planning and other fixes;;;0;join logical planning and other fixes;;;;;;1;1;graphviz printer for distributed plans;
143;1;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;add basic support for join  using;;;0;add basic support for join  using;;;;;;1;1;add basic support for join  using;
144;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;refactor columnprinter into outputprocessor;;;0;refactor columnprinter into outputprocessor;;good to go ||;;;;1;1;refactor columnprinter into outputprocessor;
145;1;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;new hash and sort;;;0;new hash and sort;;;;;;1;1;cleanup blockshash blocksindex pagesindexrename blockshash and blocksindex to channelhash and channelindexdocument datastructuresextract synthetic address code into shared utility;
146;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;single-node join plans  test and benchmark;;;0;single-node join plans test and benchmark;;push it ||;;;;1;1;add join sql benchmark;
148;1;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;devirtualize benchmark innerloop;;;0;devirtualize benchmark innerloop;;;;;;1;1;devirtualize benchmark innerloop;
149;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;add aligned output;;;0;add aligned output;;looks good but fix the field names issue before pushing ||;;;;1;1;extract statusprinter;
"150;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;move uses of  session  up the analysis stack;split session out of sessionmetadata and make all the components in the planning stack depend on metadata except for the analyzer.;;0;""move uses of """"session"""" up the analysis stack"";split session out of sessionmetadata and make all the components in the planning stack depend on metadata except for the analyzer;;;;;1;1;""move uses of """"session"""" up the analysis stacksplit session out of sessionmetadata and make all the components in the planning stack depend on metadata except for the analyzer"";"
154;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;log errors reported to the querystate object;;;0;log errors reported to the querystate object;;;;;;1;1;log errors reported to the querystate object;
155;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;inject httpclients;;;0;inject httpclients;;;;;;1;1;inject httpclients;
156;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;add debug flag to console;;;0;add debug flag to console;;;;;;1;1;add debug flag to console;
161;1;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;fix bug in group by column with output alias;;;0;fix bug in group by column with output alias;;;;;;1;1;fix bug in group by column with output alias;
163;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;fix bug in count aggregation from inline view;this query now works:  select count(*) from (select  ) x;;0;fix bug in count aggregation from inline view;this query now works:select count(*) from (select  ) x;;;;;1;1;fix bug in count aggregation from inline viewthis query now works:select count(*) from (select  ) x;
164;1;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;allow hash aggregation with no aggregation functions;;;0;allow hash aggregation with no aggregation functions;;;;;;1;1;allow hash aggregation with no aggregation functions;
165;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;add internal table support;;;0;add internal table support;;we should talk about the approach for exposing this kind of metadata in a generalized way im not convinced that adding tons of specialized methods to metadata is the right way but i need to think about it moreits good enough for now so ship it! ||;;;;1;1;add basic show tables;
167;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;schedule internal splits on current node;;;0;schedule internal splits on current node;;;;;;1;1;schedule internal splits on current node;
168;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;implement group by w/o aggregations;;;0;implement group by w/o aggregations;;;;;;1;1;add support for group by without aggregations;
169;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;implement order by;;;0;implement order by;;;;;;1;1;implement order by;
171;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;fixed bug when building sort execution plan;;;0; bug when building sort execution plan;;;;;;1;1; bug when building sort execution plan;
"172;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;cleanup and organize;;;0;cleanup and organize;;;;;;1;1;""remove leading """"sql:"""" from queries"";"
174;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;console improvements;;;0;console improvements;; ;;;;1;1;pipe query output to less;
175;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;implement partition pruning for hive tables;these changes depend on  https://github.com/facebook/presto-hive/pull/10;;0;implement partition pruning for hive tables;these changes depend on  https://githubcom/facebook/presto-hive/pull/10;;;;;1;1;partition pruning for hive tables;
176;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;fix bug when partition key does not appear in predicate;;;0;fix bug when partition key does not appear in predicate;;;;;;1;1;fix bug when partition key does not appear in predicate;
"177;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;add dual table;;;0;add dual table;;""looks good for me now add optional the optional from clause! || do we need a dual table if we are going to have optional """"from"""" clause? || we thought we could use the dual table to implement that at least for now it might be nice to have it anyway for compatibility with oracle and mysql (they have a limited one for compatibility with oracle) || "";;;;1;1;add dual table;"
178;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;add system tables and add internal tables to metadata;;;0;add system tables and add internal tables to metadata;;;;;;1;1;add structure for system tables;
179;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;don t add special commands to history;;;0;dont add special commands to history;;;;;;1;1;dont add special commands to history;
181;1;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;implement distinct;;;0;implement distinct;;;;;;1;1;implement distinct;
