issueNumber,prNumber,Util,NLP,APM,Network,DB,Interpreter,Error Handling,Logging,Lang,Data Structure,DevOps,i18n,Setup,Logic,Microservices,ML,Test,Search,IO,UI,Parser,Security,Cloud,Big Data,Event Handling,App,GIS,Multimedia,CG,corpus
1174,1219,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,add additional checks for macro output directory this bug still available in case  using old settings file or manual set it into settings fileresolves      i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements i tested this on w  with audacity win alpha cef bitthis is a branch build  clear audacity settings folder  launch   directories preferences  set the macro output directory to be c  exit audacity  launch   branch alpha with the fix  tools macros  choose the shipped mp  conversion macro  apply macro to  files  choose any audio file for processing  observe  audacity does not crash but displays the following error message when it reaches the export step in the macro a black box test perspective i think this can be pulled in master for
1183,1265,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,fix recording starting position refs   resolves      i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1268,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,move privacy policy url to a different tab to improve its visibility resolves      i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1243,1297,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,fix bug   resolves      i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvementswindows with error information for temporary directory cases  https  user imagesentcom    d cc eb a b e b ec e png we usually aim to have a help button on error dialogs to take you to the manual for more information       we usually aim to have a help button on error dialogs to take you to the manual for more informationwe have a link in this dialog to audacity manual that followed to directory preferences description or you means button used usual for this purpose link to manual not a link seems i understand what you means i will add a changes an example i like the new use of the html window in an error dialog as it gives easy option of hyperlink cut and paste ability and wrapping that does not depend on the translatorsnotice that peters example also has an informative title for the dialog   i like the new use of the html window in an error dialog as it gives easy option of hyperlinkunfortunately the hyperlink wont be accessible to keyboard users the error dialog is changed to
1298,1300,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,sequence of audioio and networkmanager shutdowns fixes crash at exit resolves   stack trace showed main thread was shutting down network manager which was waiting to join a response thread which was executing the lambda in updatemanager which was using the global audioio object   which was destroyed before that at least on the main threadthis is a simple fix  destroy audioio after that not before  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1305,1306,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,fixes writability check for the macro output directory the check for macro directory now only happens if directory is selected and existsresolves    short description of the changes and the motivation to make the changes     i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1312,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,fix dangling pointers to project from lyricswindowcpp resolves   the bug is difficult to reproduce but this is a plausible fix for it given what we know from a stack trace  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1294,1314,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,fix scriptables commands which broke at  b  problem was the loss of an override of pluginmanager getid for a morespecific pointer typeresolves    short description of the changes and the motivation to make the changes   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements  stevedaulton please review and approve if it fixes the bug you may need a clean pluginregistrycfg to verify it works for me
1162,1322,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,extract lib exceptions  toolkit neutral library for audacitys exception handling system  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1199,1323,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,install updates resolves      i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements squash these commits into one then address my recent suggestions for checking that you re enable update checking on all possible failure pathsthat is all the change i will request
1060,1328,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,extract lib preferences resolves   a library of classes that manage global variable settings that persist between runs of the application  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1329,1344,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,shift drag of clips between tracks was never allowed up to   and in   started crashing instead just disallow it again nofunctionality lostresolves    i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1159,1345,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,extract lib math resolves   depends on pr   extract a tool kit neutral library for some mathematical and sample processing utilities make only the library directly dependent on libsoxrnote that only the last five commits are proper to this pr  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1160,1359,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,extract lib files resolves   a library for general file handling utilities and definitions of certain significant file paths which does not depend on wxcore though it does still depend heavily on wxbase  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1376,1377,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,stereo track affordance resolves      i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements your approach is founded on a memory of the origin of a channel as aligned or not rather than computing it as neededi would prefer that you compute alignment as neededdefining the condition will take some work you must sort clips of each channel becauase they are not necessarily in sorted order and they you must iterate corresponding clips comparing start and end times probably with a tolerance  let times differ by    rate this is extra work and extra calculation but i believe the calculation will be small in practice because clips will be fewthe advantage is greater confidence that there are not surprising corner cases where things will not work as expectedfor instance  i just made a mono track duplicated it then made a stereo track from them the affordance of the right channel did not disappear as expected in your branch it would under this other approachthere are also other commands like swap stereo tracks this did not produce the expected result it would if aligned ness is computed instead of stored   your approach is founded on a memory of the origin of a channel as aligned or not rather than computing it as needed    i would prefer that you compute alignment as needed    defining the condition will take some work you must sort clips of each channel becauase they are not necessarily in sorted order and they you must iterate corresponding clips comparing start and end times probably with a tolerance  let times differ by    rate     this is extra work and extra calculation but i believe the calculation will be small in practice because clips will be few    the advantage is greater confidence that there are not surprising corner cases where things will not work as expected    for instance  i just made a mono track duplicated it then made a stereo track from them the affordance of the right channel did not disappear as expected in your branch it would under this other approach    there are also other commands like swap stereo tracks this did not produce the expected result it would if aligned ness is computed instead of storedi dont agree with that ive considered that possibility but the problem is that matching clips isnt enough the result should be cached anyway moreover the first case isnt valid this behaviour was requested the second case should be also i see a problem with definition of matching clips  it will probably change in the nearest feature   i dont agree with that ive considered that possibility but the problem is that matching clips isnt enough the result should be cached anyway moreover the first case isnt valid this behaviour was requested the second case should be fixed also i see a problem with definition of matching clips  it will probably change in the nearest featureif matching clips is not enough what is your more precise description of the criterion you are guessing it will probably change but that is speculation even if it does change defining it in one place in a test seems to me to be the less fragile approach more lines of code to implement the complicated test but fewer places in the code will need changes to guarantee the consistency of the cache with changes of the trackcaches are useful but problematic when there are many things that could happen to invalidate them   if matching clips is not enough what is your more precise description of the criterionit is described here the check you propose is actually answers the question we dont need to answer are clips aligned or not from the description of the task i understand that the sequence of track transformation determines whether the track should be considered aligned or not consider case when user have stereo track with misalligned clips then user makes them aligned by dragging should we consider track aligned now if yes then affordance should disappear if no then user can split stereo track and merge it back to get completely another appearance this was my question for designers and as i understand the currently implemented behaviour is exactly what was requested except second scenario youve provided     if matching clips is not enough what is your more precise description of the criterion    it is described here   the check you propose is actually answers the question we dont need to answer are clips aligned or not from the description of the task i understand that the sequence of track transformation determines whether the track should be considered aligned or not consider case when user have stereo track with misalligned clips then user makes them aligned by dragging should we consider track aligned now if yes then affordance should disappear if no then user can split stereo track and merge it back to get completely another appearance this was my question for designers and as i understand the currently implemented behaviour is exactly what was requested except second scenario youve provided you are right that you tried to implement literally what is now in the text box in the first picture at that issuereally i think that specification should be disputed and corrected so lets raise this at the next design reviewi believe that if mono tracks have aligned clips according to the numerical criteria then they should merge into a stereo track without the second affordance area the branch needs a rebase and force push and conflict resolution
1403,1416,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,experimental qa journalling basics resolves   beginnings of built in tools for easy creation of automated functional regression tests in alpha builds onlycertain events can be recorded to journaltxt in the folder with audacitycfg if this has been enabled in the tools menu and then played back if that file is specified with the  j command line optionso far only menu items that require no dialogs or their shortcut keystroke equivalents or certain toolbar buttons that invoke those commands can be played back some simple sessions   such as just exiting the program   can replayaudacity returns a non zero status to the shell if journal playback fails because the programs state is out of sync with what the journal file expects no examples yet of how to force that failure   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements thanks for the approvalyou noticed then how the journal language is definedthose details may be up for change but its enough for the minimal version
1163,1429,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,extract lib registries resolves   library of useful utilities for decoupling of sub systems and making them open ended   the big o of solidbeware here be dragons much use of c  templates  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1363,1437,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,fix update on uihandle change within cell resolves      i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements excellent detective workmy only small objection is that i would make the new move constructors non inline myself not important enough to block this
1421,1441,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,fix event types used in prefslistener singalling which broke at a f dresolves    resolves   events were failing to be processed because event types were set incorrectly  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements   is for good
1369,1441,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,fix event types used in prefslistener singalling which broke at a f dresolves    resolves   events were failing to be processed because event types were set incorrectly  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements   is for good
1375,1475,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,stereo wave track channel resizing resolves    resizing area added to the wavetrackview and wavetrackaffordancecontrol making possible to have an enlarged resizing area with  px distance between channels   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1158,1478,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,extract lib xml resolves   extract a library for serialization and deserialization of objects in xml form and a registry for serializable objectsattached directly to the project  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1404,1482,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,experimental dialog journalling resolves   the journalling system is now enhanced enough that it can replay some interactions with modal dialogs including pushbuttons choice controls text boxes and sliders   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements const correctness is the wrong word   im not cheating with c style casts or const castunnecessarily non const arguments is what you mean for some predicates fair point
1496,1495,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,rewrite dither resolves   rewrite dithercpp more clearly with c  functions not macrosjust a preliminary to a preliminary to some audioio cleanup   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements could this have a negative impact on performance dither is one place that speed is important currently there is virtually no difference in time taken to export a long track with dither or without dither tested on linux   could this have a negative impact on performance dither is one place that speed is important currently there is virtually no difference in time taken to export a long track with dither or without dither tested on linux i invite you to experimentall relevant functions are declared inline and compilers can be pretty smart     could this have a negative impact on performance dither is one place that speed is important currently there is virtually no difference in time taken to export a long track with dither or without dither tested on linux     i invite you to experiment    all relevant functions are declared inline and compilers can be pretty smarti rewrote all of my branch with only static inline functions and no pointer to member functions
1501,1502,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,fix     resolves   resolves     i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1476,1502,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,fix     resolves   resolves     i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1477,1502,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,fix     resolves   resolves     i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1144,1527,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,extract lib audio devices resolves   extract a library of utilities for querying the available audio devices finding their preferred sample rates holding certain related global preferences variables and also the interface class meter for transferring buffers of samples for purposes of display updatesthis does not contain the complete playback and recording audio engine when wavetrack is a library it will need only this part to set default sample rates of wave tracks appropriatelydoing this separation now is also desirable as a prelude to other refactorings of the audio engine  i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1182,1533,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,clip names resolves        i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements please see  nomenclature for default clip names could be improved as audio clip   all is well in the last commit just rebase nothing yet the i n changes are good i suggest better comments about the logic of the binary search but there is a possible crash bug in split cut of tracks which was introduced in a later force push i think you write rightclip where you meant leftclipfix that and the comments test split cut edit   remove special   split cut rebase and force push and i will approve
1153,1586,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,extract lib project resolves    platform neutral library defining the audacityproject object and associated projectstatus which just holds some strings there is also some fixing of some possible null pointer dereferences of the global active project   which might be null on macos   i signed  cla  i made sure the code compiles on my machine  i made sure there are no unnecessary changes in the code  i made sure the title of the pr reflects the core meaning of the issue you are solving  i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
