prNumber,APM,Logi,UI,Network,Lang,Multi Thread,Multimedia,Interpreter,Error Handling,IO,Logging,Data Structure,CG,Setup,Logic,Util,Untility,GIS,App,i18n,Parser,DB,Event Handling,prTitle,prBody,prIssue,issueNumber,issueTitle,issueBody,prComments,issueTitleLink,issueBodyLink,issue_Comments,isPR,isTrain,commitMessage,prCodeReviewComments,NLP,DevOps,Microservices,ML,Test,Search,Security,Cloud,Big Data
1527,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,extract lib audio devices,resolves: #1144  extract a library of utilities for querying the available audio devices  finding their preferred sample rates  holding certain related global preferences variables  and also the interface class meter for transferring buffers of samples for purposes of display updates.  this does not contain the complete playback and recording audio engine.  when wavetrack is a library  it will need only this part to set default sample rates of wave tracks appropriately.  doing this separation now is also desirable as a prelude to other refactorings of the audio engine.  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1144,extract lib audio devices,"resolves: #1144extract a library of utilities for querying the available audio devices finding their preferred sample rates holding certain related global preferences variables and also the interface class meter for transferring buffers of samples for purposes of display updatesthis does not contain the complete playback and recording audio engine  when wavetrack is a library it will need only this part to set default sample rates of wave tracks appropriatelydoing this separation now is also desirable as a prelude to other refactorings of the audio engine-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,extract lib-audio-devices,-  #1060 -  #1144,,1,0,new library for audio devices,,0,0,0,0,0,0,0,0,0
1533,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,clip names,resolves: #1182 #1324  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1182,clip names,"resolves: #1182 #1324<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""","please see:  nomenclature for default clip names could be improved as ""audio clip"" #1535 || all is well in the last commit || just rebase nothing  yet || the i18n changes are good i suggest better comments about the logic of the binary search but there is a possible crash bug in split-cut of tracks which was introduced in a later force-push  i think you write rightclip where you meant leftclipfix that and the comments test split-cut (edit > remove special > split cut) rebase and force-push and i will approve || ",clip names,"### user storyas a user of audacity i would like to have individual clip names and be able to rename clips### descriptioncurrently there is no concept of clip names in audacity only track names individual clip names are very useful when organising a project or separating between copies or takes the new affordance design has a space for clip names top rightthe design at  describes how to rename clips as a user**generated/default  clip names**when recording to a track the auto-generated clip name should be derived from the track name by default: trackname#xx where #xx is the number of the recording/take this can be changed to anything afterwardswhen importing an audio file to a track the clip name should be the file name this can be changed to anything afterwards### rules for auto-naming split/joined clips and copiessuggested rules for auto-clips naming:- new clip recording: ""{track_name} #{take_number} {channel}""- merge clips: ""{first_clip_name}""- split: ""{clip_name} {index}""- import: ""{track_name}""- copy: ""{original_clip_name} copy {number}""- copy/paste selection(part of a clip): ""{original_clip_name} samples [range]""  suggested scheme may produce results like: ""clip 1 1"" ""clip 1 2"" ""clip 2"" when splitting ""clip"" into ""clip 1"" and ""clip 2"" and then splitting ""clip 1"" into ""clip 1 1"" and ""clip 1 2"" similar would happen with copy-pasting a clip or its parts is it ok or is there some better scheme for such cases?   ### additions - basic rtl appearance","est: 16hrs || suggested rules for auto-clips naming:- new clip recording: ""{track_name} #{take_number} {channel}""- merge clips: ""{first_clip_name}""- split: ""{clip_name} {index}""- import: ""{track_name}""- copy: ""{original_clip_name} copy {number}""- copy/paste selection(part of a clip): ""{original_clip_name} samples [range]"" @jounih suggested scheme may produce results like: ""clip 1 1"" ""clip 1 2"" ""clip 2"" when splitting ""clip"" into ""clip 1"" and ""clip 2"" and then splitting ""clip 1"" into ""clip 1 1"" and ""clip 1 2"" similar would happen with copy-pasting a clip or its parts is it ok or there some better scheme for such cases?  || see also discussion #1499 >thought-piece: labels for merged clips #1499 || ",1,0,fix clips edge drawing,,0,0,0,0,0,0,0,0,0
1586,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,extract lib project,resolves: #1153   platform neutral library defining the audacityproject object and associated projectstatus (which just holds some strings)  there is also some fixing of some possible null pointer dereferences of the global active project -- which might be null on macos.  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1153,extract lib project,"resolves: #1153 platform neutral library defining the audacityproject object and associated projectstatus (which just holds some strings)there is also some fixing of some possible null pointer dereferences of the global active project -- which might be null on macos<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,extract lib-project,-  #1163 -  #1153,,1,0,new library for project,,0,0,0,0,0,0,0,0,0
1587,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,extract lib screen geometry,resolves: #1152   depends on pr #1586  extract a toolkit-neutral library for mapping of screen x coordinates to times  and y coordinates to amplitudes or frequencies  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1152,extract lib screen geometry,"resolves: #1152 depends on pr #1586extract a toolkit-neutral library for mapping of screen x coordinates to times and y coordinates to amplitudes or frequencies<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,extract lib-screen-geometry,-  #1060-  #1153-  #1158-  #1152,,1,0,new library for screen geometry,,0,0,0,0,0,0,0,0,0
1588,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,extract lib project rate,resolves: #1143  depends on: #1587  a library holding the global preferences for project rate and sample format  and defining the per-project holding sample rate.  it depend on lib-audio-devices to decide the default rate.  when wave tracks are separated into a library  that will depend on this for construction of tracks  but will avoid dependency on all of audioio.  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1143,extract lib project rate,"resolves: #1143 depends on: #1587a library holding the global preferences for project rate and sample format and defining the per-project holding sample rate  it depend on lib-audio-devices to decide the default ratewhen wave tracks are separated into a library that will depend on this for construction of tracks but will avoid dependency on all of audioio<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,extract lib-project-rate,-  #1159 -  #1153 -  #1158 -  #1144-  remaining,,1,0,new library for project rate,,0,0,0,0,0,0,0,0,0
1594,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,some audio io refactoring,resolves: #1580  some refactoring tasks in audioio  before disentangling the midi playback parts  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1580,some audio io refactoring,"resolves: #1580some refactoring tasks in audioio before disentangling the midi playback parts<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,preliminary audioio cleanup,,,1,0,further refactoring and renaming in audioio,,0,0,0,0,0,0,0,0,0
1602,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,audacitymessagebox button presses can now be replayed in journal, the dialog won t actually reappear but the same value will be returned to the program.  these message boxes are special native ones that don t use the wxwidgets event framework.  therefore the system for journalling of mouse button presses does not work with them.  treat them specially.  a generalized facility added to namespace journal in case this pattern needs to be repeated for other actions.  resolves: #1590 *(short description of the changes and the motivation to make the changes)*  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1590,audacitymessagebox button presses can now be replayed in journal," the dialog wont actually reappear but the same value will be returned tothe programthese message boxes are special native ones that dont use the wxwidgets eventframework  therefore the system for journalling of mouse button presses doesnot work with them  treat them speciallya generalized facility added to namespace journal in case this pattern needs tobe repeated for other actionsresolves: #1590*(short description of the changes and the motivation to make the changes)*<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",,"journal certain dialogs such as ""do you want to save changes""","record a simple journal in which you generate noise then exitthere is a dialog box ""save changes to <untitled>?   save project before closing?"" with yes no cancel choices that cause different behaviorthis is one example of native message boxes in the program which the journalling system cannot yet record and replay even though it can record and replay other modal dialogs",,1,0,audacitymessagebox button presses can now be replayed in journal the dialog wont actually reappear but the same value will be returned tothe programthese message boxes are special native ones that dont use the wxwidgets eventframework  therefore the system for journalling of mouse button presses doesnot work with them  treat them speciallya generalized facility added to namespace journal in case this pattern needs tobe repeated for other actions,,0,0,0,0,0,0,0,0,0
1614,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,wave clip rename,resolves: #1258   *(short description of the changes and the motivation to make the changes)*  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  i made sure the code compiles on my machine -  i made sure there are no unnecessary changes in the code -  i made sure the title of the pr reflects the core meaning of the issue you are solving -  i made sure the commit message(s) contain a description and answer the question  why do those changes fix that particular issue?  or  why are those changes really necessary as improvements?,,1258,wave clip rename,"resolves: #1258 *(short description of the changes and the motivation to make the changes)*<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  i made sure the code compiles on my machine-  i made sure there are no unnecessary changes in the code-  i made sure the title of the pr reflects the core meaning of the issue you are solving-  i made sure the commit message(s) contain a description and answer the question ""why do those changes fix that particular issue?"" or ""why are those changes really necessary as improvements?""",this round of review is now complete!  the overall approach is sound but i flagged many details that need attention  none of these is difficult by itself ||,renaming clips,"### user storyas a developer i would like to know the ux details for implementing clip names and renaming### descriptioncurrently there is no concept of clip names in audacity only track names individual clip names are very useful when organising a project or separating between copies or takesthe new affordance ux has a space for a clip name top left below are the designs which allow the user to change the clip namefor keyboard navigation tabbing should select a clip and ""enter"" could edit the clip nameaudio/midi clips:![clip names@2x]( clips:described here  accessibilitykeyboard shortcuts for selecting and editing audio/midi clip names and label clip names should be identical tab to select/forward cycle selection enter to edit currently selectedfurthermore they should both respect the accessibility preference for editing the name in a dialog: tracks->track behaviours-> use dialog for the name of a new label (also this should be renamed to ""use dialog for the name of a new label or clip""",re: keyboard navigation:1 clip selection would be better than clip focus for renaming for example in file managers if the focused and selected items are different and you press f2 then the name of the selected item is opened for editing in addition using the selected item (or items?) allows for the possibility of easily being able to rename multiple clips if that is ever required if selection is used then using tab is no longer appropriate2 however (!) proper selection of clips if not yet implemented if this is still the case when renaming clips is implemented as an alternative to the selected clip you could use the clip which contains the cursor in the focused track there already are commands for selecting (time range) next/previous clip and commands for moving the cursor to next/previous clip boundary3 im assuming that a custom text box will be used for editing the clip name unfortunately on windows and using the wxwidgets accessibility framework this cant be made accessible for users of screen readers so there will need to be the option of using a standard text box in a dialog box such an option is already present in audacity for entering the name of a label when its created (preferences-> tracks behaviors -> use dialog for the name of a new label)4 enter toggles the selectedness of the track so another shortcut would have to be used for the rename clip command || can this design really be considered done @anitabats ?  davids points are unaddressed || will be reviewing davids feedback today @paul-licameli  || > 3 im assuming that a custom text box will be used for editing the clip name unfortunately on windows and using the wxwidgets accessibility framework this cant be made accessible for users of screen readers so there will need to be the option of using a standard text box in a dialog box such an option is already present in audacity for entering the name of a label when its created (preferences-> tracks behaviors -> use dialog for the name of a new label)providing the option of using a standard text box in a dialog box will also provide a workaround for ime input see  || > keyboard shortcuts for selecting and editing audio/midi clip names and label clip names should be identical tab to select/forward cycle selection enter to edit currently selectedthe existing use of tab and shift + tab in the label track is somewhat of an anomaly in audacity these shortcuts are hard coded - normally there are commands possibly with default shortcuts and the user is able to customize these shortcuts maybe part of the reason for this anomaly is that in all previous versions of audacity these shortcuts changed the focus and so were felt to be appropriatehowever for the actions of selecting the next/previous item in an audio or wave track i think it would be much better to have commands for these actions so that their shortcuts can be customized i dont think that tab and shift + tab would make good default shortcuts for these commands given that at some point there will probably be commands for selecting multiple items for the tab and shift + tab pair of shortcuts the shift modifier indicates a change of direction however when there are commands for selecting single items and for extending the selection the shift modifier is normally used to indicate extending the selection rather than the direction so for example in reaper (at least when using the osara extension)  the shortcuts for selecting the next/previous clip are  ctrl + right/left arrow and the shortcuts for extending the clip selection forwards or backwards are ctrl + shift + right/left arrowalso as ive previously pointed out the shortcut enter is currently used to toggle the selectedness of the focused track again there should of course be a command the rename the focused item rather than it being hardcodedi didnt notice that the design had been edited otherwise i would have commented earlier || @davidbailes makes sense to have customisable commands for selecting clips and editing names rather than hardcode these shortcuts @vsverchinsky can you do this please?im ok with ctrl/command + right/left arrow for selecting the next/previous clip if thats preferred makes sense to add shift to that when extending the selection to multiple clips @davidbailes which keyboard shortcut would you prefer for editing the name once the clip is selected? and which keyboard shortcut for selecting the first clip overall? || > @davidbailes makes sense to have customisable commands for selecting clips and editing names rather than hardcode these shortcuts @vsverchinsky can you do this please?@jouni there are existing commands to select the next/previous clip (alt + comma/period) as youve previously pointed out they dont change the state of the clip to selected but they could be changed to do soare you wanting to use different commands rather than modifying these existing commands?tantacrul mentioned somewhere (which i can no longer find) that he was working on a selection model for 31 do you know if this is finished? it would be really useful to know what the big picture is for selection when thinking about the commands are needed for 31 so that all the new features are accessible for keyboard users> > im ok with ctrl/command + right/left arrow for selecting the next/previous clip if thats preferred makes sense to add shift to that when extending the selection to multiple clipsctrl+right/left arrow wouldnt work at the moment because looking to the future when commands that extend the clip selection are added ctrl+shift+left/right arrow are already usedin addition if modified versions of the existing clip selection commands are used we could just use the existing shortcuts (and alt + shift + comma/period are available)as a slight aside i appreciate with all the changes in audacity at some stage shortcuts may well need to be reassigned so that theres a coherent set of shortcuts for all the new functionality> > @davidbailes which keyboard shortcut would you prefer for editing the name once the clip is selected?given that f2 is already taken ctrl + f2 may be as good as any> and which keyboard shortcut for selecting the first clip overall?could you expand on what you meant by that i dont understand what you mean? || see also issue #1644 -- the set clip command should now be extended to make clip name change available to macros ||,1,0,direct text editing via textedithelper,,0,0,0,0,0,0,0,0,0
1616,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,label track: shift+drag,resolves: #1444 #1544   *(short description of the changes and the motivation to make the changes)*  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  the title of the pull request describes an issue it addresses -  if changes are extensive  then there is a sequence of easily reviewable commits -  each commit s message describes its purpose and effects -  there are no behavior changes unnecessary for the stated purpose of the pr  recommended: -  each commit compiles and runs on my machine without known undesirable changes of behavior,,1444,label track: shift+drag,"resolves: #1444 #1544 *(short description of the changes and the motivation to make the changes)*<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  the title of the pull request describes an issue it addresses-  if changes are extensive then there is a sequence of easily reviewable commits-  each commits message describes its purpose and effects-  there are no behavior changes unnecessary for the stated purpose of the prrecommended:-  each commit compiles and runs on my machine without known undesirable changes of behavior",i just tested the label drag bars with @vsverchinskys latest branch build: audacity-win-310-alpha-20210903+e91e7b8-64bit i confirm that the icon now properly changes to the drag hand when cursor is over the labels drag-bar:a) open hand while hovering over b) closed drag-hand when clicking and draggingnote that this is good much better - but it now makes the old way of moving/resizing labels with the chevron and dot inconsistent as they still use the arrow icon || approved  please rebase and force-pushc ||,modify label bar behaviour,1 show grab hand cursor on hover over label bar(affordance)2 move whole label track if moving label with shift-drag![image (2)](https://user-imagesentcom/20165230/128695385-769784df-7be6-4489-8ece-9370c8b18cedpng),changing to using a grab hand cursor when hovering over the label bar would make it inconsistent with the cursor shown when hovering over the circle handle used for moving point labels and the the chevron handles used for moving the start and end points of labels using a grab hand cursor for all of these would not be usable as the hand is not precise enough for these existing tasks ||,1,0,shift + dragmoves all labels on the track,,0,0,0,0,0,0,0,0,0
1616,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,label track: shift+drag,resolves: #1444 #1544   *(short description of the changes and the motivation to make the changes)*  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  the title of the pull request describes an issue it addresses -  if changes are extensive  then there is a sequence of easily reviewable commits -  each commit s message describes its purpose and effects -  there are no behavior changes unnecessary for the stated purpose of the pr  recommended: -  each commit compiles and runs on my machine without known undesirable changes of behavior,,1544,label track: shift+drag,"resolves: #1444 #1544 *(short description of the changes and the motivation to make the changes)*<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  the title of the pull request describes an issue it addresses-  if changes are extensive then there is a sequence of easily reviewable commits-  each commits message describes its purpose and effects-  there are no behavior changes unnecessary for the stated purpose of the prrecommended:-  each commit compiles and runs on my machine without known undesirable changes of behavior",i just tested the label drag bars with @vsverchinskys latest branch build: audacity-win-310-alpha-20210903+e91e7b8-64bit i confirm that the icon now properly changes to the drag hand when cursor is over the labels drag-bar:a) open hand while hovering over b) closed drag-hand when clicking and draggingnote that this is good much better - but it now makes the old way of moving/resizing labels with the chevron and dot inconsistent as they still use the arrow icon || approved  please rebase and force-pushc ||,the cursor doesnt change appearance while its hovering a label handle or dragging the label (affordance),**describe the bug**the cursor doesnt change appearance while its hovering a label handle or dragging the label (affordance)**to reproduce**steps to reproduce the behaviour:1 add a label track2 add some selection labels3 hover or drag the label handle**expected behavior**![изображение]( information (please complete the following information):** - os: windows 10 - version audacity 304,there is a task for this already || please test after #1444 is done @penikov  ||  ||,1,0,shift + dragmoves all labels on the track,,0,0,0,0,0,0,0,0,0
1623,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,ffmpeg update,398 resolves #1034  resolves #1170  resolves #1201 resolves #1331  resolves #1433 resolves #1466  supporting multiple ffmpeg versions is tricky  yet important for audacity  as we could not distribute the correct ffmpeg version with the program itself. this leads to a problem  where updating ffmpeg can be problematic. this is especially true  as a new major version is soon to be released.  the main problem with ffmpeg is that it exposes several structures and expects library users to fill them up during the configuration. these structures can change between major version bumps  while the api is mostly stable. this is unlike other c libraries  where structure fields are accessed using the library-provided functions.  this pr:  * allows generating a single header file for a specific ffmpeg version. surprisingly it had required a large subset of c preprocessors to be implemented. * provides wrappers around used ffmpeg structures. the wrappers are used as raii objects where applicable. the wrappers are implemented in  inl  files which are later included in c++ files after the correct ffmpeg header. i.e. currently each wrapper is compiled twice. wrappers rarely have ffmpeg version-dependent code.  * fixes few incompatibilities between ffmpeg versions. * sample format conversions from ffmpeg are templatazied  all formats are now supported. the reverse process was not modified  i have tried to keep changes in importffmpeg and exportffmpeg small and trivial. in the future  we may want to reimplement them as well.  currently  avformat-55 and avformat-58 are supported. i don t see much reason to support 56 and 57. when 59 will be released (and current dev branches are 59) it will be added to the list  this should be a trivial task.  builds were tested against:  * 2.2.2  4.3.1  and 4.4. surprisingly  4.4 support was different (and the most difficult!) from 4.3.1 while the major version stayed the same. ffmpeg 4.4 was downloaded from the  official page . * the system library on manjaro (4.2.2)  <!-- use  x  to fill the checkboxes below like  -->  -  i signed [cla]( -  the title of the pull request describes an issue it addresses -  if changes are extensive  then there is a sequence of easily reviewable commits -  each commit s message describes its purpose and effects -  there are no behavior changes unnecessary for the stated purpose of the pr  recommended: -  each commit compiles and runs on my machine without known undesirable changes of behavior,,398,ffmpeg update,"398resolves #1034 resolves #1170 resolves #1201resolves #1331 resolves #1433resolves #1466supporting multiple ffmpeg versions is tricky yet important for audacity as we could not distribute the correct ffmpeg version with the program itself this leads to a problem where updating ffmpeg can be problematic this is especially true as a new major version is soon to be releasedthe main problem with ffmpeg is that it exposes several structures and expects library users to fill them up during the configuration these structures can change between major version bumps while the api is mostly stable this is unlike other c libraries where structure fields are accessed using the library-provided functionsthis pr:* allows generating a single header file for a specific ffmpeg version surprisingly it had required a large subset of c preprocessors to be implemented* provides wrappers around used ffmpeg structures the wrappers are used as raii objects where applicable the wrappers are implemented in `inl` files which are later included in c++ files after the correct ffmpeg header ie currently each wrapper is compiled twice wrappers rarely have ffmpeg version-dependent code * fixes few incompatibilities between ffmpeg versions* sample format conversions from ffmpeg are templatazied all formats are now supported the reverse process was not modifiedi have tried to keep changes in importffmpeg and exportffmpeg small and trivial in the future we may want to reimplement them as wellcurrently avformat-55 and avformat-58 are supported i dont see much reason to support 56 and 57 when 59 will be released (and current dev branches are 59) it will be added to the list this should be a trivial taskbuilds were tested against:* 222 431 and 44 surprisingly 44 support was different (and the most difficult!) from 431 while the major version stayed the same ffmpeg 44 was downloaded from the ""official page""* the system library on manjaro (422)<!-- use ""x"" to fill the checkboxes below like  -->-  i signed [cla](  the title of the pull request describes an issue it addresses-  if changes are extensive then there is a sequence of easily reviewable commits-  each commits message describes its purpose and effects-  there are no behavior changes unnecessary for the stated purpose of the prrecommended:-  each commit compiles and runs on my machine without known undesirable changes of behavior",one more push of commits and some in-line comments and questions and this completes my review!act on my suggestions as you wish force push once more and i will make one quick check of what you did and likely approve this and move on! || i missed the infinite loops with getnextcodec() and getnextoutputformat()!  i see how you corrected them  was it testing that discovered it? || i re-approve the latest force-push!only small suggestions :initcodecs should be a private member function to prove the safety of the new pointer dereference in it just from examining the class in isolationthe copy and move assignments of avdictionary now have assertions at the top -- which ought to be stated at least informally in the header files of the class as preconditionsand thats all! || 🥳 🎉 ⚡ 🔥 🚀 🍻  ||,request: update ffmpeg libraries,please be so kind to allow the use of newer ffmpeg libraries eg 42 the currently used version (222) has issues with e-ac3thank you very much in advance," seems to explain how to do it i dont have time to prioritize this myself right now but it sounds straightforward enough || yes as said in the audacity forum overwriting the ffmpeg lib-src/ffmpeg/{libavcodeclibavformatlibavutil}/ headers (i did it on bdcd907b5) worked for memy local builded ffmpeg : version n-97687-gd0705ecb2b built with gcc 9 (debian 930-11)![auda]( || i get your point but if it is so easy to update why dont developers make it available for the broad audience of users who dont wish to bother with compiling from source (thinking of windows users here)? also if you make a pull request of your changes would probably speed up this process || i cant believe they still havent updated it || why does this have no priority? ive been waiting a long time to be able to use the new ffmpeg and not the old garbage 22it is impossible to download version 22 of ffmpeg from the guide error 403 || > why does this have no priority? ive been waiting a long time to be able to use the new ffmpeg and not the old garbage 22> > it is impossible to download version 22 of ffmpeg from the guide error 403the sad thing is that theres already a pull request which updates it to 423 the only effort needed from the authors is to check and merge || :-( || i am not sure how much attention do the audacity developers put into the conversation here according to [this audacity forum post]( feature request should be sent on the forum join [this forum discussion]( your voice will be helpful! || they just dont care all they would have to do is push the merge button || ""all they would have to do is push the merge button""  lol  try running an open source project that way and then come back and say it in all seriousnesswe have updates to ffmpeg portaudio and wxwidgets planned  see #741  thats by leland who has commit rights  when we are ready it will go in || now that #741 has been merged i think this issue can be closed right?> ""all they would have to do is push the merge button"" lol try running an open source project that way and then come back and say it in all seriousnessto be fair no maintainers responded to #608 until close to 9 months after it was opened its totally reasonable to reject or delay pull requests because the maintainers have other priorities but its not cool to provide no explanation for why a pull request addressing an issue that many users have raised concerns about doesnt get merged for 9 months || before closing: another important thing would be to add the `-drc_scale 0` switch upon importing (e)ac3 files as ffmpeg applies drc on these automatically and this should be avoided || @l00tzomg - please explain moreis it already covered by this:  ?? || hmmm maybe i have missed something then it is already  :) || closing per:> now that #741 has been merged i think this issue can be closed right?and:> then it is already fixed :) || #741 was reverted so reopening || > is it already covered by this:  ??this was not applied and is not going to be applied see patch more modern try to do it  || ",1,0,remove ondemand and blockfile,,0,0,0,0,0,0,0,0,0
