prNumber;Util;NLP;APM;Network;DB;Interpreter;Logging;DataStructure;i18n;DevOps;Logic;Microservices;ML;Test;Search;IO;UI;Parser;Security;Cloud;BigData;App;GIS;prTitle;prBody;prIssue;issueNumber;issueTitle;issueBody;prComments;issueTitleLink;issueBodyLink;issue_Comments;isPR;isTrain;commitMessage;prCodeReviewComments
89;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;removes splash screen;this pr removes both the splash screen and the cli option to disable the splash screen.   why? - splash screen on modern systems is shown only for a very short period of time as jabref starts fast - we should focus on making jabref to start as fast as possible. a splash screen reduces the time to start the software as additional code needs to be executed.  - for each new version (even for beta and dev versions)  we have to check in a png with 200kb file size into the repository. this increases the amount of storage required for the git repository by 200kb for each version/dev-version. - the splash screen interferes with using jabref via the cli.  - it reduces code in jabref. hence  less code needs to be maintained.  this is a pr that is open for discussion. please add any pros/cons as you see fit.;;0.0;;;;;;;1.0;1.0;;
93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;logic improvements (java 1.7+);this pull request features various improvements of the classes in the logic package with the aim to transition beyond java 1.6 and improve quality. in particular: - updates license headers with current date - syntax optimizations: java 1.7 use of generics (diamond operator) - format code according to java conventions (c-style curly brackets  i am looking at you) - improves exception handling with logging - replace usages of exception with more precise exceptions - improves variable names - removes commented-out code  unused private methods (unused public methods/constructors are not eliminated) - use try-with-resources if possible - delete stale comments - replace stringbuffer with stringbuilder - remove history information from javadoc  (i am aware that i could push this directly  since i am now a contributor. as this started out as a pull request  i want to finish it as such. future cotributions will be made directly to jabref/master);;0.0;;;;;;;1.0;1.0;;
99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;rewrite doi parsing;i rewrote the doi parser as it was hard to understand and missing quite a few valid dois. it s not 100% but should be a lot better than before. - clearer and more permissive regex - better url encoding and decoding - more test coverage  any comments before merging this into master are appreciated.;;0.0;;;;;;;1.0;1.0;;
100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;move and refactor entryeditor;moves the classes related to the entryeditor into a separate gui package and performs a few refactorings and quality improvements on the way.;;0.0;;;;;;;1.0;1.0;;
101;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;full text crawlers;**this pr enables automatic pdf fulltext downloads.**  current catalogs:   - acs - arxiv - springer - sciencedirect (elsevier) - google scholar  questions:  - do we want to include more crawlers? if yes  which? - action was in the  tools  menu. imho it should be either auto downloaded or included with the  download or  auto  button in the detailed entry view.  todo: -  make it nonblocking and keep the progress bar! -  add an option to delete the local file if a wrong file was downloaded -  tests on travis & circleci are blocked by google by  403 forbidden  (bot detection);;0.0;;;;;;;1.0;1.0;;
105;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;move jabrefframe and basepanel to the gui package;this pull request moves the two central gui classes   jabrefframe  and  basepanel  to the gui package.   to preserve visibility constraints  this requires the relocation of many more classes that have package-local dependencies on the above two classes.   variables / methods in  jabrefframe  with reduced visibility that are accessed from  jabref  were made  public   since the latter class clearly does not belong to the gui package.;;0.0;;;;;;;1.0;1.0;;
108;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;extract model package with core data classes;this pull request extracts the most central data classes from the root package and puts them into a separate model package. it was possible to remove all gui dependencies from these classes.  additionally  all classes in the model package are refactored and adjusted to java 8 syntax.;;0.0;;;;;;;1.0;1.0;;
127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;minor improvement in googleurlcleaner #126;fixes detection of domains such as google.co.uk / co.jp / etc. and moves test class to test folder.;;0.0;;;;;;;1.0;1.0;;
128;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;googleurlcleaner: add support for pasting using bound shortcut;;;0.0;;;;;;;1.0;1.0;;
137;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;unify and simplify gui actions;- using lambdas for the simpler actions - some code cleanup - extract string commands as string constants to actions.java and use the constants in jabrefframe  basepanel and rightclickmenu - use the constants already defined in keybinds to get keystrokes for the actions (in jabrefframe  basepanel  entryeditor and rightclickmenu) - 8e3ad9d: remove quickfix for [sf.net bug #1277]( and implement feature properly: instead of deactivating  show/hide toolbar  when no database is open  the action has been move to jabrefframe and works now even if no database is open.  see also #136;;0.0;;;;;;;1.0;1.0;;
143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;fix sf bug #1285;restores the cursor resp.  caret  position when a field is store during editing. this fixes [sf.net bug #1285](  to be done:  - backport to dev_2.11 - ask for confirmation on sf.net and close the issue there.;;0.0;;;;;;;1.0;1.0;;
147;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;remove option to set custom icon theme;the setting of a custom icon theme is not available in the gui. because of this  i removed it.   what is changed: - no support for custom icon themes anymore - a smaller guiglobals class - more explicit referencing of icons - less setup logic that is required to be called explicitly - when no icon is available  the default one (red.png at the moment) will be used. this allows to detect icon errors -> see below - less code  uncovered issues through this change: - the action openfolder is used in the icon bar  but as it had no icon  it was never displayed to the user. this is now marked explicitly in red  allowing us developers to fix this.  i am open for feedback.;;0.0;;;;;;;1.0;1.0;;
150;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;removes the legacy-action integrity check;removes the **legacy**-action  tools--> legacy tools --> integrity check  with all its files.   what it helps: - removes 1000 lines of code - removes a feature that is marked as a legacy tool  what does the feature do at the moment: - check year: raise error if it contains a 4digit number - check title: warn only about wrong braces - check author/editor: check that the structure is correct using  and  and the     separator.  anyone who wants this feature to stay?  is there any other validation facility in place where we could add the checks instead?;;0.0;;;;;;;1.0;1.0;;
164;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;small changes to default preferences;- fields in table are not colored (required/optional) - owner column is not shown - slightly increasing row padding in table;;0.0;;;;;;;1.0;1.0;;
165;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;timestamp is not displayed by defaut;as discussed in #164 the timestamp column shouldn t be displayed by default.;;0.0;;;;;;;1.0;1.0;;
175;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;increase saving speed;intended to 122  this pr turned into a major api change. it replaces  string  in the return types of  bibtexentrytype  with  list<string> . this allows to return immutable lists instead of mutable arrays and improves the stability of the program. additionally  the rewrite allowed to replace a lot of duplicate object creation with instance variables.  with respect to #122  the immutability of the new lists removes the necessity to create defensive copies and therefore avoids a lot of cloning.;;0.0;;;;;;;1.0;1.0;;
178;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;auto detect user language #177;jabref now uses the system locale as default with this pr.  i simplified some methods in the process and implemented a fallback to  en  when there is no bundle for the default locale.  any suggestions?;;0.0;;;;;;;1.0;1.0;;
187;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0; fix linebreaking;evaluating the usage and problems of #114. what is fieldcontentparser really doing? what is jabref style formatting?;;0.0;;;;;;;1.0;1.0;;
192;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;improved casechangers;new attempt with the same code and same limitations  but using branches. so hopefully possible to merge. i also used the jabref formatter and clean up. hopefully  i got it correct.;;0.0;;;;;;;1.0;1.0;;
204;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;added pushing citations to texmaker;implements sourceforge feature requests #318 and #582.;;0.0;;;;;;;1.0;1.0;;
205;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;replaced defaultformbuilder with formbuilder;replaced the deprecated defaultformbuilder with formbuilder in about ten instances.  as i was working with the external programs code  the strings there were unified to ease the translation work a bit.;;0.0;;;;;;;1.0;1.0;;
206;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;added ability to merge from a downloaded doi based bibtex entry;- refactored mergeentriesdialog by splitting into a mergeentries providing a jpanel for merging and the dialog and moved these into gui.mergeentries - added mergeentrydoidialog to merge with a bibtex entry downloaded based on doi  e.g.  to add missing information or correct - added that functionality to the right-click menu for the entry table - made getentryfromdoi in doitobibtexfecther public to be able to use that to get the bibtex entry - added a new icon for doi (which probably should be used in other places);;0.0;;;;;;;1.0;1.0;;
215;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;adding an advanced data structure for title/word in the casechangers â€¦;â€¦implementation.  @koppor this is what i ment. what do you think?;;0.0;;;;;;;1.0;1.0;;
217;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;remove the option move-to-systray;why? - only applications that do background work are put in the systray  e.g.  dropbox or anti-virus-software.  - other software stays in the normal task bar - jabref currently does no background stuff  hence  should stay in the task bar only  gains? - less code - lesser quirky workarounds (see commit);;0.0;;;;;;;1.0;1.0;;
219;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;ieee journal abbreviations;why? - see #173   what is does: - bugfix: correct abbreviations are loaded when storing preferences through the advanced tab - ieee abbreviations are either plain (text) or in latex (code) form. for each of them  a separate file exist now. the config option  use_ieee  loads the latex one if it is true  and the plain one otherwise.;;0.0;;;;;;;1.0;1.0;;
225;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;replaced defaultformbuilder with formbuilder;another batch of replacing the deprecated defaultformbuilder with formbuilder: autosetexternalfileforentries  basepanel  colorsetuppanel  dbconnectdialog  fromauxdialog  managekeywordsaction  masssetfieldaction  and synchronizefilefield.  clean up in util.java.;;0.0;;;;;;;1.0;1.0;;
227;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;merge entries in duplicate detection;added a  merged entry  tab and preview/textbox in the duplicateresolverdialog and added handling of this at import and duplicate checking.  also fixed a bug leading to that if import was done without the importinspectiondialog  nullpointerexception happened as the metadata was not properly initialized.;;0.0;;;;;;;1.0;1.0;;
229;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;removes non-compact rank symbols in favor of compact rank;why? - because it is ugly :taxi:  - keep consistent icon width - removes 140 lines of code  five icons  one preference check box;;0.0;;;;;;;1.0;1.0;;
232;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;architecture;adds a the architecturetests class that ensures that specific packages stay independent from other packages.  why? - ensure that the architecture of jabref stays healthy.;;0.0;;;;;;;1.0;1.0;;
235;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;clean ups;purpose was to replace more defaultformbuilders  but ended up cleaning up minor issues and removed quite a bit of disabled code from ieeexplorefetcher (bibtex fetching and multi-page search results)  which has not been working for years  and added support for a few more publication types that ieee xplore has added.;;0.0;;;;;;;1.0;1.0;;
236;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;simplify key bindings;currently  there is a key binding for  push to application  but there can be key bindings for each specific application  e.g.  lyx  vim  etc.  to simplify  there should only be a key binding for the currently selected application  hence  only the  push to application  key binding.;;0.0;;;;;;;1.0;1.0;;
237;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;less console output in tests;reduces console output during tests dramatically. this reduces the console output in travis  helping to find the cause for a failing test faster with less scrolling.;;0.0;;;;;;;1.0;1.0;;
239;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;remove edit preamble and edit strings from toolbar. it is still availâ€¦;â€¦able under the bibtex menu.;;0.0;;;;;;;1.0;1.0;;
