issueNumber,prNumber,Util,Network,Interpreter,i18n,Logic,Test,IO,Security,corpus
401.0,499,1,0,0,0,1,1,0,0,makes the junit runner detect unused stubs this is a breaking change because junit runner will now fail the test class if there is an unused stubbingfeedback is welcome sorry for working on it for a long time and big number of commits
426.0,501,0,0,0,1,1,1,0,0,refactored testmethodsfinder to a static utility class
426.0,502,1,0,0,1,1,1,1,0,refactored argumentscomparator to a static utility class
426.0,503,1,0,0,0,1,1,0,0,refactored nongreedynumberofinvocationsinorderchecker to a static uti… …lity class
506.0,507,1,0,0,1,1,1,0,0,improved exception message fixes issue
194.0,510,1,0,0,0,1,0,0,0,tweaks any matchers details is i took the opportunity to replace testbaseassertthat by more powerful assertj equivalent theres still some work to be done in this class add iterable matchersbefore merging i ponder to make anyobject not to accept null currently any is an alias of anyobject keeping the anyobjet behaviour and deprecate the method i need to update anyint family description
426.0,514,1,0,0,1,1,1,1,0,refactored mockutil to a static utility class
426.0,515,1,0,0,0,1,1,0,0,refactored allinvocationsfinder and verifiableinvocationsfinder to st… …atic utility classes
508.0,525,0,0,0,0,0,1,0,0,add regression test for as mentioned in the bug report for adds a test which would catch this issue if it happened to regress in the future
194.0,528,1,0,0,0,1,0,0,0,missing generics info on collection matchers follow up on issue following this comment it tweaks the collection matchers with generic support it should have bee in abf
426.0,535,1,0,0,1,1,1,0,0,refactored supertypeslastsorter to a static utility class refactored supertypeslastsorter to a static utility classrelates to
426.0,540,1,0,0,0,1,0,0,0,inlined arrayutilsisempty in argumentsprocessor inlined arrayutilsisempty in argumentsprocessor and removed arrayutils cause it was only used in argumentprocessoralso isempty was renamed to isnullorempty for clarityrelates to
426.0,547,1,0,0,1,1,1,1,0,refactored objectmethodsguru to a static utility class refactored objectmethodsguru to a static utility class removed unused methods and associated tests istostring mockitomethod method isequalsmethod method method ishashcodemethod method method renamed istostring to istostringmethod relates to
538.0,550,1,0,0,1,1,1,0,0,changed error message in case initialization for mock injection fails if a filed is annotated with injectmocks and the type of a field is an enum inner class interface or local class the error message is now _mock injection failed on field fieldname cause the type abstractcollection is an abstract class_
384.0,555,1,1,0,1,1,1,1,0,junit rules report unused stubs makes junit rules detect unused stubs introduces mockitolistener api see the use case in issue recreated pr with squashed commits
527.0,555,1,1,0,1,1,1,1,0,junit rules report unused stubs makes junit rules detect unused stubs introduces mockitolistener api see the use case in issue recreated pr with squashed commits
554.0,560,1,0,0,1,1,1,0,0,checkschecknotnull now throws iae instead of npe changes npe to iae see
332.0,568,1,0,0,0,1,1,0,0,ensured that mockitojunitrunner is thread safe wrt unused stubs detection this pr concludes yayhighlights the thread safety problem by leveraging the same api that junit rules used for hinting at unused stubs removed stubbinglistener api it could not work to the thread safety levels we support in mockito see also closes
401.0,568,1,0,0,0,1,1,0,0,ensured that mockitojunitrunner is thread safe wrt unused stubs detection this pr concludes yayhighlights the thread safety problem by leveraging the same api that junit rules used for hinting at unused stubs removed stubbinglistener api it could not work to the thread safety levels we support in mockito see also closes
541.0,569,1,0,0,0,1,1,0,0,improved the public api of mockingdetails highlights started exposing full mock creation information instead of just type to mock and extra interfaces changed public api but only for methods that were introduced in x so it is _not_ backwards incompatible change as far as is concerned
552.0,592,1,1,0,1,1,1,1,0,stylesheet tweaks for openjdk aimed to fix the javadoc rendering but the assumption was that the javadoc tool of the sun jdk will render javadoc the same way as openjdk unfortunately this is not the same the javadoc rendering of openjdk is a pre work that avoid the use of table elements this making the stylesheet incompatiblethis pr aims to fix that and thus bonus i changed the and in the javadoc this way we have aligned version numbers
497.0,615,1,1,1,1,1,1,1,0,returns_deep_stubs may try to mock final classes with deep stubs it was possible for generic metadata to be lost unusedthrough nested invocations on non generic types this could cause returns_deep_stubs to try mocking final classes which would result in a classcastexception apparently my other pr wasnt quite enough to fully fix this problem edited by mockito team
338.0,617,1,0,0,0,1,1,0,0,moves arity interfaces of java helper answers to public api the java helper interfaces have been introduced in however the public additionalanswersanswer family leak the functional interfacesthese _parameter arity_ interfaces can be public hence they are moved next to answer in the orgmockitostubbing packageim however in favor of adding the incubating annotation on those apis and related objects thoughts
548.0,619,1,0,0,0,0,1,0,0,from now on verification happens always call in other thre… should fix problems with and
601.0,619,1,0,0,0,0,1,0,0,from now on verification happens always call in other thre… should fix problems with and
596.0,623,0,0,0,0,0,1,0,0,updated the javadocs polishing the javadocs starting with this small pr issue updated since to instead added more docs around the verification collector
439.0,635,0,0,0,1,1,1,0,0,unified logic of argument matching and capturing the logic of argument matching and capturing is the same but can be found in argumentscomparator and invocationmatcher this pr unifies the decision logic how matchers are applied to argument varargs by introducing a matcherapplicationstrategy this strategy can apply an action to an pair of argumentmatcher and argument one action is used to perform the argumentmatchermatches arg call and an other is used to perfrom the capturing argumentcaptor and argumentmatchers can now be mixed in varargs fixes no more npe when null is passed to an varargs added regression tests in varargstest are ignored cause they belong to other issues and fail currently reduced logic duplication
583.0,635,0,0,0,1,1,1,0,0,unified logic of argument matching and capturing the logic of argument matching and capturing is the same but can be found in argumentscomparator and invocationmatcher this pr unifies the decision logic how matchers are applied to argument varargs by introducing a matcherapplicationstrategy this strategy can apply an action to an pair of argumentmatcher and argument one action is used to perform the argumentmatchermatches arg call and an other is used to perfrom the capturing argumentcaptor and argumentmatchers can now be mixed in varargs fixes no more npe when null is passed to an varargs added regression tests in varargstest are ignored cause they belong to other issues and fail currently reduced logic duplication
520.0,639,0,0,0,0,1,1,0,0,update travis configuration to also build on oraclejdk lets see if this actually works testing for
640.0,646,1,1,0,1,1,1,1,0,warns user to upgrade if java version is to low warns user to upgrade if java version is to lowalso took the opportunity to log other platform details if mock class cannot be created
653.0,654,0,0,0,0,1,1,0,0,renamed failuredetecter to failure detector also renamed misspelled issussessful to issuccessful fixes
707.0,711,0,0,0,0,1,0,0,0,adds throwable to arity answers also improved javadoc all in the title this should
727.0,746,1,1,1,1,1,1,1,1,add missing copyright headers add missing copyrights using license gradle plugin updated only source files test files were skipped existing copyright headers were not modified
731.0,771,1,0,0,0,0,1,0,0,implements retry rule for flaky tests previous attempts at fixing the time related tests failed indeed the previous attempts are not bullet proof when the ci can run schedule some threads slower than _expected_a proper harness should be implemented but in the meantime i implemented the retry rule as proposed in to gain back stability on the build
801.0,803,1,0,0,1,1,1,0,0,adds a warning for ibm j vms if mock generation fails related to this pr simply adds a warning for ibm j vms if the mock maker fails
770.0,807,1,0,0,0,0,1,0,0,new opt in stubbing strictness implemented in junit rules new api for rationale see for code review history see java existing api rule public mockitorule mockito mockitojunitrule proposed improvements rule strictness strictnesslenient rule strictness strictnesswarn is the defaultrule strictness strictnessstrict_stubs mockito default what strict stubbing means improved debuggability the test fails early when code under test invokes stubbed method with different arguments cleaner tests without unnecessary stubbings the test fails when there are any unused stubs declared cleaner more dry tests dont repeat yourself if you use mockitoverifynomoreinteractions you no longer need to explicitly verify stubbed invocations they are automatically verifiedfor background and motivation check out szczepans article on linkedin https wwwlinkedincom pulse curious how get even cleaner tests new mockito features faber
820.0,821,1,0,0,1,1,1,1,0,returnsargat to handle returning vararg as arrays attempt at fixing basically it makes the returnsargumentat answer a bit more smart about varargs but im not satisfied with the fix yet
818.0,823,1,1,0,1,1,1,1,0,only resolve instrumented method after validating that an instance is… this is both a performance improvement and a way of ensuring that no stack overflow error occurs upon looking up a method instance which requires using a hashmap which causes an infitite loop upon mocking the hash map type
820.0,826,0,0,0,1,1,1,1,0,introduce validable answers for early validation of stubbing overviewcustom answers are now more robust users can add add validation logic to the answer implementation it can validate the return type early during stubbing in test rather than fail late during execution of code under test mockito team uses this api behind the hood for all custom implementations of answer interface now advanced users can leverage this new api too javaclass mycustomanswer implements answer validableanswer { note extra validableanswer interface public object answer invocationonmock invocation { answer implementation } public void validatefor invocationonmock invocation { throw mockitoexception if answer cannot be applied to given invocation }} implementationwhile trying to i noticed that answersvalidator knew too much about other answers to fix the design issue i propose the following design introduce validableanswer in public api which is a single method interface that doesnt extends answer each answer that wants to be validated hence implement this interfacebenefit reduced visibility of some methods in these answers each new answer that want to be validated can just by implementing the new contractvalidating returned value of a mocks default answer had to be handled differently
822.0,830,0,0,0,0,0,1,1,0,improves exception message in case a matcher is used for a primitive parameter this should help for cases like npe can be raised by the jvm on the callsite of a matcher returning object like any the thing is that the jvm does several thing like to allows a type to match a signature like t any type inference with java cast and unboxing however any can only return null so the jvm raises an npe on the cast opcode of course the problem isnt new but more possible due to java flexibility thats why mockito had for a long time the primitivewhen mockito is used with the junit runner or the junit rule theres a invaliduseofmatchersexception raised after the npe with a message about misplaced matchers this exception is raised because the matchers were not consumed by the mock since the npe is raised first so this exception is correct and can help the neophyte to discover the primitive variant like anyint
825.0,831,1,0,0,1,1,1,0,0,test clean up according to discussions for rememberinglisteners according to issue we wanted to clean up the tests for rememberinglistenersthe tests should follow the same style and conventionsset up should not contain variables used by all the testswe previously had another pr for this in that build was failing for some reason not obvious and had merge commit that we wanted to remove in an attempt to rebase and reset the history github lost the connection to the remote fork instead of spending time investigating i just created a new pr
838.0,839,1,0,0,0,1,1,1,0,adds a matches pattern following discussion in it is sensible to add a mockito matcher that can take a pattern as an argumentthe usage is the same as matches string javawhen mockonearg matches patterncompile a z \\d\\d thenreturn although it allows to build more complex regex especially with regular expression flags
840.0,843,0,0,0,0,0,1,0,0,junit rule strictness can be tweaked per test method see the design and rationale at please review
860.0,861,0,0,0,0,1,1,0,0,backport release x changes to master fix for backport release x changes to master the fix for
384.0,865,1,0,0,0,1,1,0,0,new strict stubbing api mockitosession see proposed design at the code is reviewable especially new public api please give feedback more work is pendingcurrent status address bric feedback getter javadoc review documentation for consistency mockitosession mockitosessionbuilder strictness mockitohint potentialstubbingproblem unnecessarystubbingexception x mockitojunitrunner and subclasses x mockitosession x mockitorule x add update mentions in the main mockito class x add validate mockito usage should be very easy x try making rules runner use the session they already reuse the code they just dont use the api directly created to track this work x address timvdlippe feedback x create concurrent test multiple sessions active in different threads x non code change not blocking merge github tickets linked from source code should be better documented alternatively create ticket for tracking
857.0,865,1,0,0,0,1,1,0,0,new strict stubbing api mockitosession see proposed design at the code is reviewable especially new public api please give feedback more work is pendingcurrent status address bric feedback getter javadoc review documentation for consistency mockitosession mockitosessionbuilder strictness mockitohint potentialstubbingproblem unnecessarystubbingexception x mockitojunitrunner and subclasses x mockitosession x mockitorule x add update mentions in the main mockito class x add validate mockito usage should be very easy x try making rules runner use the session they already reuse the code they just dont use the api directly created to track this work x address timvdlippe feedback x create concurrent test multiple sessions active in different threads x non code change not blocking merge github tickets linked from source code should be better documented alternatively create ticket for tracking
898.0,865,1,0,0,0,1,1,0,0,new strict stubbing api mockitosession see proposed design at the code is reviewable especially new public api please give feedback more work is pendingcurrent status address bric feedback getter javadoc review documentation for consistency mockitosession mockitosessionbuilder strictness mockitohint potentialstubbingproblem unnecessarystubbingexception x mockitojunitrunner and subclasses x mockitosession x mockitorule x add update mentions in the main mockito class x add validate mockito usage should be very easy x try making rules runner use the session they already reuse the code they just dont use the api directly created to track this work x address timvdlippe feedback x create concurrent test multiple sessions active in different threads x non code change not blocking merge github tickets linked from source code should be better documented alternatively create ticket for tracking
866.0,867,0,0,0,0,1,1,1,0,should not throw npe when custom exception fillinstacktrace returns null
860.0,868,1,1,0,1,1,0,1,0,jacaco synthetic fields are not anymore final in this internal assumed jacoco fields will always be static final obviously not jacoco changed that the simple fix was to make the source field _accessible_ instead of skipping this fieldhence removing the test exclusion
879.0,880,1,0,0,0,1,0,0,0,argumentmatchers javadoc grammar improvement grammar issue in argumentmatchers this implementation is due static type safety imposed by java compilershould be this implementation is due to static type safety imposed by java compilerthis pr fixes issue
879.0,881,1,0,0,0,1,0,0,0,argumentmatchers grammar fix cherry pick pr to the x branchthis pr should on this branch too
878.0,885,0,0,0,1,1,0,0,0,spy annotation reports better error message if instance creation is impossible this simple piece of code prevents the spyannotationengine to try create a spy instance for a some inner private class with different set of modifierswhile preventing execution it reports slightly better error messages before some time the cause was null this should
874.0,891,1,0,0,0,0,1,0,0,update to byte buddy fixes bridge method resolution for generic types
895.0,896,1,1,0,0,1,1,0,0,clarify documentation for consecutive stubbing as of now the documentation does not clarify the difference of behaviour between chaining multiple thenreturn statements and using multiple when thenreturn statements when someone attempts to perform consecutive stubbingi added a warning clarification in the documentation with a corresponding example so that its more clear especially for new users of mockito
814.0,905,1,1,0,0,1,1,0,0,a elements were missing the name attribute meaningful links probably never worked as expectedthe a elements were missing the name attribute so the browser couldnt find the matching part of the documentfor reference navigating to a fragment identifier for html documents and the text html mime type the following processing model must be followed to determine what the indicated part of the document is parse the url and let fragid be the component of the url if fragid is the empty string then the indicated part of the document is the top of the document if there is an element in the dom that has an id exactly equal to fragid then the first such element in tree order is the indicated part of the document stop the algorithm here if there is an a element in the dom that has a name attribute whose value is exactly equal to fragid then the first such element in tree order is the indicated part of the document stop the algorithm here otherwise there is no indicated part of the document
426.0,907,1,0,0,0,1,1,0,0,unified all number of invocations checker in numberofinvocationschecker this pr unifies the functionality of nongreedynumberofinvocationschecker numberofinvocationscheckerinorder and numberofinvocationschecker in static methods of the type numberofinvocationschecker this saves lines of code and increases readability on the call sides
426.0,908,1,0,0,1,1,1,0,0,simplified the creation of argumentsaredifferent exceptions relates to this pr simplifies the creation of argumentsaredifferent exceptions saving classes and lines of code
426.0,914,1,1,0,1,1,1,1,0,refactored removefirstline to a static utility class relates to refactored removefirstline to a static utility classi would like to unifiy removefirstline decamelizer and stringjoiner to a new type stringutil they all manipulate strings and contain only a few methods that are not worth to live in a dedicated classes any thoughts
927.0,933,1,1,0,1,1,1,1,0,support for return type void in doesnothinganswer this pr allows to use donothing for methods with return type javalangvoid like void methods to solve this invocationinfoisvoid checks now the return type for the pseudo type of the keyword void or void
685.0,935,1,1,0,1,1,1,1,0,new feature enable mocking using constructor arguments motivation and design see to quote the requirement see in depth design in we already support spying on abstract classes by allowingparameterless constructor however there is no support forconstructor parametersthis has been asked about long time ago mockito api is not robustenough if it supports mocking with constructor but not when one hasany constructor parametersthis patch enhances the mocksettingsuseconstrctor method as suggested in the alternative api comment in the issue and addsoptional ellipsis arguments that are passed to the constructorthe patch streamlines the creation of mocks via constructors to asingle flow where using a no arg constructor or an enclosing classare just private cases of this flow and dont require their ownspecial treatment
680.0,942,1,1,0,0,1,1,0,0,allow spying on interfaces so that it is convenient to work with java default methods
688.0,972,0,0,0,0,0,1,0,0,verifies acceptance test to prevent future regression added an acceptance test to verify
974.0,979,1,1,0,1,1,1,1,0,fix to get correct stubbing location with inline mocking fix stacktracefilter to support inline mocking add one test to stacktracefiltertest add stubbinglocationtest into inline subprojectthis pr
976.0,980,1,0,0,1,1,1,0,0,resolve ambiguous constructors with the current code introduced in mockito by commit a c calling mocksettingsuseconstructor with an argument list that would be applicable to more than one constructor would fail with an orgmockitointernalcreationinstanceinstantiationexception this behavior however is suboptimal as described in issue as it makes useconstructor less robust than the java compiler which is able to resolve such ambiguitieswith this patch mockito will attempt to match the constructor with the most specific parameter types a constructor x is considered more specific than a constructor y if they are both applicable to the given argument list constructor x has at least one parameter which is a further specialization of the corresponding parameter of constructor y ie paramxisassignablefrom paramy constructor y has no parameter which is a further specialization of the corresponding parameter of constructor x as defined aboveeg consider the following class public class someclass { someclass object o {} someclass string s {} }without this patch calling mock someclassclass withsettings useconstructor string would fail with this patch such a call would invoke the someclass string constructoras noted above this pr fixes issue
982.0,983,1,1,0,1,1,1,1,0,break cyclical compile time dependency on hiderecursivecall
929.0,985,1,1,0,0,1,1,0,0,update javadoc about the mockito inline artifact this pr in the javadoc i write that the first version of mockito inline is this artifact was actually offered in version but or earlier it did not work due to the issue so i write like that
981.0,985,1,1,0,0,1,1,0,0,update javadoc about the mockito inline artifact this pr in the javadoc i write that the first version of mockito inline is this artifact was actually offered in version but or earlier it did not work due to the issue so i write like that
989.0,995,1,0,0,0,1,1,0,0,verifyzerointeractions guarantees zero interactions instead of just delegating to verifynomoreinteractions verifyzerointeractions no longer delegates to verifynomoreinteractions instead it fetches the number of invocations made to the mock and checks ifthey are zero failing otherwiseim not sure if the style of my code complies with mockito please let me know what to change and where to look to make it more mockitoish
911.0,1018,1,1,0,0,1,1,0,0,enabled continuous delivery via robust mockito release tools project continuous delivery pipeline almost implemented removed tons of release logic complexity now all that is a part of general purpose mockito release tools project the new release automation should be much easier to test
1071.0,1076,0,0,0,1,1,1,1,0,validation in returnargumentat int in case of type erasure on the parameter the parameter type inference takes now the type of the actual instanceinto account to avoid type erasure issues in case the parameter isgenericsee also https githubcom mockito mockito issues issuecomment
1065.0,1079,1,0,0,1,1,1,0,0,add information about donothing method to cannotstubvo…
1083.0,1090,1,1,0,1,1,1,0,1,interfaces only declare tostring implicitly and should t… …herefore override it explicitly from the inline mock maker
1088.0,1091,1,1,0,0,1,1,0,0,updating documentation of verify feature to correct a s… updating documentation of verify feature to correct a supposed typo that results in confusing behaviour when cut pasted and run verbatimthe documentation presents the following example of the verify exact number of invocations feature using mock mockedlistadd once mockedlistadd twice mockedlistadd twice mockedlistadd three times mockedlistadd three times mockedlistadd three times following two verifications work exactly the same times is used by default verify mockedlist add once verify mockedlist times add once exact number of invocations verification verify mockedlist times add twice verify mockedlist times add three times verification using never never is an alias to times verify mockedlist never add never happened verification using atleast atmost verify mockedlist atleastonce add three times verify mockedlist atleast add five times verify mockedlist atmost add three times the last but one line says verify mockedlist atleast add five times this could be confusing to someone using these examples as it would result in a toolittleactualinvocations failure being reported by mockito this is because in the example the add method is never called with the string five times in order to have this example make sense in the way i think it should ive replaced the string five times with three times as suggested by szczepiq cheerstim cooke
1117.0,1119,1,0,0,0,1,1,1,0,made it possible to delay the return of a mock or spy this is a useful aid in debugging race conditions and other synchronicity problems
1110.0,1121,1,1,0,1,1,1,1,0,improve and develop apis required for framework integrators mockito does not do static mocking at the moment powermockito does powermockito uses a lot of internal mockito apis exposing the community to issues and wasted productivity on version upgrades we want mockito apis to be easily extensible by framework integrators such us powermockito without compromising api simplicity and consistencyall proposed changes are backwards compatible in accordance to mockitos compatibility contract in short limited changes to orgmockito types freedom to change orgmockitointernal public api changesthe full discussion on the use cases implementation options and decisions is in ticket new public method for creating mock creation settings object javamockitowithsettings name “my mock” build fooclass framework integrators can now provide custom mockhandler via mockmakergetmockhandler previously it we didn’t offer this capability because we didn’t have convincing use cases that it was needed public api considerations framework integrators may not provide custom implementation of invocationcontainer at this stage this part of api is accessible via public mockmakergetmockhandler getinvocationcontainer method there are no convincing use cases that exposing this new public api is needed
1117.0,1122,1,0,0,0,1,1,1,0,made it possible to delay the return of a mock or spy a cherry picked version of for the x branch
1135.0,1136,1,1,0,1,1,1,1,0,properly resolve visibility bridges resolve the method hierarchy by byte buddys method graph compiler to properly handle bridge methods which require a full method hierarchy analysis to detect
86.0,1146,1,0,0,1,0,1,0,0,enable stubonly on mock annotation since issue withsettings has a api stubonly which speed up mocked stub a lotsin my case stubonly huge amount of test overhead stacktrace and avoid invocation footprint list grow too large and cause oomhowever the api is not available with mock annotationi had to move tens of mock annotation from mock foo foo into mockitomock fooclass withsetting stubonly mock stubonlytrue public foo lightweight suggest adding the above api for convenience check list read the contributing guide pr should be motivated ie what does it fix why and if relevant how if possible relevant include an example in the description that could help all readers including project members to get a better picture of the change avoid other runtime dependencies meaningful commit history intention is important please rebase your commit history so that each commit is meaningful and help the people that will explore a change in years the pull request follows coding style mention in the description _if relevant_ at least one commit should mention fixes _if relevant_
1155.0,1162,1,0,0,0,0,1,1,0,fix for thenthrow class fix for mockitothenthrow class now fails when the given throwable type is not declared on the stubbed method
1179.0,1181,1,1,0,1,1,0,1,0,fix performance regression caused by use of method graph compiler in order to properly discover visibility bridges we have to run a full analysis of the method graph the compilation of this method graph is rather expensive and we require to cache a computed graph the caching is however non trivial as it references classes which might be unloaded in order to avoid a leak we cache classes using non strong referencesthis requires some real world experience to discover if this caching mechanism suffices
1180.0,1186,1,1,0,1,1,1,1,0,compare method of graph to defined form of method compare against non generic method when deciding if a method should be stubbed
1191.0,1192,1,0,0,0,1,1,1,0,added new public api for spring boot use case not intended for merging yet submitted for visibility for design and rationale see for usage see verificationstartedlistenertest classthis is still experimental so refactorings error handling javadoc is missing
1198.0,1202,1,0,0,0,1,1,0,0,java ci build for mockito x summaryprovide java travis build to ensure java compatibility in at least tested use casessupport for java was improved in gradle x and that version is being used due to some issues with newer gradle versions some other configuration changes were required as well as jacoco version has been bump check list read the contributing guide pr should be motivated ie what does it fix why and if relevant how if possible relevant include an example in the description that could help all readers including project members to get a better picture of the change avoid other runtime dependencies meaningful commit history intention is important please rebase your commit history so that each commit is meaningful and help the people that will explore a change in years the pull request follows coding style mention in the description _if relevant_ at least one commit should mention fixes _if relevant_
1191.0,1203,1,0,0,0,1,1,0,0,documentation issue added unit tests while working on new verification started listeners i found an instance of incorrect documentation i added unit tests and simplified the documentation currently contrary to what the javadoc said we do guarantee the order in which invocation listeners get notified some of our users might have started to depend on this behavior i added unit tests and the javadoc in general it is seems useful to guarantee the order this way the api is more predictable easier to use
1211.0,1214,1,1,0,0,1,1,0,0,improve deprecated javadoc this pull request by improving the deprecated javadoc of mockitodebug mockitodebugger and mockitodebuggerprintinvocations object mocks by adding the additional information on how to retrieve an actual instance of the mockitodebugger interface
1206.0,1216,1,1,1,1,1,1,1,0,adresses allow opting out from annotation copying within mocks the mocksettings now include an option to disable copying of annotations to mock classes
1183.0,1217,1,1,0,1,1,0,1,0,make override check more forgiving to accomondate kotlin compile patterns the override check implies java compile patterns such that kotlin method resolutions could fail for void return types which do not fit into javas reference type only generic hierarchies this pr eases this restriction to fix this resolution for kotlini added the test case of the reported issue as a reference
117.0,1219,1,0,0,0,0,1,0,0,add regression test for issue regression that shows the issue of i am unable to reproduce this locally lets see what travis sayscloses
